,0,1,0,1
0,안녕하세요,NNP,안녕,NNG
1,해피밍입니다,NA,하,XSV
2,저,MM,세요,EP+EF
3,7월,NNP,해피,NNG
4,에,JKB,밍,NNG
5,이어,MAG,입니다,VCP+EF
6,2,SN,저,MM
7,주,NNB,7,SN
8,전,NNG,월,NNBC
9,에,JKB,에,JKB
10,또,MAJ,이,VV
11,양양,NNP,어,EC
12,서핑,NNP,2,SN
13,을,JKO,주,NNBC
14,다녀오,VV,전,NNG
15,았,EP,에,JKB
16,어요,EC,또,MAG
17,:,SP,양양,NNP
18,),SS,서핑,NNG
19,양양,NNP,을,JKO
20,서핑,NNP,다녀왔,VV+EP
21,이,JKS,어요,EF
22,너무,MAG,:,SC
23,재밌,VA,),SSC
24,었,EP,양양,NNP
25,던,ETM,서핑,NNG
26,기억,NNG,이,JKS
27,때문,NNB,너무,MAG
28,에,JKB,재밌,VA
29,또,MAJ,었,EP
30,서핑,NNP,던,ETM
31,강습,NNG,기억,NNG
32,을,JKO,때문,NNB
33,받,VV,에,JKB
34,으러,EC,또,MAG
35,양양,NNP,서핑,NNG
36,에,JKB,강습,NNG
37,가,VV,을,JKO
38,았었,EP,받,VV
39,던,ETM,으러,EC
40,건,NNB,양양,NNP
41,데,NNB,에,JKB
42,",",SP,갔었,VV+EP
43,인구,NNP,던,ETM
44,해변,NNP,건데,NNB+VCP+EC
45,쪽,NNB,",",SC
46,에,JKB,인구,NNG
47,는,JX,해변,NNG
48,사람,NNG,쪽,NNB
49,이,JKS,에,JKB
50,많,VA,는,JX
51,아서,EC,사람,NNG
52,이번,NNG,이,JKS
53,에,JKB,많,VA
54,ㄴ,JX,아서,EC
55,동산,NNP,이번,NNG
56,해수욕장,NNP,엔,JKB+JX
57,쪽,NNB,동산,NNG
58,에,JKB,해수욕장,NNG
59,숙소,NNG,쪽,NNB
60,를,JKO,에,JKB
61,잡,VV,숙소,NNG
62,았,EP,를,JKO
63,답니다,EC,잡,VV
64,이번,NNG,았,EP
65,에,JKB,답니다,EC
66,방문,NNG,이번,NNG
67,하,XSV,에,JKB
68,게,EC,방문,NNG
69,되,VV,하,XSV
70,ㄴ,ETM,게,EC
71,곳,NNG,된,VV+ETM
72,은,JX,곳,NNG
73,힐,NNP,은,JX
74,비치,NNP,힐,NNP
75,서,NNP,비치,NNP
76,프리,NNP,서프,NNP
77,조,NNP,리조트,NNG
78,트,VV,라는,VCP+ETM
79,라는,ETM,곳,NNB
80,곳,NNG,인데,VCP+EC
81,이,VCP,",",SC
82,ㄴ데,EC,서핑,NNG
83,",",SP,강습,NNG
84,서핑,NNP,+,SY
85,강습,NNG,서핑,NNG
86,+,SW,렌탈,NNP
87,서핑,NNP,+,SY
88,레,NNP,숙박,NNG
89,ㄴ,JX,까지,JX
90,타,VV,한,MM
91,ㄹ,ETM,번,NNBC
92,+,SW,에,JKB
93,숙박,NNP,해결,NNG
94,까지,JX,할,XSV+ETM
95,한,MM,수,NNB
96,번,NNB,있,VV
97,에,JKB,는,ETM
98,해결,NNG,서핑,NNG
99,하,XSV,리조트,NNG
100,ㄹ,ETM,예요,VCP+EF
101,수,NNB,지난,VV+ETM
102,있,VV,양양,NNP
103,는,ETM,서핑,NNG
104,서핑,NNP,포스팅,NNP
105,리조트,NNP,에,JKB
106,예,NNG,도,JX
107,요,JX,언급,NNG
108,지나,VV,했,XSV+EP
109,ㄴ,ETM,지만,EC
110,양양,NNP,",",SC
111,서핑,NNP,서핑,NNG
112,포,NNG,올,MM
113,스팅,NNP,때,NNG
114,에,JKB,는,JX
115,도,JX,이렇게,MAG
116,언급,NNG,패키지,NNG
117,하,XSV,로,JKB
118,았,EP,모든,MM
119,지만,EC,것,NNB
120,",",SP,을,JKO
121,서핑,NNP,제공,NNG
122,올,MM,해,XSV+EC
123,때,NNG,주,VX
124,는,JX,는,ETM
125,이렇,VA,서핑,NNG
126,게,EC,리조트,NNG
127,패키지,NNP,가,JKS
128,로,JKB,좋,VA
129,모든,MM,아요,EF
130,것,NNB,힐,NNP
131,을,JKO,비치,NNP
132,제공,NNG,서프,NNP
133,하,XSV,리조트,NNG
134,아,EC,강원도,NNP
135,주,VX,양양군,NNP
136,는,ETM,현남면,NNP
137,서핑,NNP,동산리,NNP
138,리조트,NNP,203,SN
139,가,JKS,-,SY
140,좋,VA,19,SN
141,아요,EC,힐,NNG
142,힐,NNP,비치,NNG
143,비치,NNP,서프,NNP
144,서,NNP,리조트,NNG
145,프리,NNP,는,JX
146,조,NNP,이렇게,MAG
147,트,VV,동산,NNG
148,강원도,NNP,해수욕장,NNG
149,양양군,NNP,바로,MAG
150,현남면,NNP,앞,NNG
151,동산리,NNP,에,JKB
152,203,SN,위치,NNG
153,-,SW,하,XSV
154,19,SN,고,EC
155,힐,NNP,있,VX
156,비치,NNP,어요,EF
157,서,NNP,바다,NNG
158,프리,NNP,랑,JKB
159,조,NNP,조금,MAG
160,트,VV,만,JX
161,는,ETM,떨어진,VV+ETM
162,이렇,VA,숙소,NNG
163,게,EC,를,JKO
164,동산,NNP,가,VV
165,해수욕장,NNP,도,EC
166,바로,MAG,보통,NNG
167,앞,NNG,서핑,NNG
168,에,JKB,보드,NNP
169,위치,NNG,를,JKO
170,하,XSV,숙소,NNG
171,고,EC,부터,JX
172,있,VV,들,VV
173,어요,EC,고,EC
174,바다,NNG,가,VX
175,랑,JKB,야,EC
176,조금,NNG,하,VV
177,만,JX,는,ETM
178,떨어지,VV,불편,NNG
179,ㄴ,ETM,함,XSV+ETN
180,숙소,NNG,이,JKS
181,를,JKO,있,VV
182,가도,NNP,는데,EC
183,보통,MAG,",",SC
184,서핑,NNP,이곳,NP
185,보드,NNP,은,JX
186,를,JKO,바로,MAG
187,숙소,NNG,바다,NNG
188,부터,JX,앞,NNG
189,들,VV,에,JKB
190,고,EC,위치,NNG
191,가,VX,해서,XSV+EC
192,아야,EC,좋,VA
193,하,VV,았,EP
194,는,ETM,어요,EF
195,불편,NNG,게다가,MAG
196,하,XSV,동산,NNG
197,ㅁ,ETN,해수욕장,NNG
198,이,JKS,을,JKO
199,있,VV,독점,NNG
200,는데,EC,하,XSV
201,",",SP,고,EC
202,이곳,NP,있,VX
203,은,JX,어서,EC
204,바로,MAG,서핑,NNG
205,바다,NNG,강습,NNG
206,앞,NNG,받,VV
207,에,JKB,을,ETM
208,위치,NNG,때,NNG
209,하,XSV,도,JX
210,아서,EC,딱,MAG
211,좋,VA,저희,NP
212,았,EP,숙소,NNG
213,어요,EC,에서,JKB
214,게다가,MAG,예약,NNG
215,동산,NNP,한,XSA+ETM
216,해수욕장,NNP,사람,NNG
217,을,JKO,들,XSN
218,독점,NNG,밖에,JX
219,하,XSV,없,VA
220,고,EC,더라고요,EC
221,있,VV,개인,NNG
222,어서,EC,적,XSN
223,서핑,NNP,으로,JKB
224,강습,NNG,즐기,VV
225,받,VV,며,EC
226,을,ETM,놀,VV
227,때,NNG,기,ETN
228,도,JX,에,JKB
229,딱,MAG,는,JX
230,저희,NP,서피,NNG
