,word,counted
0,기사,789
1,서핑,756
2,양양,579
3,해변,515
4,파도,325
5,일출,279
6,바다,221
7,보드,181
8,강습,178
9,현북면,172
10,아침,138
11,사람,137
12,해수욕장,129
13,여행,127
14,문리,119
15,기사문항,91
16,휴게,83
17,조대,82
18,풍경,77
19,텐트,76
20,처음,76
21,형제바위,76
22,명소,75
23,항구,70
24,비치,63
25,연습,60
26,날씨,59
27,풍경화,59
28,갯바위,56
29,맛집,52
30,시작,51
31,주말,51
32,드레,51
33,바람,51
34,등대,50
35,포인트,50
36,오메가,50
37,강릉,50
38,새벽,50
39,강사,49
40,여름,48
41,죽도,48
42,저녁,46
43,캠핑,46
44,사장,46
45,예약,45
46,버스,45
47,카페,43
48,출발,43
49,추천,43
50,.com,42
51,치킨,41
52,하루,40
53,장소,40
54,조도,40
55,맥주,39
56,송이,39
57,모습,39
58,겨울,39
59,다음,38
60,수평선,37
61,준비,37
62,구경,37
63,자리,37
64,고기,36
65,스팅,35
66,숙소,35
67,퍼스,34
68,친구,33
69,게스트하우스,33
70,슈트,33
71,촬영,33
72,혼자,33
73,구름,32
74,느낌,32
75,제가,31
76,서울,31
77,속초,31
78,이랑,31
79,산나물,30
80,마지막,29
81,양양기,29
82,사문,29
83,횟집,29
84,밥집,29
85,식사,29
86,근처,29
87,웨이브,28
88,가격,28
89,이용,28
90,마을,28
91,보니,28
92,제일,27
93,언니,27
94,저장,27
95,동안,27
96,바닷가,27
97,그런지,27
98,만원,27
99,방파제,27
100,입수,26
101,리조트,26
102,전화,25
103,사실,25
104,최고,25
105,커피,25
106,입구,25
107,가족,25
108,몬스터,25
109,물놀이,24
110,동해안,24
111,하늘,24
112,주변,24
113,감사,24
114,이야기,24
115,요즘,24
116,주차장,24
117,점심,24
118,동해,23
119,완전,23
120,라면,23
121,마음,23
122,나중,23
123,음식,23
124,지도,22
125,피자,22
126,토요일,22
127,오랜만,22
128,샤워,22
129,원래,22
130,초보,21
131,체험,21
132,자유,21
133,다이빙,21
134,수영,21
135,체력,21
136,식당,21
137,동생,21
138,소개,21
139,한잔,21
140,아래,21
141,분위기,21
142,추억,20
143,지금,20
144,친절,20
145,기분,20
146,엄마,20
147,장비,20
148,다음날,20
149,설명,20
150,자세,19
151,도전,19
152,보기,19
153,오후,19
154,거리,19
155,주문진,19
156,운동,19
157,안전,19
158,이동,19
159,모래사장,19
160,작년,18
161,서울로,18
162,오전,18
163,필요,18
164,이름,18
