,word,counted
0,서핑,2551
1,양양,2236
2,해변,1374
3,동산,1342
4,비치,1094
5,바다,949
6,강습,794
7,해수욕장,774
8,파도,718
9,죽도,560
10,사람,502
11,카페,431
12,여행,367
13,보드,314
14,현남면,291
15,게스트하우스,278
16,프리,273
17,맛집,250
18,파마,247
19,여름,217
20,캠핑,217
21,모습,200
22,날씨,200
23,저장,197
24,동해,195
25,장소,195
26,시작,183
27,바닷가,182
28,강사,180
29,느낌,179
30,가족,174
31,예약,174
32,리조트,173
33,저녁,172
34,아침,172
35,이용,170
36,자리,166
37,일출,164
38,추천,160
39,처음,159
40,여유,159
41,낚시,158
42,커피,157
43,.com,155
44,마을,154
45,준비,151
46,강릉,145
47,사실,142
48,인구,142
49,동산리,142
50,친구,141
51,거리,141
52,분위기,140
53,큰길,138
54,아이들,137
55,속초,136
56,요즘,135
57,모래,135
58,맥주,133
59,텐트,131
60,사장,129
61,주말,129
62,조대,126
63,토르,125
64,객실,123
65,고기,122
66,바람,122
67,풍경,119
68,연습,119
69,보니,117
70,버거,113
71,다음,113
72,남애항,113
73,조개,111
74,숙소,110
75,전화,108
76,방파제,107
77,힐링,105
78,음식,105
79,최고,105
80,소리,104
81,전망대,103
82,화장실,103
83,스키,102
84,배우,101
85,공간,100
86,운영,100
87,교육,99
88,안전,99
89,출발,98
90,가격,97
91,방문,96
92,사용,94
93,진행,94
94,샤워,94
95,하루,92
96,오프,92
97,동산항,91
98,바위,91
99,체험,91
100,테이크,90
101,테이블,89
102,시설,89
103,구경,89
104,식사,89
105,경우,88
106,관심,88
107,수심,87
108,파티,87
109,서울,87
110,설명,86
111,입구,85
112,개인,85
113,토리,84
114,제가,84
115,마음,84
116,기분,83
117,식당,83
118,휴게,82
119,다이빙,82
120,만원,82
121,이름,81
122,자세,80
123,휴가,80
124,동안,80
125,근처,80
126,민박,79
127,도미,79
128,한잔,78
129,지도,77
130,물놀이,77
131,걱정,77
132,오전,75
133,오후,75
134,필요,74
135,건물,74
136,주차장,73
137,하늘,73
138,마리,72
139,주변,72
140,소나무,72
141,이랑,72
142,버스,71
143,구간,71
144,발리,71
145,침대,71
146,음료,68
147,주차,68
148,아래,68
149,중간,68
150,수제,68
151,원래,67
