,word,counted
0,바위,716
1,바다,673
2,사람,638
3,마을,628
4,강릉,592
5,허난설헌,428
6,도로,419
7,터널,411
8,허균,410
9,양양,371
10,이름,364
11,해변,363
12,지역,343
13,라고,340
14,해수욕장,338
15,사회,337
16,대관령,330
17,행정,327
18,옛날,318
19,여행,310
20,다리,307
21,조대,304
22,구역,302
23,모습,294
24,가족,292
25,주변,287
26,편입,285
27,금강산,285
28,해안,284
29,바닷가,272
30,자리,251
31,속초,250
32,속초시,248
33,동해,248
34,낭만,245
35,코스,244
36,지금,243
37,리라,241
38,파도,241
39,승용차,240
40,강릉시,236
41,울산,230
42,관광,226
43,본래,223
44,설악산,221
45,하늘,219
46,조선,215
47,가도,211
48,호수,211
49,폐합,208
50,고개,205
51,경포호,202
52,입구,198
53,소개,197
54,사상,192
55,남편,192
56,당시,190
57,기념관,187
58,고성군,187
59,작품,187
60,식사,183
61,동해안,180
62,시인,174
63,아침,173
64,개칭,171
65,명명,170
66,미시령,170
67,소리,169
68,전망대,169
69,손양면,166
70,거리,166
71,다음,165
72,국도,164
73,바람,164
74,시작,163
75,통일,163
76,자신,162
77,속칭,160
78,여자,160
79,경포대,156
80,콘도,154
81,일부,153
82,주문진,152
83,점심,151
84,소나무,150
85,공간,148
86,동리,148
87,공원,148
88,고성,147
89,개리,146
90,서면,145
91,노래,145
92,케이블카,144
93,초당,143
94,명칭,142
95,가운데,140
96,북쪽,140
97,중국,138
98,허엽,137
99,여류,137
100,정상,137
101,남쪽,136
102,설치,135
103,아래,134
104,전시,134
105,문화,133
106,낙산사,133
107,시대,133
108,동해시,132
109,통일전망대,131
110,자연,131
111,보니,131
112,삼척시,130
113,광정,130
114,이야기,129
115,생가,129
116,드라이빙,129
117,권금성,128
118,모순,128
119,사이,127
120,유래,126
121,하루,125
122,계곡,124
123,병합,122
124,연유,121
125,폭포,121
126,안내,120
127,오색,120
128,신흥사,120
129,인구,119
130,마음,119
131,가지,118
132,경포,117
133,현북면,116
134,북한,115
135,강현면,114
136,현실,113
137,모양,113
138,누이,112
139,생활,112
140,조선조,112
141,해파랑길,112
142,만원,110
143,정자,109
144,아내,109
145,과거,108
146,마지막,107
147,남대천,107
148,교산,107
149,동안,107
150,계속,107
151,세상,107
152,형성,106
153,식당,106
154,출발,106
155,라이,105
156,희망,105
157,고속도로,105
158,현남면,105
159,방향,105
160,오른쪽,104
161,구름,104
162,일행,103
163,연결,103
164,성전,103
165,감상,103
166,교통,102
167,사천,102
168,전설,101
169,정동진,101
170,집안,101
171,도리,101
172,하천,101
173,아들,100
174,주위,100
175,관광객,100
176,동쪽,99
177,남한,98
178,조각품,98
179,정치,97
180,구간,97
181,향교,97
182,의미,97
183,세계,97
184,낚시,96
185,아버지,96
186,강남,96
187,벼슬,96
188,푸른,95
189,사랑,92
190,송이,91
191,시가,91
192,처음,91
193,절경,90
194,통과,90
195,풍경,89
196,동생,89
197,양양읍,89
198,근심,88
199,장진,88
200,주차,88
201,박물관,87
202,등대,86
203,풍광,86
204,고려,86
205,서쪽,86
206,이용,86
207,날씨,85
208,나무,85
209,여인,84
210,변경,83
211,휴게,83
212,동산,83
213,고향,82
214,즐거움,82
215,부인,82
216,여성,82
217,일명,81
218,최초,81
219,순두부,81
220,문인,81
221,나이,81
222,정리,80
223,가난,80
224,문학,80
225,개혁,80
226,건물,80
227,부용,80
228,인간,80
229,전진,80
230,자승,80
231,원님,80
232,결혼,80
233,규방,80
234,김성립,80
235,삼척,80
236,이상향,80
237,홍길동전,80
238,허성,80
239,경계,80
240,재능,80
241,세대,80
242,포리,79
243,강선,79
244,자료,79
245,소재지,78
246,중심,77
247,개편,77
248,신라,76
249,배치,76
250,잠수함,75
251,시문,75
252,영동,73
253,오후,73
254,지혜,73
255,분단,73
256,촬영,73
257,누각,72
258,탑승,72
259,설명,71
260,주민,71
261,모래,70
262,친구,70
263,솔밭,69
264,중간,69
265,방파제,69
266,관계,68
267,송림,68
268,백사장,68
269,설악,68
270,가슴,68
271,발길,68
272,교리,68
273,부부,67
274,주차장,67
275,안목,67
276,영동고속도로,66
277,분할,66
278,상량문,66
279,휴식,66
280,휴양지,66
281,해돋이,65
282,경치,65
283,건설,65
284,시설,65
285,시내,65
286,천재,65
287,대문,64
288,대명,64
289,시집,64
290,사랑채,64
291,주행,64
292,안전,64
293,세금,64
294,봉래산,64
295,봉우리,64
296,기거,64
297,실천,64
298,동인,64
299,비판,64
300,신갈,64
301,도가,64
302,심곡항,63
303,습지,63
304,남항,63
305,우리나라,61
306,전체,61
307,한편,61
308,이란,61
309,저녁,60
310,천리,60
311,계획,60
312,경관,60
313,배경,60
314,미래,59
315,근처,59
316,일본,59
317,한참,59
318,추억,59
319,신비,58
320,마리,58
321,정원,58
322,항구,58
323,관할,57
324,단체,57
325,후세,57
326,옥루,57
327,표지판,57
328,당대,57
329,중기,57
330,모텔,57
331,가로,57
332,학산,57
333,형제,57
334,신선,57
335,동면,57
336,이조,56
337,대부분,56
338,주지,56
339,국내,56
340,제도,56
341,전쟁,56
342,구분,56
343,부모,56
344,해안로,56
345,안개,56
346,풍류,56
347,육지,56
348,유산,56
349,급제,56
350,터미널,55
351,모래시계,54
352,구경,54
353,정동진역,54
354,내용,54
355,건립,54
356,남진,54
357,부근,54
358,여운,54
359,태양,53
360,부사,53
361,장이,53
362,국가,53
363,시절,53
364,숙소,53
365,무덤,52
366,전국,52
367,기분,52
368,월리,52
369,이정표,52
370,자태,52
371,금지,52
372,모두,52
373,마당,51
374,부처,51
375,순간,51
376,노선,51
377,일차,51
378,분리,51
379,인지,51
380,상복,51
381,행동,50
382,손님,50
383,지명,50
384,오대산,50
385,태백산맥,50
386,자랑,50
387,남면,50
388,불교,50
389,지형,50
390,발전,50
391,일정,49
392,리조트,49
393,대포,49
394,어촌,49
395,공기,49
396,고기,49
397,죽도,49
398,친정,48
399,출입,48
400,시집살이,48
401,당파,48
402,신고서,48
403,해금강,48
404,차량,48
405,물치항,48
406,우산,48
407,다운,48
408,낙산해수욕장,48
409,허봉,48
410,한글,48
411,오빠,48
412,오전,48
413,앞마당,48
414,후에,48
415,신고,48
416,나라,48
417,상상,48
418,부락,48
419,선계,48
420,소식,48
421,소설,48
422,산책,48
423,천상,48
424,산책로,48
425,레저,48
426,문과,48
427,평생,48
428,공급,48
429,방문객,48
430,포구,48
431,북평,47
432,최북,47
433,최고,47
434,3월,47
435,커피,46
436,선사,46
437,인제군,46
438,노인,45
439,심곡,45
440,아취,45
441,대표,45
442,언덕,45
443,수복,45
444,내면,45
445,방면,45
446,이때,45
447,지방,45
448,이유,44
449,편안,44
450,남애항,44
451,백성,44
452,역사,44
453,토성면,44
454,광정리,44
455,헌화,44
456,어제,44
457,문화재,44
458,얼마,44
459,역할,44
460,형상,43
461,간판,43
462,조화,43
463,새벽,43
464,혼자,43
465,조금,43
466,그때,43
467,인기,43
468,곳곳,43
469,말씀,43
470,초당동,42
471,걱정,42
472,증가,42
473,이후,42
474,조각,42
475,기원,42
476,물고기,42
477,글씨,42
478,여름,42
479,바위섬,42
480,볼거리,42
481,둔전리,42
482,기회,42
483,지정,42
484,오죽헌,42
485,상징,42
486,선조,42
487,근방,42
488,이달,41
489,누나,41
490,한시,41
