word,counted
기사,533
해변,392
서핑,391
바다,305
파도,289
현북면,246
보드,176
여행,162
처음,150
문리,149
해수욕장,144
강습,143
전화,137
일출,135
지도,130
여름,126
주말,119
날씨,119
보기,119
휴게,118
맛집,114
조대,109
느낌,108
출발,107
기사문항,106
사장,104
추천,104
예약,103
마음,99
준비,98
보니,96
장소,96
명소,95
친구,94
서울,93
죽도,93
모습,93
맥주,92
가격,90
요즘,89
비치,89
사실,88
새벽,88
하루,87
바람,85
근처,83
연습,83
동해,82
카페,78
분위기,76
게스트하우스,75
제가,75
구경,74
혼자,74
숙소,74
기분,73
식사,72
하늘,72
자리,72
운영,71
동안,70
등대,70
그런지,69
바닷가,69
이용,68
스팅,67
강릉,67
한잔,67
최고,66
강사,66
고기,66
완전,66
이랑,66
만원,66
겨울,65
가족,64
다음날,64
안녕하세요,64
마지막,64
속초,64
구름,63
풍경,62
횟집,62
거리,62
관심,62
친절,62
커피,61
소개,61
조도,61
이동,60
오전,60
오후,60
.com,59
점심,59
식당,58
가지,58
음식,58
샤워,57
아래,56
오랜만,55
이야기,55
물놀이,55
수평선,55
주변,54
초보,54
슈트,54
시설,54
숙박,53
캠핑,53
휴가,53
이름,53
운동,53
저장,52
장비,52
원래,52
방문,52
폴더,52
하기,51
감사,51
입구,51
제일,51
행복,50
여유,50
치킨,50
송이,49
기대,49
지금,49
교육,49
도전,48
촬영,48
조금,47
블로그,47
선택,47
소리,46
설명,46
검색,46
중간,46
기억,46
수트,45
얼마,45
리조트,45
입수,45
계획,44
만족,44
토요일,44
후기,43
종일,43
주차장,43
테이블,43
필요,42
내부,42
걱정,42
안전,42
나중,42
자유,41
이제,41
방파제,41
버스,41
나름,41
판매,41
네이버,41
동해대로,41
사이,40
퍼스,40
작년,40
포인트,40
공간,40
영상,40
언니,40
화장실,40
바위,40
해주시,40
기본,40
동해안,39
지역,39
이유,39
사용,39
파티,39
고고,39
매력,39
체험,39
모래,39
참고,39
사랑,39
모양,38
아이,38
인구,38
좋아서,38
바닷물,38
이서,38
얼굴,38
순간,37
아이들,37
웨이브,37
고민,37
텐트,37
개인,37
이후,37
나라,37
체력,37
덕분,36
강원,36
재미,36
편의점,36
오프,36
마리,36
라면,36
한곳,35
진행,35
만큼,35
요리,35
주차,35
사문,35
여름휴가,35
이건,35
