word,counted
바다,287
해수욕장,244
해변,218
서핑,176
여행,157
파도,155
현남면,152
남애항,145
가족,118
처음,110
동해,107
추천,102
여름,101
바위,91
전화,91
느낌,89
근처,88
바닷가,88
아이들,85
모습,84
자리,83
숙소,82
거리,81
물놀이,79
출발,79
준비,79
모래,78
지도,78
날씨,78
강릉,76
보기,72
사장,72
민박,71
장소,69
수심,69
이랑,68
맛집,67
횟집,67
친구,67
사실,66
마음,66
이용,66
바람,65
완전,65
구경,65
휴가,64
마지막,63
물고기,62
하루,59
제가,59
보니,58
.com,57
비치,57
스노,56
샤워,56
풍경,55
새벽,55
가격,55
스팅,54
만원,54
전망대,54
그런지,53
카페,52
맥주,52
조개,52
음식,51
고기,51
예약,51
요즘,51
장비,50
한잔,50
혼자,49
포인트,49
소개,49
주변,49
방문,48
이동,48
점심,47
기분,47
촬영,47
안전,47
주말,47
보드,47
바닥,47
식사,46
파라솔,46
원래,46
하늘,45
다이빙,45
분위기,45
식당,45
커피,45
입구,45
동해안,44
행복,44
텐트,44
스쿠버,44
주문진,44
일출,44
안녕하세요,43
엄마,43
이름,43
기대,43
작년,42
다음날,42
죽도,42
테이블,42
최고,42
아빠,42
속초,41
화장실,41
제일,41
사용,40
조금,40
서울,40
체험,40
강습,40
아래,40
튜브,40
숙박,40
수영,39
여름휴가,39
아이,39
시설,39
명소,39
검색,39
해수욕,39
기억,39
낚시,38
선택,37
마무리,37
리조트,37
나름,37
한곳,37
오징어,36
등대,36
사이,36
블로그,36
생선,36
사랑,36
동안,36
공간,36
가지,36
그늘,36
이제,36
관심,36
강사,35
성수기,35
오전,34
방파제,34
여유,34
단위,34
기본,34
필요,33
오픈,33
만족,33
놀이,33
고고,33
얼마,32
계획,32
국내,32
추억,32
개인,32
이야기,32
바닷물,32
참고,31
재미,31
마리,31
오후,31
반찬,31
라면,31
운영,31
휴게,31
걱정,31
오랜만,31
주차,30
저장,30
내부,30
매운탕,30
조대,30
고민,30
소리,29
어른,29
손님,29
하기,29
이건,29
감사,29
마을,29
교육,29
지금,29
한참,28
슈트,28
폴더,28
전날,28
입수,28
물속,28
인구,28
정보,28
고속도로,28
친절,28
정리,28
코스,27
도로,27
테라스,27
얼굴,27
분이,27
겨울,27
내년,27
에어컨,26
힐링,26
하와이,26
시장,26
영상,26
수영장,26
샤워실,26
대여,26
남편,26
모래사장,26
산책,26
연산,26
중간,26
스노클링,26
포기,25
편의점,25
워크,25
백사장,25
덕분,25
10분,25
스카이,25
강아지,25
진행,25
캠핑,25
인지,25
주차장,25
만큼,25
자연,24
곳도,24
이예,24
한번,24
휴가철,24
결정,24
인테리어,24
여자,24
마루,24
오빠,24
항구,24
언니,24
카메라,23
매력,23
투어,23
좋아서,23
감상,23
구름,23
추가,23
요기,23
남자,23
와이,23
상태,22
예전,22
말씀,22
공기,22
아들,22
계곡,22
설치,22
건물,22
꿀맛,22
후기,22
대기,22
순간,22
계단,22
8월,21
내일,21
보트,21
개장,21
소주,21
서비스,21
모양,21
국물,21
휴식,21
타임,21
등등,21
문의,21
머리,21
배달,21
어제,21
그때,21
돌고래,21
다리,21
그릇,21
오른쪽,21
구명조끼,21
냄새,21
일정,21
기사,21
강원,21
커플,21
천원,21
연습,20
기전,20
토요일,20
당일,20
안내,20
가운데,20
해안,20
그림,20
가게,20
부분,20
바로,20
막국수,20
해주시,20
7월,20
지역,20
장이,20
야외,20
마련,20
리에,19
시즌,19
편안,19
부탁,19
굿모닝,19
가자미,19
나중,19
고래사냥,19
이다,19
아쉬움,19
여행지,19
여기저기,19
양이,19
구입,19
의자,19
경치,19
시야,19
갯바위,19
가재,19
가슴,19
대박,19
게스트하우스,18
문제,18
하우스,18
동네,18
김치,18
멍게,18
침대,18
호텔,18
영화,18
한국,18
녀석,18
포함,18
동반,18
소나무,18
왼쪽,18
요금,18
초보,18
동영상,18
다이버,18
전경,18
일요일,18
장점,17
나무,17
사고,17
낙산,17
네이버,17
대신,17
이후,17
고생,17
이유,17
발견,17
더위,17
세상,17
전복,17
차로,17
다행,17
6월,17
치킨,17
우리나라,17
관리,17
미항,17
식구,17
비교,17
처녀,17
종일,17
첫날,17
홈페이지,16
확인,16
종류,16
대부분,16
자랑,16
입장,16
절대,16
스파,16
무료,16
성인,16
서울로,16
가시,16
구이,16
새우,16
목적지,16
온수,16
인근,16
전망,16
갯마을,16
피서객,16
인생,16
밑반찬,16
부부,16
해산물,16
연인,16
태풍,16
애기,16
배낚시,15
수영복,15
양념,15
주방,15
문어,15
가드,15
한쪽,15
버거,15
미역,15
부족,15
체크,15
삼척,15
광어,15
정신,15
해먹,15
감자,15
아니,15
모듬,15
공사,15
군데,15
이때,15
장난,15
운전,15
이웃,15
.kr,15
평일,15
버스,15
청소,15
수건,15
크기,15
송이,15
냉장고,15
자유,15
포장,15
어린이,15
온도,15
간식,15
전체,15
푸른,15
지인,15
수온,15
삼겹살,15
남해,14
경험,14
바닷속,14
레저,14
맛나,14
깊이,14
가을,14
낙산사,14
설명,14
어촌,14
아기,14
무릎,14
스키,14
위험,14
경포대,14
얘기,14
완료,14
이서,14
실패,14
오신,14
파티,14
신발,14
크림,14
표정,14
신랑,14
성공,14
슈퍼,14
워터,14
월요일,14
연휴,14
시골,14
게스트,14
안나,14
사이즈,14
유리,14
가능,14
수트,14
관계,14
메인,14
드릴,14
둥둥,14
음악,14
신경,14
입맛,13
피서,13
안주,13
선물,13
피곤,13
대표,13
계속,13
주인,13
가도,13
인분,13
정자,13
수상,13
지난주,13
예정,13
가자,13
필수,13
대구,13
기가,13
도전,13
핸드폰,13
약속,13
요건,13
애견,13
불편,13
허리,13
.co,13
등장,13
해서,13
동생,13
현서,13
미터,13
안보,13
주의,13
수평선,13
판매,13
패스,13
이틀,13
도깨비,13
스타일,13
센터,13
인가,13
평소,13
할머니,13
투명,13
운동,12
야채,12
전문,12
하면,12
해외,12
지점,12
오니,12
야영,12
착용,12
시기,12
먹방,12
생활,12
장호항,12
구비,12
중인,12
방향,12
노래,12
정비,12
동산,12
체력,12
제주도,12
가야,12
나라,12
각종,12
거북,12
단체,12
가보,12
우측,12
해결,12
군가,12
애창,12
이국,12
북적,12
이론,12
자체,12
대로,12
남은,12
피자,12
스팟,12
대비,12
당일치기,12
파란,12
거실,11
해삼,11
스타,11
양양가,11
만남,11
아메리카노,11
금요일,11
가요,11
갈매기,11
직원,11
저번,11
어린아이,11
곳곳,11
햄버거,11
조개잡이,11
우럭,11
그중,11
설레임,11
음료,11
고추,11
세팅,11
여름철,11
회덮밥,11
프로,11
정식,11
규모,11
소식,11
9월,11
천국,11
리가,11
여성,11
본인,11
진심,11
접시,11
수치,11
엄지,11
실수,11
경매,11
다이브,11
중심,11
축제,11
아무것,11
후회,11
스포츠,11
외관,11
조건,11
이해,11
수업,11
조카,11
상상,11
완벽,11
일상,11
하나로,11
개별,11
그동안,11
일반,11
활어,11
건지,11
취사,11
햇빛,11
면적,10
시가,10
계절,10
터미널,10
모임,10
식탁,10
실내,10
수도,10
밥집,10
야영장,10
듯이,10
한눈,10
인기,10
메카,10
연결,10
수산,10
에선,10
초장,10
도보,10
수육,10
영국,10
지경,10
햇살,10
재료,10
라인,10
앞쪽,10
자격증,10
스킨스쿠버,10
요리,10
돗자리,10
애로,10
초보자,10
미역국,10
나머지,10
무리,10
모델,10
장님,10
건강,10
양쪽,10
트레이너,10
기간,10
자락,10
활동,10
인정,10
피부,10
열정,10
약간,10
국도,10
객실,10
옥수수,10
조망,10
시원,10
신나,10
앞바다,10
아가,10
해장,10
사온,10
신분,10
구매,10
유명,10
사서,10
방법,10
나이,10
동해대로,10
고운,10
폭염,10
조심,10
바다낚시,10
와서,10
캠프,10
옛날,10
창문,9
보고 싶다,9
와중,9
컵라면,9
오오,9
긴장,9
감성,9
복귀,9
모델링,9
반대,9
구역,9
먹거리,9
감동,9
마스크,9
난리,9
조명,9
일주일,9
수산물,9
용품,9
기록,9
홍합,9
스쿠버 다이빙,9
일차,9
애가,9
잠깐,9
쓰레기,9
바퀴,9
의지,9
안녕,9
샐러드,9
닭강정,9
세트,9
예술,9
주위,9
고래,9
