word,counted
설악,553
해수욕장,543
바다,371
속초,300
여행,285
해변,271
파도,232
강현면,228
서핑,224
낙산사,180
여름,177
가족,177
날씨,162
추천,149
거리,148
동해,146
바람,141
느낌,140
지도,134
전화,133
숙소,130
비치,129
예약,128
근처,128
출발,127
맛집,127
구경,127
자리,123
준비,122
처음,122
주차장,119
보니,118
이용,117
물놀이,116
장소,115
마음,114
가격,114
바닷가,113
주말,112
입구,112
보기,111
주차,111
모습,109
주변,106
낙산,106
아이들,105
풍경,105
분위기,103
요즘,99
만원,97
낙산해수욕장,96
모래,96
카페,95
소개,94
식사,92
설악산,92
화장실,92
안녕하세요,90
사실,89
방문,89
후진항,89
막국수,89
사용,87
기분,87
이랑,87
무료,86
사장,86
서울,86
식당,86
휴가,86
하늘,85
그런지,85
커피,84
제가,84
고기,83
.com,82
친구,82
센터,82
운영,81
오후,81
동해대로,81
기억,80
계획,80
만족,79
시설,79
여름휴가,77
아래,75
산책,74
하루,74
스팅,73
행복,73
소리,72
제일,72
공간,72
음식,72
이동,72
오전,72
검색,72
테이블,72
최고,72
마지막,72
아이,71
걱정,71
가지,70
완전,70
점심,70
내부,69
한잔,69
사이,69
숙박,69
대포항,69
필요,68
토요일,68
활어,68
이름,68
동안,68
맥주,67
엄마,67
코스,67
겨울,67
기대,66
추억,66
해수,65
혼자,65
호텔,65
원래,65
캠핑,65
여유,65
판매,64
건물,64
다음날,64
조대,63
선택,63
참고,62
관심,62
고민,62
지금,62
강습,62
-1,62
해수욕,62
범바우,61
마무리,61
지역,60
한참,60
힐링,60
오랜만,60
샤워,60
보드,60
얼마,60
동해안,60
손님,59
중간,59
안내,59
건강,59
놀이,58
친절,57
고속도로,57
편의점,57
이야기,56
안전,55
기본,55
라면,55
조금,55
사랑,55
마을,54
일출,54
한곳,54
관음,54
바닷물,54
속초시,54
수심,53
침대,53
오징어,53
강원,52
새벽,52
체험,52
이유,52
횟집,52
물치항,51
등대,51
아빠,51
구매,51
시장,51
튜브,50
만큼,50
정암,50
조개,50
텐트,49
버스,49
인근,49
자연,49
확인,49
육수,48
개인,48
고성,47
용호리,47
네이버,47
국물,46
저장,46
감사,45
추가,45
서비스,45
구이,45
크기,45
수육,45
고고,45
부부,45
마켓,45
정리,44
10분,44
바닥,44
폴더,44
단체,44
마리,44
새우,43
후기,43
편리,43
해주시,42
작년,42
튀김,42
