word,counted
바다,259
비치,250
여행,241
맛집,208
낚시,207
손양면,190
체험,187
수산,173
횟집,166
요트,163
가자미,155
속초,150
가족,143
전화,135
처음,132
추천,130
동해,128
거리,124
근처,120
문어,114
동해안,114
지도,111
마을,111
가격,106
보기,105
배낚시,103
요즘,96
모습,96
조개,95
날씨,94
항구,93
어촌,92
여름,92
아이들,91
해변,89
방파제,88
준비,87
음식,87
낙산,85
예약,85
수산리,85
보니,84
국물,83
투명,79
친구,79
기본,79
사실,78
느낌,77
카누,77
방문,76
선상,76
자리,74
마리나,74
바람,74
오후,74
식당,74
만원,74
반찬,73
바다낚시,73
식사,73
마리,72
추억,71
장소,71
주변,70
주말,70
낙산사,69
구경,69
이용,68
가지,67
운영,67
이랑,67
최고,67
손님,67
점심,67
파도,66
해수욕장,66
밑반찬,66
매운탕,66
고기,65
한곳,64
출발,64
복전,64
서울,63
연산,62
리조트,62
검색,61
사장,61
오징어,61
강릉,61
입구,59
관심,58
오전,57
완전,57
추가,57
공기,57
제가,57
마음,57
마지막,56
코스,55
아이,55
테이블,53
승선,53
기대,53
해산물,53
스팅,52
생선,52
개인,52
숙소,52
이름,52
안녕하세요,51
안전,51
기분,51
바닷가,51
포인트,51
걱정,51
어선,50
조대,50
다래,50
고민,50
보트,49
휴가,49
아래,48
양이,47
.com,47
소개,47
전문,47
참고,47
지역,47
등대,46
지금,46
낙산해수욕장,46
칼국수,46
대박,46
인근,46
만족,46
대게,45
분이,45
풍경,45
물고기,45
원래,45
제일,45
캠핑,44
자연,44
한잔,44
저장,44
폴더,43
새우,43
이동,43
구이,43
그런지,43
대표,42
단체,42
사이,42
연인,42
미끼,42
사용,42
무료,41
인기,41
하루,41
안쪽,41
엄마,41
서핑,41
필요,41
조금,40
여름휴가,40
친절,40
중간,40
전망대,39
하늘,39
진호,39
예전,39
우럭,39
요리,39
해녀,39
주차장,39
그릇,38
사리,38
부추,38
가게,38
.kr,38
동호,37
볼거리,37
계획,37
고속도로,37
손맛,37
활어,37
설악산,37
산책,37
모듬,37
이건,37
사랑,37
여유,37
만큼,37
먹거리,36
얼마,36
재료,36
선택,36
정박,36
소리,36
비누,35
입맛,35
해양,35
분위기,35
행복,35
주차,35
새벽,35
재미,35
시장,34
문의,34
이예,34
7월,34
오랜만,34
축제,34
안내,34
미역,34
멍게,33
시설,33
전복,33
감사,33
여행지,33
낙산항,33
바위,33
선장,33
크기,33
광어,33
동호리,32
동네,32
이유,32
등등,32
야채,32
가을,32
겨울,32
포장,31
내부,31
선사,31
초보,31
후기,31
낚시대,31
소면,31
차로,31
이제,31
3분,31
강원,31
수요일,31
해초,30
호텔,30
마무리,30
동안,30
대명,30
이야기,30
커피,30
기억,30
나중,30
회로,29
관광객,29
토종,29
나름,29
남애항,29
필수,29
채비,28
참가자,28
홍합,28
해삼,28
건물,28
대포항,28
복무,28
관광,28
손질,28
블로그,28
프로그램,28
발견,28
요금,28
출조,28
라면,27
어항,27
비교,27
이서,27
혼자,27
해장,27
어른,27
타임,27
오토,27
한참,27
전문점,27
소주,27
확인,27
다음날,27
골든,27
앞바다,26
각종,26
서비스,26
일반,26
대구,26
10분,26
8월,26
피싱,26
주소,26
오시,26
작년,26
행사,26
아빠,26
양양가,25
메인,25
경험,25
종류,25
힐링,25
육수,25
평일,25
아들,25
매력,25
일출,25
오산,25
봉수,25
화장실,24
최대,24
미역국,24
전경,24
기가,24
바닥,24
진행,24
커플,24
여성,24
부부,24
자체,24
방법,24
휴게,24
결정,24
말씀,24
규모,24
제공,24
공간,24
일요일,24
클럽,23
일정,23
조황,23
인분,23
탕이,23
설명,23
물치항,23
튀김,23
푸른,23
고고,23
주문진,23
회랑,23
영상,23
유적,23
내항,22
최신,22
고등어,22
오른쪽,22
생활,22
김치,22
부분,22
사이즈,22
네이버,22
방송,22
구름,22
한식대첩,22
일품,22
모양,22
하우스,22
브레이크,22
무침,22
포함,22
운전,22
2시,22
전국,22
정보,22
양념,22
숙박,22
조사,21
레저,21
인지,21
얼굴,21
대한민국,21
제철,21
-1,21
실수,21
이선장,21
오픈,21
남은,21
전날,20
모임,20
방향,20
래미,20
상태,20
도전,20
소라,20
주인,20
위험,20
녀석,20
국내,20
경우,20
출항,20
미항,20
회의,20
상황,20
판매,20
버섯,20
장비,20
입질,20
가시,20
모두,20
젓갈,20
영업시간,20
비주얼,20
야외,19
송이,19
접시,19
이색,19
기회,19
조림,19
6월,19
매콤,19
그때,19
시즌,19
그중,19
하기,19
지인,19
국수,19
남편,19
편의점,19
이것저것,19
고추장,19
대기,19
비용,19
이후,19
등장,19
맥주,19
구입,19
지정,19
도로,19
설치,19
바닷물,18
멸치,18
정리,18
인증,18
진짜,18
대부분,18
감상,18
간판,18
바로,18
해안,18
카페,18
바늘,18
죽도,18
5월,18
그림,18
우리나라,18
구명조끼,18
센터,18
이국,18
오신,18
초장,18
한번,18
예정,17
덕분,17
대로,17
일행,17
대신,17
실망,17
편안,17
얘기,17
소원,17
단위,17
소나무,17
한눈,17
양도,17
바지락,17
영자,17
건지,17
전진,17
씨알,17
가루,17
휴가철,17
문제,17
분도,17
통발,17
언니,17
남녀노소,17
여기저기,17
옛날,16
수도,16
해서,16
계절,16
수족관,16
평소,16
안보,16
이웃,16
순간,16
연락,16
서해,16
솔밭,16
인당,16
전망,16
해물,16
바닷바람,16
작업,16
꽁치,16
수제비,16
철수,16
왼쪽,16
인원,16
명소,16
주시,16
현장,16
조심,16
내일,16
당일,16
즐거움,16
더위,16
픽업,15
아쉬움,15
피곤,15
다행,15
캠핑장,15
10월,15
결과,15
외항,15
이신,15
수상,15
고요,15
도루묵,15
별미,15
음식점,15
고향,15
후회,15
정말,15
비쥬,15
사고,15
맞이,15
소스,15
포기,15
영업,15
동생,15
먹방,15
꿀맛,15
카약,15
볶음,15
초보자,15
좋아서,15
투어,15
산길,15
해주시,15
순대,15
직원,14
복도,14
인승,14
관광지,14
잡기,14
맛나,14
갈매기,14
속도,14
조성,14
커서,14
대회,14
어르신,14
요건,14
동시,14
절대,14
아저씨,14
회덮밥,14
공사,14
남자,14
촬영,14
고성,14
삼치,14
자랑,14
유명,14
주민,14
체크인,14
부모,14
개통,14
간장,14
부족,14
국가,14
한쪽,14
머리,14
완성,14
목적지,14
파란,14
부탁,14
국도,14
스노클링,13
횟감,13
휴식,13
보드,13
