word,counted
해변,433
서핑,370
현남면,279
바다,278
죽도,249
여행,208
해수욕장,191
파도,178
맛집,174
느낌,170
카페,163
여름,150
추천,146
처음,141
날씨,140
근처,126
분위기,126
가격,126
보니,122
예약,119
사장,119
보드,119
구경,117
친구,114
요즘,114
준비,113
음식,112
안녕하세요,110
모습,108
제가,108
자리,108
거리,105
전화,105
식당,104
맥주,103
바닷가,102
숙소,101
이용,100
지도,99
게스트하우스,98
방문,98
주말,97
테이블,95
마음,95
스팅,94
완전,92
커피,91
강습,91
그런지,91
고기,90
서울,90
운영,90
바람,89
공간,89
보기,86
구리,85
버스,84
사실,84
이랑,84
기분,84
동해,82
가족,82
소개,82
내부,82
출발,78
다음날,78
강릉,77
주변,77
.com,77
파티,77
막국수,75
식사,75
인테리어,75
장소,75
손님,75
걱정,74
한잔,73
강원,73
가게,73
이동,72
비치,71
마지막,71
사용,70
고민,69
점심,69
건물,69
여유,67
아래,66
나름,66
소주,65
만족,65
참고,64
행복,64
이름,64
개인,63
힐링,62
최고,62
후기,62
제일,62
하늘,61
오후,61
숙박,61
리단,61
휴가,60
주문진,59
검색,59
사이,58
오픈,58
실내,58
모래,58
캠핑,58
속초,57
필요,57
만큼,56
화장실,56
판매,56
가지,56
이유,56
동안,55
셀프,55
만원,55
오전,55
물놀이,53
산책,53
동네,53
친절,53
기본,53
나중,52
하루,52
입구,52
호텔,52
전화번호,52
오랜만,51
얼마,51
재료,50
진행,50
관심,50
작년,50
풍경,50
감사,49
기억,49
원래,49
기대,49
조대,49
이야기,49
음료,49
의자,49
아이들,49
재미,49
지금,49
테라스,48
확인,48
새벽,48
조금,48
단체,48
음식점,48
마을,47
주소,47
만두,46
메밀,46
시설,46
선택,46
추억,45
설렁탕,45
겨울,44
반찬,44
대표,44
블로그,44
계획,43
성수기,43
예전,43
낚시,43
혼자,43
소품,42
코스,42
여자,41
세상,41
중앙,41
교육,41
야외,41
식구,40
정리,40
슈트,39
커플,39
저장,39
터미널,39
하기,39
설명,39
사랑,39
타임,39
그때,39
마무리,38
주방,38
매력,38
편의점,38
주차,38
엄마,38
외관,38
스파,38
폴더,38
등등,38
번호,37
수육,37
남자,37
인기,37
방파제,37
라면,37
침대,37
일출,37
좋아서,37
한우,37
휴게,37
클릭,36
경우,36
덕분,36
초보,36
국물,36
중간,36
강사,36
이제,36
공기,35
평일,35
간판,35
해서,35
한참,35
짬뽕,35
추가,35
전날,35
종류,35
일정,34
얘기,34
이건,34
해주시,34
연습,34
발견,34
장비,34
요리,34
국내,34
분이,34
감성,34
수트,33
바닥,33
아들,33
제공,33
부분,33
네이버,33
김치,33
고고,32
술집,32
이후,32
도전,32
텐트,32
자유,32
센스,32
인생,32
불편,32
소리,31
문의,31
인지,31
수심,31
시즌,31
샤워,31
.kr,31
해결,31
마리,31
온도,31
안전,31
이미지,31
전체,31
사이즈,31
토요일,31
설치,31
지역,30
한쪽,30
스타일,30
전망대,30
아니,30
나무,30
안주,30
동영상,30
모래사장,30
한곳,30
성공,30
그릇,30
전병,30
정보,30
머리,30
매장,30
대신,30
무료,29
남편,29
왼쪽,29
그림,29
기회,29
한번,29
이론,29
언니,29
고속도로,29
일요일,29
인구항,29
수영,28
객실,28
오시,28
상태,28
필수,28
메인,28
하우스,28
곳곳,28
편안,28
순간,28
자연,28
구매,28
여름휴가,28
메카,28
소스,28
얼굴,28
냄새,28
꿀맛,28
인근,28
와서,28
크림,27
바로,27
하면,27
치즈,27
조식,27
체력,27
영업시간,27
바위,27
안내,27
아이,27
자체,27
건강,27
포함,27
경험,27
스팟,27
결정,27
제한,26
강아지,26
스타,26
마트,26
영상,26
대부분,26
주차장,26
특급,26
감자,26
주방장,26
직원,26
마련,26
성지,25
지인,25
자세,25
레시,25
안쪽,25
연인,25
홈페이지,25
아이스,25
아빠,25
특색,25
아메리카노,25
피자,25
다이빙,25
수업,25
시장,25
조명,25
모양,25
양념,25
튀김,25
오른쪽,25
동시,25
구입,24
2시,24
-1,24
대박,24
수용,24
60,24
체험,24
송이,24
음악,24
스키,24
옛날,24
휴가철,24
매콤,24
도로,24
부담,24
냉장고,24
놀이,24
천원,24
창문,24
소식,24
취향,24
노래,24
일반,24
바닷물,24
기사,24
새우,23
운전,23
슬러시,23
포토,23
인가,23
예정,23
오신,23
기전,23
포인트,23
-4,23
명소,23
부산,23
부부,23
동산,23
제품,23
신경,23
운동,23
해수욕,23
곳도,23
크기,23
외국,23
여기저기,22
빈티지,22
양이,22
가도,22
후회,22
해안,22
버거,22
대기,22
서울로,22
게임,22
문제,22
주인,22
초보자,22
골목,22
건지,22
동해안,22
입수,22
부탁,22
정신,22
가드,22
말씀,22
비용,22
시골,22
눈꽃,22
수건,22
휴식,22
패키지,22
이서,22
다행,21
이해,21
문화,21
야채,21
외부,21
가시,21
계절,21
생활,21
카메라,21
예상,21
금요일,21
연락,21
햇빛,21
부족,21
계단,21
보관,21
이때,21
입맛,21
구름,21
방법,21
남은,21
바퀴,20
감상,20
일상,20
각종,20
전망,20
공사,20
8월,20
스포츠,20
살얼음,20
신축,20
연휴,20
수도,20
안보,20
택시,20
우리나라,20
장이,20
비수,20
인상,20
하나,20
체크인,20
시가,20
포기,20
1박 2일,20
아쉬움,20
