word,counted
광정리,548
현북면,495
조대,494
바다,347
여행,283
해수욕장,279
해변,230
동해,222
하륜,201
등대,191
조준,190
소나무,173
강원,173
정자,168
바위,161
주변,160
일출,158
해안,150
속초,148
모습,147
지도,143
추천,142
풍경,139
사이,137
강릉,136
전망대,132
지역,131
전화,129
파도,129
자리,129
소개,128
이름,127
마음,125
이용,124
여름,124
거리,122
장소,121
마을,120
이야기,120
명소,119
바닷가,119
절경,116
입구,115
절벽,113
보기,112
주소,112
가족,111
자연,110
경치,109
동해안,109
기암절벽,109
코스,109
낙산사,105
근처,105
구경,105
사랑,105
하늘,104
.com,104
관광,104
아래,103
시설,102
날씨,102
-1,101
느낌,101
서울,100
조선,100
비치,99
바람,97
방문,95
처음,94
카페,90
서핑,90
최고,89
지금,89
주차장,89
기분,88
현남면,87
분위기,86
노송,86
주차,85
지정,85
겨울,84
백사장,84
인근,83
고려,83
건물,82
가지,81
사실,80
한곳,80
안녕하세요,80
가격,78
관광객,78
촬영,78
계단,78
준비,78
보니,77
계획,77
소리,76
참고,76
맛집,75
강현면,75
죽도,75
명칭,74
요즘,74
여행지,74
우리나라,73
-2,73
감상,72
친구,72
수심,72
육각,71
스카이,71
기암괴석,70
숙소,70
기억,70
나무,70
명승,69
공간,69
배경,69
예약,69
힐링,68
푸른,68
운영,67
송림,67
공신,67
이동,66
남쪽,65
조선의 개국공신,65
애국가,65
마지막,65
번지,65
경사,64
처녀,64
안내,64
동안,64
추억,64
제가,64
워크,64
관리,63
주말,63
관광지,63
낙산,63
중간,62
모래,62
집안,62
내부,62
도로,62
설악산,62
관심,62
자랑,62
무인,61
총각,61
강릉시,61
시대,60
대표,60
출발,60
기사,60
정보,60
커피,59
방향,59
음식,59
식당,59
무료,59
승지,59
문화,59
주문진,59
만큼,59
여유,58
하루,58
사용,58
유래,58
오후,58
기대,58
제일,58
기록,58
조금,58
그림,57
규모,57
스팅,57
필요,56
전설,56
행복,56
서면,56
버스,56
개인,56
확인,56
아이들,56
개국,55
체험,55
암석해안,55
식사,55
은거,55
숙박,55
진리,55
일대,54
국내,54
홈페이지,53
출처,53
오른쪽,53
진행,53
전국,53
낭만,52
화장실,52
한국,52
바위섬,52
계곡,52
풍광,52
정리,51
건립,51
대전,51
이후,51
휴가,51
감사,51
캠핑,50
얼굴,50
모양,50
주위,50
공원,50
그런지,50
인기,50
이랑,50
부산,50
만원,50
휴게,49
양양읍,49
호로,49
시장,49
가슴,49
볼거리,49
설명,48
경관,48
역사,48
해돋이,47
설치,47
기본,47
의상대,47
인구,47
지로,46
세상,46
바닥,46
검색,46
조성,46
속초시,46
저장,46
이유,45
물놀이,45
전망,45
원래,45
다리,45
대부분,45
오전,45
산책,44
고성,44
영상,44
국도,44
북쪽,44
오색,44
드라마,44
왼쪽,44
고기,44
터미널,43
순간,43
삼척,43
방파제,43
네이버,43
매력,43
보호,42
.kr,42
제공,42
복원,42
장관,42
남대천,41
발견,41
한눈,41
축제,41
바닷바람,41
일반,41
손양면,41
하나로,41
센터,40
이제,40
막국수,40
한잔,40
입장료,40
도리,40
지방,40
점심,40
내용,40
폴더,40
곳곳,40
방법,40
얼마,39
전체,39
포리,39
등장,39
구름,39
행사,39
관음,38
맞이,38
휴식,38
사장,38
낚시,38
블로그,38
부분,38
연결,38
-3,38
현판,38
판매,38
걱정,38
사찰,37
기상,37
맥주,37
고속도로,37
생활,37
망대,37
구역,37
정상,37
아이,37
해수욕,36
마련,36
이다,36
안내소,36
건강,36
공기,36
마리,36
대한민국,36
요금,36
운행,36
조화,36
선택,36
10분,36
태양,36
완전,36
안길,35
호텔,35
지점,35
-4,35
계절,35
남애항,35
선사,35
-5,35
예전,35
정동진,35
추가,35
후기,35
가을,34
단위,34
비교,34
송이,34
일부,34
성전,34
소요,34
차량,34
상태,34
가운데,34
파란,34
자체,34
전화번호,34
개장,34
마무리,34
길이,34
언덕,33
자료,33
의미,33
먹거리,33
바닷물,33
기간,33
경우,33
여름휴가,33
설악,33
출입,33
덕분,33
전통,33
포인트,33
말씀,33
유지,33
포함,33
일정,32
만년,32
구간,32
한참,32
단체,32
수평선,32
차로,32
제주도,32
새해,32
모래사장,31
고성군,31
사항,31
영업시간,31
리조트,31
옛날,31
테이블,31
도시,31
명승지,31
횟집,31
당시,31
문화재,31
동계,31
항구,31
필수,30
유적,30
개통,30
분리,30
면적,30
수산,30
머리,30
진입,30
음료,30
친절,30
동쪽,30
오징어,30
울산,30
새벽,30
클릭,30
고민,29
구조,29
인증,29
재미,29
해수,29
환경,29
강동면,29
일상,29
동반,29
문의,29
불빛,29
자유,29
다음날,29
나름,29
장면,29
동영상,29
유리,29
현지,28
주민,28
청유,28
반찬,28
듯이,28
미터,28
인지,28
조망,28
정류장,28
도움,28
고고,28
양양가,28
구리,28
대신,28
시내버스,28
가도,28
오픈,28
크기,28
산수,28
지번,28
종류,28
운치,28
소재지,28
.co,28
경계,28
주의,27
이웃,27
포항,27
관계,27
중앙,27
시기,27
교리,27
해주시,27
문리,27
시골,27
결과,27
최대,27
기념,27
오랜만,27
인생,27
토지,27
형태,27
연인,27
하기,26
파티,26
평화,26
각종,26
현장,26
입장,26
특징,26
문제,26
최초,26
경험,26
번호,26
수도,26
일몰,26
기도,26
캠핑장,26
광진,26
지붕,26
도보,26
상황,26
포토,26
시외버스,26
세계,26
오산리,26
샤워,26
작년,26
야외,26
자연경관,25
더위,25
성수기,25
편안,25
영화,25
투명,25
동네,25
지원,25
대형,25
양하,25
정이,25
이서,25
도전,25
안전,25
혼자,25
포기,25
해송,25
카메라,25
보전,25
고개,25
개방,25
중심,25
남해,25
삼척시,24
시내,24
지인,24
6월,24
국가,24
사천,24
서쪽,24
분이,24
리에,24
너머,24
운동,24
만끽,24
군데,24
유명,24
부근,24
조선 정종,24
활동,24
그때,24
타임,24
피해,24
남은,24
호리,24
예정,24
텐트,24
광경,24
하우스,24
군청,24
물건,23
피자,23
표현,23
방송,23
우측,23
실내,23
구이,23
손님,23
만족,23
세월,23
인테리어,23
지구,23
소재,23
전리,23
요리,23
모두,23
초기,23
위험,23
그중,23
민박,23
전경,23
아파트,23
발길,23
하면,23
정동,23
자신,23
편의,23
동해시,23
피서지,23
전문,23
군사,23
물고기,22
조각,22
주방,22
강습,22
기운,22
대로,22
창건,22
보드,22
산책로,22
육지,22
개발,22
연어,22
돌고래,22
관람,22
교통,22
경기도,22
커플,22
전골,22
인해,22
엄마,22
라면,22
곡리,22
건너편,22
대상,22
수령,22
평일,22
인상,22
북적,22
구성,22
경북,22
어촌,22
객실,22
이건,22
고속,22
소원,22
노선,22
접근,22
종합,22
좋아서,22
신라,22
딴사람,22
대청봉,22
수치,22
놀이,22
해결,21
별개,21
곳도,21
내리,21
성공,21
인접,21
신비,21
월리,21
담수,21
주택,21
한계령,21
드라이브,21
토요일,21
교동,21
가게,21
주문진읍,21
조선 숙종,21
결정,21
창리,21
기회,21
동산,21
성인,21
평소,21
연락,21
카라,21
원주,21
입맛,21
하계,21
감탄,21
