word,counted
서핑,391
해변,385
바다,305
파도,285
현북면,246
보드,173
여행,164
하나,162
서프,159
지도,153
강습,151
서퍼,150
해수욕장,147
기사문리,145
여름,144
전화,143
일출,136
처음,124
날씨,122
주말,120
상세,119
휴게소,118
서울,117
맛집,114
하조대,113
느낌,107
동해,107
출발,107
추천,104
사장,104
예약,103
준비,103
기사문항,102
마음,101
장소,101
하우스,101
친구,101
명소,100
기사,97
하루,96
모습,93
맥주,92
게스트,92
카페,91
새벽,89
가격,89
죽도,87
비치,85
바람,85
저희,84
근처,83
연습,82
가능,82
초보,77
분위기,76
숙소,75
기분,75
동안,75
구경,74
하늘,73
식사,73
자리,73
운영,72
안녕,71
이용,71
바닷가,69
포스팅,68
최고,68
강사,67
강릉,67
유명,66
가족,66
고기,66
속초,64
점심,64
겨울,64
마지막,64
한잔,64
이동,63
등대,63
플레이스,63
샤워,63
관심,62
풍경,62
친절,62
횟집,61
식당,61
조도,61
소개,61
바위,61
음식,60
오전,60
슈트,60
오후,60
커피,58
교육,58
나라,58
문길,58
어디,58
운동,57
아이,57
아래,56
행복,56
이야기,55
수평선,55
오랜만,55
렌탈,54
주변,54
시설,54
이름,53
팝업,53
숙박,53
안전,52
장비,52
수트,52
구름,52
저장,52
폴더,52
입구,51
감사,51
휴가,51
거리,51
방문,51
혼자,50
패들,50
기대,50
여유,49
형제,49
사이,49
가지,49
강원,48
캠핑,48
블로그,48
촬영,47
리조트,47
선택,47
입수,46
설명,46
기억,46
검색,45
얼마,45
토요일,45
소리,45
가을,45
중간,44
참고,44
공간,44
뭔가,44
요즘,44
치킨,44
계획,43
주차장,43
사랑,43
만족,43
네이버,43
테이블,43
종일,43
후기,43
송이,42
지역,42
언니,42
필요,42
체험,42
나중,42
걱정,42
자유,42
대여,41
나름,41
화장실,41
물놀이,41
내부,41
판매,41
방파제,41
퍼스,41
영상,40
사용,40
작년,40
패들링,40
버스,40
포인트,40
이거,39
고민,39
이유,39
얼굴,39
매력,39
순간,39
기본,39
파티,39
타임,38
개인,38
바닷물,38
모양,38
웨이브,37
이후,37
인구,37
텐트,37
재미,37
상태,37
체력,37
주차,36
추억,36
모래,36
완전,36
덕분,36
이게,36
마리,36
여자,35
진행,35
확인,35
경험,35
내요,35
스포츠,35
요리,35
오메가,34
예전,34
오픈,34
추가,34
동생,34
입문,34
수영,34
여름휴가,34
남자,34
편의점,34
정보,34
물회,33
이것,33
고고,33
성수기,33
제공,33
힐링,33
머리,33
건물,32
동해안,32
오른쪽,32
조금,32
자연,32
오프,32
성공,32
반찬,32
테이크,31
모래사장,31
전날,31
오빠,31
마무리,31
정리,31
일정,31
용품,31
이건,31
피자,31
서피,31
항구,30
단체,30
거기,30
대박,30
산책,30
자세,30
텐데,30
한국,30
국내,30
인증,30
일요일,30
다양,30
왼쪽,29
무료,29
헝그리,29
도전,29
정신,29
해결,29
만큼,29
상황,29
음료,29
가운데,28
중요,28
등등,28
프로,28
필수,28
바닥,28
지금,28
캣츠,28
오징어,28
라면,28
사이즈,28
터미널,27
마을,27
물놀,27
부분,27
바베큐,27
엄마,27
카메라,27
운전,27
이론,27
이때,27
기회,27
평일,27
국도,27
감상,27
방법,27
보통,27
감동,27
관리,27
일상,27
시장,26
경우,26
갯바위,26
커플,26
공기,26
기념,26
요기,26
우린,26
무엇,26
걸로,26
태양,26
가게,26
포함,26
김치,25
인생,25
테라스,25
구입,25
실력,25
패키지,25
메뉴판,25
일반,25
어제,25
매운탕,25
세상,25
스타일,25
코스,25
국물,24
지상,24
안쪽,24
모텔,24
얘기,24
발견,24
다행,24
중심,24
낭만,24
대부분,24
그때,24
입맛,24
동영상,24
주문진,24
그릇,24
본격,24
닭강정,23
인테리어,23
휴식,23
영국,23
다리,23
행사,23
건지,23
인기,23
대표,23
방향,23
연휴,23
구매,23
여긴,23
피곤,23
계곡,23
모두,22
부산,22
막국수,22
한참,22
그림,22
설치,22
포기,22
라이,22
고생,22
첫날,22
대기,22
군데,22
펜션,22
안내,22
결국,22
서비스,22
사고,22
파스타,21
스팟,21
이국,21
야외,21
금요일,21
그날,21
말씀,21
소주,21
꿀맛,21
밑반찬,21
불편,21
양념,21
대신,21
에어컨,21
취미,21
도로,21
해변가,21
셀카,21
인사,21
치즈,21
수건,20
잔교리,20
지인,20
천국,20
여기저기,20
주의,20
선생,20
낚시,20
부탁,20
각종,20
전용,20
태풍,20
인근,20
전국,20
마린,20
그것,20
해산물,20
둘째,20
저기,20
여행지,20
대로,20
신경,20
영업,20
건강,20
정식,20
무인,19
계속,19
이제,19
앞바다,19
내일,19
음악,19
전문,19
여러분,19
부족,19
흡입,19
취향,19
휴가철,19
영동,19
무릎,19
구비,19
그곳,19
평소,19
고장,19
샴푸,19
주소,19
삼겹살,19
중앙,19
편안,19
밥집,19
내년,19
픽업,19
시즌,19
누가,19
자랑,18
복귀,18
역시,18
백사장,18
수업,18
미니,18
연락,18
업체,18
할인,18
포토,18
실내,18
당일치기,18
노래,18
고속도로,18
당일,18
사실,18
라인업,18
전체,18
위험,18
자체,18
어선,18
스타,17
자기,17
난리,17
영향,17
종류,17
현장,17
소스,17
월요일,17
물고기,17
탈의실,17
기상,17
강아지,17
이웃,17
계절,17
회사,17
감자,17
제품,17
생활,17
트레이너,17
저번,17
편리,17
장판,17
예정,17
예상,17
약속,17
크림,17
먹거리,16
마련,16
겁니다,16
레저,16
손님,16
여명,16
대회,16
조건,16
인상,16
동작,16
가평,16
퍼스널,16
목적,16
코어,16
수심,16
와중,16
동네,16
안주,16
파라솔,16
이색,16
번호,16
고성,16
침대,16
사이트,16
주재홍,16
투어,16
작가,16
의자,16
과자,16
건데,16
낙산사,16
특별,16
더위,16
고속도,16
무리,16
시기,16
인원,16
관광,15
각자,15
바디,15
조개,15
누구,15
세트,15
소식,15
현남면,15
와인,15
규모,15
가드,15
사문,15
칵테일,15
직원,15
양양가,15
고추,15
비용,15
완료,15
기온,15
만끽,15
간판,15
추위,15
가슴,15
비교,15
다이빙,15
상품,15
모닝,15
결정,15
홈페이지,15
링크,15
냉장고,15
선물,15
부부,15
산나물밥,15
햇빛,15
생선,15
장난,15
창문,15
이해,15
야영장,15
재료,14
칭찬,14
실패,14
설악산,14
열정,14
구이,14
발리,14
활어,14
서프보드,14
일행,14
외국,14
젊음,14
버거,14
차이,14
박스,14
지정,14
문리,14
완벽,14
연결,14
놀이,14
몬스터,14
토레,14
후회,14
폭풍,14
워터,14
문제,14
제한,14
리스트,14
자신,14
변화,14
문항,14
기초,14
반복,14
해안,14
소요,14
기름,14
강추,14
관계,14
취소,14
멤버,14
주인,14
시골,14
황태,14
햇살,14
문어,14
경치,14
앞쪽,14
금지,14
카치아,14
대비,14
메카,14
송정,14
양양읍,14
표정,13
만석,13
아저씨,13
내용,13
해수욕,13
일기,13
센터,13
변경,13
나무,13
그동안,13
건가,13
세팅,13
개월,13
문의,13
수제,13
미안,13
육수,13
체크,13
어깨,13
감성,13
호텔,13
균형,13
감자튀김,13
신청,13
관광객,13
이벤트,13
기록,13
타이밍,13
크기,13
트레이닝,13
국수,13
의미,13
먹방,13
아빠,13
아메리카노,13
피서객,13
옥수수,13
선크림,13
사항,13
남편,13
폭염,13
원래,13
외관,13
갈매기,13
이젠,13
속도,13
광어,13
이것저것,13
본인,13
고급,13
그늘,13
포구,13
요청,12
언제,12
전망대,12
주일,12
아쉬움,12
리뷰,12
여성,12
수준,12
조합,12
피비,12
자연산,12
현지,12
리필,12
해장국,12
가스층,12
콜라,12
대한민국,12
목적지,12
튀김,12
햇볕,12
허리,12
간식,12
남애,12
등장,12
파라다이스,12
택시,12
차량,12
무튼,12
예술,12
핸드폰,12
나머지,12
센스,12
포장,12
이불,12
장착,12
어촌,12
지난주,12
떡볶이,12
동서,12
매장,12
나이,12
망고,12
꽁치,12
개장,12
듯이,12
감각,12
유지,12
토마토,12
편의,12
돼지,12
예보,12
보호,12
마스코트,12
환경,12
스키,12
그거,12
피부,12
교통,12
핑장,12
화요일,11
노력,11
민박,11
구분,11
전망,11
경매,11
착용,11
바닷바람,11
수육,11
게임,11
해양,11
선호,11
실습,11
반납,11
래쉬,11
주제,11
성지,11
출처,11
주위,11
집중,11
아무것,11
모듬,11
젊은이,11
해맞이,11
주민,11
이틀,11
화이트,11
드라이브,11
문화,11
한쪽,11
비수기,11
사이드,11
무한,11
스노우,11
온몸,11
모임,11
휴휴,11
스쿨,11
건너편,11
춘천,11
직전,11
높이,11
방해,11
동산,11
클럽,11
과정,11
여사,11
저거,11
상상,11
그룹,11
막걸리,11
수온,11
워시,11
슈퍼,11
구성,11
음식점,11
나물,11
홍천,11
전경,11
토리,11
새우,11
유일,11
시절,11
수영복,11
엑스,10
퇴근,10
디자인,10
피서,10
체온,10
결과,10
스테이,10
어른,10
보관,10
피크,10
비기너,10
티비,10
부담,10
제주도,10
구간,10
고려,10
해녀,10
짬뽕,10
지방,10
우럭,10
스쿠버,10
서해,10
행운,10
비주얼,10
다이어트,10
고수,10
한숨,10
수다,10
지난번,10
비밀,10
이걸,10
당황,10
배경,10
전기,10
환영,10
해돋이,10
즐거움,10
이모,10
장점,10
도미,10
댓글,10
냄새,10
가방,10
효과,10
안정,10
아들,10
어부,10
버섯,10
코코,10
조심,10
영화,10
파도타기,10
고고씽,10
해외,10
푸쉬,10
소화,10
호수,10
튜브,10
무렵,10
짜증,10
멍게,10
공유,10
녀석,10
경기,10
애국,10
우측,10
스케줄,10
하광정리,10
추석,10
투척,10
자전거,10
훈련,10
회도,10
소고기,10
군사,10
소나무,10
장마,10
인분,10
방송,10
객실,10
패스,10
최초,10
식감,10
동시,9
야영,9
클릭,9
향기,9
홍보,9
제주,9
현실,9
샌드위치,9
최적,9
계령,9
아이템,9
컨디션,9
수산,9
시그,9
볶음,9
평화,9
버킷,9
밤바다,9
무게,9
한상,9
기약,9
성비,9
요건,9
흥미,9
쥬얼,9
물치,9
햄버거,9
퀄리티,9
대형,9
한계,9
며칠,9
해삼,9
지번,9
마니,9
왕복,9
뭔지,9
야경,9
전쟁,9
프리,9
돗자리,9
홍합,9
장갑,9
생맥주,9
스티커,9
본점,9
보람,9
해먹,9
단위,9
해물,9
마트,9
철수,9
따위,9
이쪽,9
연인,9
모델,9
조류,9
온리,9
갈비,9
비빔밥,9
칼국수,9
오션,9
수상,9
협회,9
회덮밥,9
계단,9
체크아웃,9
리얼,9
활동,9
실전,9
단점,9
발목,9
시도,9
카보,9
부상,9
페스티벌,9
서빙,9
무침,9
내린천,9
입장,9
두부,9
대포항,9
횟감,9
당시,9
공원,9
구름층,9
산나물,9
환상,9
고객,9
브랜드,8
슈즈,8
남대천,8
아점,8
셀프,8
액션,8
진리,8
자극,8
고속,8
리포,8
장면,8
야채,8
절경,8
장사,8
스케이트보드,8
마스터,8
우동,8
설정,8
남친,8
발생,8
카레,8
전문가,8
사온,8
입장료,8
전복,8
선정,8
가요,8
삼형제,8
정체,8
조준,8
고요,8
리쉬,8
완성,8
네비,8
수중,8
뒤쪽,8
강릉시,8
남애항,8
표현,8
키친,8
성인,8
핫도그,8
경포대,8
소금,8
북쪽,8
놀이터,8
한입,8
카풀,8
목살,8
가시,8
트립,8
도시,8
보트,8
다짐,8
라인,8
오노,8
소수,8
프로그램,8
목표,8
스트레스,8
맞은편,8
탐방,8
시스템,8
비누,8
실제,8
한국관광공사,8
도시락,8
법수치,8
불빛,8
긴장,8
요거,8
동호,8
오토캠핑,8
티셔츠,8
최신,8
다섯,8
즈음,8
탱크,8
정확,8
온도,8
물품,8
레포츠,8
벽화,8
포도,8
아이폰,8
누군가,8
귀가,8
인정,8
중고,8
기간,8
결론,8
숙취,8
문자,8
하륜,8
주의보,8
육지,8
요원,8
미세먼지,8
손양면,8
개시,8
모자,8
축제,8
지점,8
대구,8
드라,8
인터넷,8
소문,8
까스,8
조명,8
오랫만,8
각광,8
부력,8
출입,8
발걸음,8
마니아,8
조절,8
계란,8
명칭,8
허락,7
공용,7
정류장,7
요번,7
후라이드,7
조사,7
영하,7
개통,7
프론트,7
조형물,7
성격,7
욕실,7
수리,7
대체,7
먼지,7
왁스,7
소진,7
심플,7
개국,7
연어,7
단골,7
작성,7
취침,7
진열,7
돼지고기,7
전통,7
닭볶음탕,7
천막,7
쉐이크,7
강남,7
시청,7
우유,7
요금,7
핑계,7
하와이,7
참가,7
핑크,7
선선,7
최선,7
한방,7
푸드,7
소원,7
곳곳,7
스케이트,7
신발,7
발전,7
운치,7
마찬가지,7
연예인,7
별도,7
조성,7
신랑,7
욕심,7
수요,7
도움,7
세계,7
더덕구이,7
주문진항,7
만세,7
출동,7
다이버,7
단계,7
조아,7
선수,7
기운,7
이미지,7
홍게,7
붕가,7
오색,7
골목,7
엄두,7
구용,7
청소,7
연출,7
내기,7
공감,7
작업,7
베드,7
지식,7
조각,7
건어물,7
기계,7
부모,7
조선,7
일본,7
휴무,7
조식,7
볶음밥,7
정상,7
하와이안,7
체육,7
속초시,7
가성,7
함정,7
중독,7
송이버섯,7
침구,7
마늘,7
주류,7
고향,7
차례,7
라떼,7
운행,7
청결,7
상대,7
슬립,7
타올,7
원주,7
스틱,7
멸치,7
이분,7
첫째,7
그걸,7
새끼,7
데이트,7
발길,7
방지,7
해장,7
치약,7
출항,7
긴팔,7
중급,7
안개,7
청정,7
호프,7
배려,7
종합,7
부근,7
쇼핑,7
강제,7
닭발,7
레벨,7
라이프,7
자동차,7
공연,7
카버,7
목요일,7
버블,7
바닷속,7
방수,7
보드만,7
구조,7
양파,7
전시,7
고갈,6
미터,6
허벅지,6
생략,6
청춘,6
스릴,6
개방,6
실감,6
루카,6
게시물,6
하룻밤,6
좌우,6
정성,6
소떡,6
정감,6
고추장,6
유행,6
장관,6
카드,6
마무,6
하단,6
차트,6
업그레이드,6
모둠,6
어딜,6
생명,6
비린내,6
계란찜,6
기구,6
신기,6
경계,6
소면,6
동물,6
출장,6
자동,6
오라버니,6
대세,6
공짜,6
파트,6
별미,6
남쪽,6
영양,6
근육,6
적응,6
그램,6
파크,6
그게,6
기타,6
스웰,6
공식,6
밸런스,6
연무,6
두께,6
웨이팅,6
된장,6
