word,counted
바다,369
해수욕장,342
여행,324
속초,238
낙산사,235
해변,221
강현면,196
비치,192
저희,174
하나,159
예약,153
날씨,152
호텔,148
느낌,148
숙소,143
자리,136
동해,134
여름,131
가격,130
모습,130
맛집,129
추천,129
가족,127
전화,125
근처,121
기분,120
분위기,117
주차장,115
준비,115
화장실,114
일출,114
구경,113
파도,110
바람,109
카페,108
바닷가,106
마지막,103
마음,102
하우스,101
커피,100
게스트,99
처음,99
아이,99
횟집,98
친구,98
해맞이,98
이용,97
가능,96
파티,94
안녕,93
식당,90
서울,90
행복,90
지도,89
만족,89
어디,89
최고,89
거리,89
주말,88
주변,88
장소,86
유명,85
한잔,84
방문,83
입구,82
출발,81
음식,81
포스팅,80
바베큐,80
조식,79
하루,79
참고,79
풍경,78
하늘,76
식사,75
겨울,73
편의점,73
기본,73
추억,72
시설,72
산책,72
소개,71
오션,70
사장,69
주차,69
힐링,69
소리,68
코스,67
기대,67
후기,66
상세,66
오랜만,66
고민,65
로비,65
선택,64
지하,64
공간,64
점심,64
사용,63
가지,63
테이블,63
휴가,63
기억,62
침대,62
사랑,61
내부,60
여유,59
체크인,59
이름,59
이야기,58
고기,58
오후,57
아래,57
모래,57
옥상,57
얼마,57
건물,56
필요,56
운영,56
계획,56
나름,55
마무리,55
강릉,55
이동,55
반찬,54
요즘,54
시장,54
해수,54
숙박,54
동안,54
무료,53
종류,53
맥주,53
관심,52
걱정,51
친절,51
객실,50
매운탕,50
설악산,50
국물,50
마리,49
여름휴가,49
다양,49
남자,49
감사,49
나무,49
사이,49
생선,48
오징어,48
예전,48
샤워,47
강원,47
플레이스,46
펜션,46
소주,46
사우나,46
구이,46
이유,46
여자,46
주청리,45
엄마,44
뭔가,44
마운틴뷰,43
바닥,43
서비스,43
이건,43
개인,43
중간,43
대표,42
전체,42
욕조,42
언제,42
전날,42
고고,42
물놀이,42
소나무,41
무엇,41
추가,41
냉장고,41
이거,41
자연,41
검색,41
오픈,40
요기,40
상태,40
거기,40
제공,40
서핑,40
휴게소,40
이게,40
감상,39
마을,39
메뉴판,39
관광,39
폴더,39
덕분,39
등대,39
팝업,39
저장,39
모델링,38
전망,38
입맛,38
남편,38
세트,38
텐데,38
만큼,38
테라스,38
오전,37
이것,37
발견,37
자체,37
평일,37
직원,37
체크아웃,37
밑반찬,37
리조트,36
둘째,36
공기,36
확인,36
와인,36
모래사장,36
새벽,36
전진리,36
크기,36
우린,36
낚시,36
게임,35
성수기,35
혼자,35
실내,35
건지,35
안내,35
지역,35
단체,35
보통,35
새우,35
하조대,35
블로그,34
버스,34
완전,34
등등,34
해변가,34
커플,34
여긴,34
지금,34
중앙,34
불편,34
구름,33
부분,33
욕실,33
라면,33
요리,33
놀이,33
판매,33
양양읍,33
여러분,33
가슴,32
바디,32
동해안,32
인테리어,32
닭강정,32
조명,32
가을,32
정리,32
경치,32
도로,32
컨디션,32
음료,32
포기,32
아이스,31
편안,31
어메니티,31
모듬,31
상대,31
나라,31
명소,31
입장료,31
수건,31
부부,31
등장,31
자기,31
백사장,31
결정,31
여행지,31
예정,31
안쪽,31
물회,30
오빠,30
식감,30
저번,30
일정,30
할인,30
센터,30
인원,30
걸로,30
칫솔,30
그네,30
성비,30
인증,30
설치,30
스위트,29
나중,29
토요일,29
국내,29
저기,29
영업,29
조금,29
언니,29
입장,29
순간,29
공원,29
샴푸,29
건데,29
관광객,29
피곤,29
해산물,28
인기,28
해장,28
주소,28
아빠,28
캠핑,28
바닷물,28
가게,28
모두,28
일반,28
진행,28
복도,28
인근,28
손님,28
홍련,28
더블,28
포함,28
삼겹살,28
소원,28
김치,27
전국,27
커튼,27
센스,27
말씀,27
규모,27
레스토랑,27
해수욕,27
그릇,27
연락,27
네이버,27
대부분,27
감동,27
노래,26
배정,26
햇빛,26
누구,26
터미널,26
디럭스,26
설악,26
관음상,26
투어,26
외관,26
멍게,26
야외,26
필수,26
남대천,26
그때,26
촬영,26
그림,26
첫날,26
가운데,25
얼굴,25
체험,25
이때,25
옛날,25
튀김,25
결국,25
연인,25
설명,25
한참,25
운전,25
부족,25
장점,25
왼쪽,25
황태,25
재미,25
나이,25
얘기,25
마련,25
창문,25
안전,25
조개,24
새해,24
티비,24
방향,24
바닷바람,24
얼음,24
텐트,24
광어,24
휴식,24
패밀리,24
동생,24
기념,24
아들,24
매력,24
여기저기,24
양념,24
세상,24
스타,24
바퀴,24
배경,24
냄새,24
대게,24
휴가철,24
경험,24
자랑,24
이후,24
치즈,24
단위,24
행사,24
아쉬움,24
작년,24
아기,24
본격,24
대박,23
활어,23
치약,23
정신,23
대신,23
계절,23
사이즈,23
번호,23
타임,23
그것,23
구매,23
머리,23
오른쪽,22
편의,22
구성,22
정보,22
표정,22
곳곳,22
인파,22
튜브,22
샐러드,22
분리,22
축제,22
국수,22
부담,22
대비,22
해돋이,22
계곡,22
다리,22
창가,22
금요일,22
고속도로,22
정원,22
영화,22
각종,22
기간,21
페스티벌,21
패스,21
불꽃놀이,21
다행,21
관계,21
요금,21
특별,21
영상,21
구비,21
신발,21
가자미,21
아이스크림,21
막국수,21
방파제,21
장난,21
키즈,21
블루,21
초록,21
시각,21
야채,21
희망,21
에어컨,21
전복,21
안주,21
방법,21
대포항,21
로션,21
인생,21
중요,21
여성,20
경우,20
부산,20
문의,20
홍게,20
누가,20
가운,20
연결,20
모텔,20
건강,20
커피포트,20
완벽,20
부스,20
접시,20
계란,20
관광지,20
부탁,20
즐거움,20
회도,20
우럭,19
군데,19
기도,19
한눈,19
역쉬,19
해물,19
생수,19
개월,19
해안,19
태풍,19
목적지,19
침구,19
포장,19
대기,19
운동,19
고속도,19
아메리카노,19
세면대,19
대여,19
과일,19
꿀맛,19
주세요,19
먹거리,19
어른,18
초밥,18
커피숍,18
동네,18
수영,18
낙산항,18
생활,18
런지,18
비용,18
강추,18
부대시설,18
당일,18
바위,18
연휴,18
문어,18
기회,18
주문진,18
비교,18
운치,18
세팅,18
양양가,18
성인,18
밤바다,18
환상,18
어딜,18
미안,18
포인트,18
표현,18
고급,18
공사,18
거실,18
최대,18
카메라,18
동영상,18
공연,18
제한,18
볼거리,18
금액,17
포토,17
바깥,17
소스,17
솔비,17
일요일,17
단풍,17
춘천,17
고추,17
거울,17
정식,17
내용,17
뷔페,17
모양,17
세탁실,17
회사,17
고생,17
인수,17
홈페이지,17
음식점,17
전주,17
시기,17
내일,17
관리,17
아무,17
조형물,17
스타일,17
별미,17
감자,17
계단,17
한식,17
어제,16
물고기,16
어린이,16
모임,16
이쪽,16
소식,16
장사,16
주인,16
라메,16
노래방,16
갈매기,16
앞쪽,16
취향,16
수준,16
워시,16
노력,16
절경,16
쇼파,16
그곳,16
일상,16
대로,16
셀카,16
한샘,16
현장,16
시내,16
불가,16
해결,16
그게,16
차이,16
개장,16
비누,16
옷장,16
야영장,16
의미,16
인상,16
린스,15
터널,15
시즌,15
음악,15
리뷰,15
비수기,15
내년,15
식구,15
의상대,15
경포대,15
아저씨,15
첫째,15
가요,15
이벤트,15
니티,15
볶음밥,15
수산,15
게딱지,15
의자,15
파크,15
상상,15
난리,15
프론트,15
신경,15
마트,15
산책로,15
계속,15
연말,15
당일치기,15
마운틴,15
사실,15
전경,15
실망,15
생태,15
산불,15
상품,15
해장국,15
자연산,15
라떼,15
패키지,15
베드,15
햇살,15
정상,15
요청,15
무렵,15
한입,15
횟감,15
침실,14
일몰,14
체크,14
지인,14
구조,14
오징어순대,14
특이,14
이것저것,14
지난번,14
설겆이,14
간식,14
칼국수,14
치킨,14
원두,14
투숙객,14
인정,14
인터넷,14
아주머니,14
금강산,14
스탭,14
고성,14
쿠폰,14
열기,14
손질,14
비밀,14
꽃마차,14
수족관,14
피자,14
룸서비스,14
쥬얼,14
픽업,14
후문,14
청소,14
인분,14
젓갈,14
부모,14
카드,14
과자,14
서피,14
한국,14
포트,14
무제,14
답니다,14
크림,13
컵라면,13
평소,13
온돌,13
자전거,13
진심,13
사항,13
완료,13
도보,13
기록,13
상추,13
녀석,13
입실,13
약속,13
육수,13
누군가,13
된장찌개,13
종일,13
네비,13
장관,13
솔밭,13
도움,13
이틀,13
슬리퍼,13
만석,13
관음,13
서퍼,13
회랑,13
당시,13
생일,13
물치항,13
잠자리,13
미니,13
메밀,13
인연,13
꿀잠,13
취소,13
이모,13
성공,13
간판,13
별도,13
건가,13
애기,13
조합,13
온돌방,13
약간,12
시골,12
도시,12
겁니다,12
신랑,12
요건,12
젓가락,12
고향,12
수다,12
더위,12
사고,12
저거,12
트윈,12
월요일,12
관동,12
방송,12
이해,12
수영장,12
고개,12
시대,12
바가지,12
수제,12
좌식,12
최선,12
전망대,12
포즈,12
감탄,12
파라솔,12
창밖,12
선호,12
먹방,12
유일,12
핸드폰,12
마감,12
제품,12
리필,12
비빔밥,12
기타,12
꽁치,12
주방,12
하룻밤,12
낭만,12
그늘,12
물놀,12
주민,12
문제,12
조심,12
예술,12
편리,12
우측,12
외부,12
워터,12
진리,12
순두부,12
마카롱,12
참여,11
코앞,11
조산리,11
짬뽕,11
스트레스,11
한상,11
대관령,11
결혼,11
광장,11
퇴실,11
택시,11
이기,11
마늘,11
죽도,11
오토캠핑,11
고객,11
나머지,11
정자,11
피로,11
초보,11
내음,11
기약,11
개통,11
와이프,11
제철,11
사찰,11
무대,11
동호,11
흡입,11
후회,11
산행,11
소문,11
와중,11
