word,counted
바다,288
해수욕장,230
해변,214
서핑,176
여행,158
파도,155
현남면,155
남애항,145
남애리,139
하나,126
가족,119
동해,113
여름,110
리해,108
수욕장,107
추천,103
아이,101
펜션,99
전화,95
저희,90
처음,89
느낌,88
바위,88
근처,88
바닷가,88
자리,87
가능,86
모습,84
숙소,82
준비,81
날씨,80
모래,79
지도,79
출발,78
강릉,76
장소,74
사장,73
민박,71
친구,70
이용,69
수심,69
횟집,68
맛집,67
바람,66
상세,65
거리,65
마음,65
구경,65
하루,64
마지막,63
물고기,62
휴가,59
샤워,58
물놀이,58
스노,56
카페,55
어디,55
풍경,55
가격,54
포스팅,54
새벽,54
전망대,54
비치,54
쿨링,53
맥주,52
조개,52
유명,52
서프,51
음식,51
장비,50
이동,50
포인트,50
예약,50
점심,50
고기,50
주변,49
서울,49
방문,49
주말,48
식사,48
안전,48
소개,47
스쿠버,47
기분,47
촬영,47
분위기,47
파라솔,46
한잔,46
다이빙,46
바닥,45
일출,45
최고,45
하늘,45
행복,45
안녕,45
보드,44
식당,44
기대,44
속초,44
텐트,44
사랑,43
동안,43
엄마,43
이름,43
아빠,42
작년,42
강습,42
수영,42
명소,42
커피,42
물놀,41
화장실,41
여긴,41
테이블,41
사용,41
체험,40
여름휴가,40
입구,40
숙박,40
검색,40
아래,40
튜브,40
시설,39
주문진,39
공간,38
동해안,38
기억,38
죽도,38
사이,37
마무리,37
물회,37
리조트,37
참고,37
해수욕,37
나름,37
강원,37
시장,36
선택,36
뭔가,36
생선,36
낚시,36
관심,36
혼자,36
성수기,36
바베큐,35
여유,35
재미,35
강사,35
등대,35
블로그,35
자연,35
완전,35
기본,34
방파제,34
오전,34
마을,34
단위,34
대여,33
오후,33
필요,33
이야기,33
만족,33
개인,33
오징어,33
운영,32
놀이,32
서퍼,32
오픈,32
바닷물,32
교육,32
플레이스,32
국내,32
얼마,32
추억,32
슈트,31
걱정,31
오랜만,31
마리,31
주차,31
계획,31
소리,31
반찬,31
매운탕,31
고민,30
저장,30
휴게소,30
내부,30
하조대,30
하우스,29
우린,29
어죽,29
팝업,29
도로,29
감사,29
가지,29
휴휴,29
입수,29
산책,28
저기,28
남자,28
폴더,28
전날,28
정리,28
인구,28
워크,28
이게,27
이건,27
얼굴,27
코스,27
내년,27
겨울,27
요기,27
그늘막,27
이것,27
캠핑,27
어른,27
정보,27
테라스,27
친절,26
고래,26
남편,26
모래사장,26
에어컨,26
요즘,26
여자,26
수영장,26
스노클링,26
힐링,26
나라,26
텐데,26
덕분,25
포기,25
항구,25
스카이,25
다리,25
강추,25
영상,25
인테리어,25
거기,25
하와이,25
강아지,25
주차장,25
라면,24
결정,24
걸로,24
마루,24
게스트,24
언니,24
휴가철,24
진행,24
백사장,24
오빠,24
편의점,24
투어,23
본격,23
조금,23
감상,23
초보,23
고고,23
꿀맛,23
순간,23
지역,23
매력,23
추가,23
아들,23
카메라,23
그릇,23
타임,23
이거,23
메뉴판,23
상태,22
설치,22
머리,22
계곡,22
계단,22
개장,22
예전,22
