word,counted
바다,403
해변,392
서핑,349
해수욕장,248
현남면,248
파도,247
죽도,238
비치,228
여행,207
하나,187
여름,178
날씨,172
하우스,170
게스트,163
강습,162
서프,159
가능,157
느낌,147
동해,147
카페,144
주말,142
추천,142
전화,141
가족,140
보드,140
모습,139
장소,139
예약,135
리조트,134
서퍼,134
여유,130
분위기,128
친구,126
이용,126
바닷가,125
자리,125
준비,124
인구,121
처음,117
거리,115
지도,115
풍경,113
안녕,112
최고,112
구경,111
저희,109
소리,105
마음,104
동산리,103
바람,103
커피,102
플레이스,102
음식,101
맛집,98
고기,98
맥주,98
아이,98
유명,97
힐링,97
하루,97
속초,97
관심,96
강사,95
공간,94
동안,93
상세,93
출발,93
서울,93
캠핑,93
오션,92
안전,92
운영,92
진행,91
하늘,91
기분,90
사장,89
가격,88
한잔,87
강릉,86
초보,86
방문,86
테이블,85
객실,85
바베큐,84
아래,83
사용,82
근처,82
이름,81
필요,80
걱정,79
모래,79
주변,79
팝업,79
저장,77
폴더,76
이동,76
포스팅,76
어디,76
화장실,75
건물,75
개인,75
샤워,75
타임,75
사이,74
전문,72
식사,72
시설,72
파티,72
연습,71
오전,70
행복,70
오후,70
펜션,70
설명,70
입구,70
점심,69
스타,69
소개,69
참고,68
요즘,68
마을,68
숙소,68
기대,67
휴가,67
내부,67
식당,66
토르,65
하조대,65
파마,64
친절,64
동산항,63
지역,62
마지막,62
성수기,61
재미,61
테이크,61
주차장,60
강원,60
나무,59
추억,59
숙박,59
새벽,59
음료,59
방법,58
자유,58
일출,58
오랜만,58
오프,58
프라이빗,57
성공,57
주차,57
오픈,57
슈트,57
텐트,57
이야기,57
자세,57
수트,56
계획,56
네이버,56
이유,56
뭔가,56
그림,55
감사,55
작년,55
도로,54
여자,53
토리,53
중간,52
수심,52
코스,52
실내,51
덕분,51
다양,51
체험,51
위험,51
독점,50
판매,50
설치,50
매력,50
기본,50
가을,50
선택,50
단체,50
만큼,49
무료,49
검색,49
자연,48
마리,48
렌탈,48
동네,48
장비,48
산책,48
인테리어,47
물놀이,47
경우,47
여름휴가,47
이거,47
휴게소,47
기억,47
상태,47
사랑,47
소나무,47
수준,47
버거,46
예전,46
마무리,46
한국,46
마련,46
패들링,46
영상,46
촬영,46
포인트,46
전망대,46
본격,46
나름,45
가지,45
경험,45
인기,45
불편,45
수영,45
교육,45
사실,45
야외,45
주인장,45
조개,44
혼자,44
모래사장,44
수제,44
지금,44
명소,44
종일,43
부분,43
입수,43
스팟,43
라이,43
대부분,43
침대,43
데크,43
서피,42
이게,42
무엇,42
이론,42
만족,42
토요일,42
확인,41
추가,41
포토,41
인생,41
노을,40
나라,40
도미,40
나중,40
겨울,40
편안,40
필수,40
햄버거,40
방파제,39
주소,39
낚시,39
대표,39
전경,39
열정,39
후기,39
보통,39
블로그,39
오른쪽,39
계단,38
정보,38
누구,38
단위,38
이건,38
국내,38
텐데,38
테라스,38
중요,38
운동,38
정리,38
의자,38
동해안,38
바닥,38
영업,37
놀이,37
바닷물,37
스포츠,37
파머,37
여긴,37
남자,37
엄마,37
기초,37
동시,37
시즌,37
얼마,37
바위,36
거기,36
마스코트,36
강추,36
연인,36
전망,36
머리,36
언니,36
실력,35
대여,35
손님,35
항구,35
안내,35
말씀,35
우린,35
지상,35
포함,34
키친,34
핑크,34
연휴,34
크기,34
루프,34
음악,34
머스,34
완전,34
방향,34
고민,34
커플,34
주문진,34
사고,34
버스,34
등대,34
