word,counted
해변,400
바다,353
여행,257
해수욕장,241
손양면,193
펜션,188
파도,172
여름,152
하나,148
동호리,144
동해,138
근처,134
서핑,133
가족,124
날씨,124
전화,121
준비,120
추천,118
커피,117
저희,114
예약,112
비치,110
숙소,110
가능,109
아이,109
느낌,108
모습,108
처음,108
바닷가,108
속초,107
카페,104
고기,104
바람,103
모래,102
맛집,101
지도,99
거리,94
가격,91
기분,90
하늘,87
사장,87
마음,86
이용,86
출발,85
구경,82
친구,81
장소,81
화장실,80
유명,80
자리,80
상세,80
안녕,78
하조대,77
사유,77
한잔,77
추억,76
방문,74
바베큐,72
주말,72
물놀이,72
서울,71
분위기,71
최고,71
하루,71
어디,70
입구,70
체험,69
마지막,69
휴가,68
주변,68
점심,68
풍경,67
테이블,66
포스팅,64
식사,63
사용,63
음식,62
여유,62
내부,62
필요,60
행복,60
무료,59
관심,59
오후,58
건물,57
소리,56
엄마,56
만족,55
샤워,55
아빠,55
수산항,55
시설,55
낙산,54
맥주,54
계획,54
놀이,54
성수기,53
힐링,53
공간,53
테라스,52
여름휴가,52
뭔가,52
플레이스,52
친절,51
소개,51
강릉,51
감사,51
선택,51
동안,51
시장,51
블로그,50
검색,50
식당,50
걱정,49
새벽,49
모래사장,49
참고,48
튜브,48
요즘,48
침대,48
조개,47
겨울,47
강습,47
일출,47
휴게소,47
산책,47
오랜만,46
막국수,46
사랑,46
이유,45
사이,45
저장,45
추가,45
오션,44
도로,44
폴더,44
운영,44
주차,44
주차장,44
작년,43
이동,43
국물,43
이름,43
편의점,43
팝업,43
기억,43
캠핑,42
아들,42
물놀,42
김치,42
자연,42
바닷물,42
안내,41
가지,41
기대,41
국수,41
강원,41
후기,41
얼마,41
개인,41
안전,40
서프,40
객실,40
낙산사,40
동해안,40
덕분,40
숙박,40
혼자,40
제공,40
이야기,40
마을,39
반찬,39
전망,39
보드,39
인근,38
횟집,38
수영,38
아래,38
정리,38
파라솔,38
면옥,37
나중,37
거기,37
구름,37
오전,36
완전,36
물회,36
아메리카노,36
무엇,36
중요,35
우린,35
마트,35
고고,35
기본,35
가을,35
만큼,35
경치,34
주방,34
칼국수,34
이게,34
나름,34
이것,34
전날,33
이건,33
치킨,33
여자,33
해수욕,33
대여,33
코스,33
그릇,32
메밀,32
낚시,32
그림,32
발견,32
남자,32
한참,32
해변가,32
밑반찬,32
부부,32
하우스,32
종류,31
조금,31
재미,31
촬영,31
리조트,31
마리,31
라면,31
고민,31
예전,31
관리,31
장칼,31
인테리어,31
스파,31
설명,31
수건,31
소주,30
대포항,30
요금,30
파티,30
얘기,30
고속도,30
말씀,30
마무리,30
멸치,30
실내,30
저기,30
평일,30
가게,30
단체,30
국내,29
대박,29
세상,29
주소,29
얼굴,29
매력,29
의자,29
조식,29
지역,29
텐트,29
지금,29
음료,29
요기,29
메뉴판,29
편안,29
게스트,28
다양,28
중간,28
초보,28
상태,28
손님,28
전망대,28
결국,28
공기,28
이후,28
개장,28
냉장고,27
가자미,27
냄새,27
동네,27
에어컨,27
네이버,27
백사장,27
이거,27
걸로,27
서비스,27
외관,26
자체,26
카메라,26
건지,26
