word,counted
바다,268
속초,264
물치항,235
해변,232
강현면,229
여행,180
해수욕장,175
하나,159
동해,152
비치,135
전화,135
지도,112
준비,111
날씨,108
모습,108
가능,106
맛집,105
구경,104
자리,103
주말,103
여름,102
가족,101
센터,100
파도,97
장소,96
마켓,96
근처,94
상세,94
관심,89
서핑,89
거리,87
추천,87
가격,86
등대,86
느낌,85
서울,85
이용,84
처음,84
아이,83
마음,81
주차장,80
유명,79
지역,76
송이,75
설악산,74
저희,73
방문,72
커피,72
국물,71
기분,70
안녕,70
공간,69
운영,67
하루,67
겨울,67
고기,67
입구,66
음식,66
낙산사,66
어디,65
식당,65
주차,64
설악,64
소개,64
바닷가,63
점심,63
사장,62
친구,62
포스팅,60
판매,60
시설,60
동안,60
이동,58
주변,58
시장,58
낙산,58
모래,57
풍경,57
저장,57
대포항,57
강원,57
예약,56
플레이스,56
이름,55
바람,55
최고,55
가지,55
물치리,55
마지막,55
사이,55
체험,54
축제,54
폴더,53
자연,53
팝업,53
여유,52
사용,52
오후,52
행복,52
강릉,52
일출,51
규모,51
리조트,50
토요일,50
예정,49
하우스,49
분위기,49
숙소,48
김치,48
출발,48
마을,48
걱정,47
하늘,47
항구,47
생활,47
카페,47
일요일,46
먹거리,46
개인,46
식사,46
아파트,46
도로,46
기대,46
기본,46
오전,45
동해안,45
산책,45
둘째,45
계획,45
한잔,44
낚시,44
물치천,44
리버,44
아래,44
안전,43
공원,43
마리,43
도루묵,43
참고,43
다양,42
중간,42
추가,42
강선,42
일정,42
고속도로,41
사랑,41
펜션,41
정암리,41
소리,41
방파제,41
관광객,40
감사,40
진행,40
구입,40
기억,40
오랜만,39
휴가,39
필요,39
화장실,39
추억,39
생선,38
설치,38
정보,38
이야기,38
정암,38
확인,38
인근,38
특별,37
칼국수,37
볼거리,37
오픈,37
그릇,37
내부,37
엄마,36
지구,36
국도,36
냄새,36
포장,36
터미널,36
요즘,36
공기,36
이유,35
걸로,35
하조대,35
새벽,35
입맛,35
얼마,35
뭔가,35
나무,34
가을,34
관광,34
주택,34
건물,34
가게,34
선택,33
개통,33
마련,33
지금,33
검색,33
면적,33
소식,33
자기,33
동네,32
구이,32
기간,32
문호리,32
관광지,31
만족,31
촬영,31
대표,31
활어,31
마트,31
부분,31
모양,31
해맞이,31
예전,31
무료,31
친절,31
코스,30
후기,30
정리,30
미린,30
아빠,30
매력,30
안내,30
보드,30
강습,30
설명,30
고민,30
편리,30
버스,30
본격,29
인기,29
이건,29
테이블,29
서프,29
샤워,29
발견,29
놀이,29
지상,29
제공,29
국내,29
캠핑,29
나름,29
조금,29
호텔,29
환경,29
혼자,28
구매,28
경우,28
국수,28
힐링,28
바닥,28
서퍼,28
메뉴판,28
재미,28
셀러,28
순간,27
조개,27
제품,27
전용,27
차량,27
상태,27
보통,27
만큼,27
이거,27
고고,27
마무리,27
부부,26
관리,26
방법,26
영업,26
오징어,26
물고기,26
머리,26
분양,26
강현,26
인구,26
반찬,26
명소,26
지하,26
말씀,26
횟집,26
막국수,26
거기,26
이것,26
이게,26
네이버,26
물놀이,25
블로그,25
양양읍,25
도시,25
깍두기,25
소주,25
의자,25
그때,25
안쪽,25
세대,25
행사,25
갈매기,25
주소,25
연결,25
전날,25
대부분,25
중앙,25
무엇,25
조성,24
문화,24
중요,24
요금,24
베이커리,24
덕분,24
운전,24
양평,24
초보,24
허니,24
한우,24
나중,24
수제,24
숙박,24
남편,24
휴게소,24
종류,24
매운탕,24
편안,24
이후,24
물회,24
다리,24
대박,23
텐트,23
사항,23
속초시,23
디오,23
그곳,23
아들,23
설렁탕,23
고성,23
완전,23
동시,23
이제,23
저기,23
편의,23
연인,23
튀김,23
방향,23
타임,23
손님,22
배경,22
구성,22
번호,22
참여,22
운동,22
비교,22
건강,22
게스트,22
인생,22
연락,22
맥주,22
물놀,22
조망,22
교육,22
여자,22
장칼,22
요기,22
그것,22
서비스,22
모델,22
기회,22
일반,22
등등,22
경험,22
곳곳,22
박스,21
인접,21
공연,21
휴식,21
교통,21
세상,21
센타,21
부족,21
부동산,21
학교,21
전망대,21
사고,21
간식,21
작년,21
햇살,21
개장,21
양념,21
입주,21
접근,21
여름휴가,21
대신,21
시기,21
밑반찬,21
백사장,21
해변가,20
일상,20
얼굴,20
소요,20
바닷물,20
자랑,20
클릭,20
오션,20
그림,20
어린이,20
빵집,20
남자,20
버섯,20
단위,20
주방,20
인증,20
양양가,20
구조,20
주민,20
현장,20
계절,20
전경,20
접시,20
건지,20
계곡,20
왼쪽,20
이웃,19
시외버스,19
구간,19
성공,19
택배,19
불편,19
강아지,19
선물,19
한참,19
카메라,19
목적,19
음료,19
오른쪽,19
블록,19
간판,19
물건,19
북쪽,19
한국,19
함스,19
건너편,19
맞은편,19
전국,19
육수,19
언제,19
요리,19
토지,19
해결,19
전망,19
시식,19
포인트,19
농협,19
해수욕,19
구름,19
소품,19
주거,18
장점,18
죽도,18
나라,18
찌개,18
사이즈,18
수건,18
해산물,18
고추,18
산책로,18
시스템,18
지방,18
모래사장,18
오색,18
소스,18
필수,18
신랑,18
새우,18
특산물,18
포함,18
대여,18
가운데,18
신경,18
야채,18
도보,18
자체,18
문제,18
제철,18
재료,17
상황,17
주요,17
향기,17
현지,17
색깔,17
장터,17
감상,17
매매,17
회도,17
시골,17
주인,17
부스,17
어부,17
조림,17
지인,17
인테리어,17
결국,17
종일,17
모두,17
단지,17
여행지,17
태풍,17
고장,17
세트,17
지난번,17
손질,17
라면,17
입장,16
사실,16
핸드,16
자연산,16
그날,16
사업,16
고속도,16
수산항,16
의미,16
달인,16
단독,16
부모,16
가구,16
위험,16
어른,16
불꽃,16
청정,16
침대,16
농산물,16
수영,16
영상,16
이해,16
즐거움,16
슈트,16
자유,16
크기,16
휴무,16
해안,16
자녀,16
연어,16
작품,16
완료,16
해수,16
오빠,16
문의,16
우미,15
동영상,15
완벽,15
인상,15
여긴,15
장비,15
장날,15
상품,15
인분,15
동생,15
녀석,15
노래,15
갈비,15
인정,15
동서,15
롯데,15
강추,15
수도,15
성수기,15
기념,15
자신,15
가루,15
이때,15
난로,15
일품,15
집중,15
경계,15
어제,15
당일,15
상대,15
공급,15
대기,15
포토,15
내용,15
작성,15
강사,15
아쉬움,15
내년,15
고객,15
시내,15
건데,15
겁니다,15
가자미,15
확보,15
여러분,15
우린,15
전체,14
형성,14
용품,14
원통,14
남애항,14
각종,14
키즈,14
남대천,14
별미,14
중심,14
관음상,14
전원주택,14
소금,14
외옹,14
선생,14
해당,14
단체,14
정성,14
특이,14
어촌계,14
연휴,14
아기,14
동해고속도로,14
가슴,14
스타,14
치킨,14
평일,14
부담,14
누구,14
주문진,14
한눈,14
대형,14
낭만,14
수육,14
체력,14
조심,14
쥬얼,14
손칼국수,14
마늘,14
다행,14
직원,14
홈페이지,14
카드,14
개최,14
자세,14
우미건설,14
공사,14
닭강정,14
광어,14
실내,13
어선,13
헬스,13
최대,13
운치,13
텐데,13
스타일,13
일원,13
벤치,13
누가,13
경관,13
등급,13
사리,13
스테이션,13
난리,13
매장,13
작업,13
위주,13
플리,13
평소,13
트럭,13
하교,13
건설,13
배치,13
센스,13
첫날,13
그물,13
찹쌀,13
초시,13
야외,13
초등,13
기사,13
얘기,13
시즌,13
해장,13
대로변,13
샴푸,13
인사,13
커플,13
그게,13
동반,13
특색,13
평가,13
비용,13
언니,13
환상,13
인심,13
소보,13
옛날,13
우럭,13
설계,13
동호,12
수업,12
신발,12
멍게,12
앞바다,12
파라솔,12
인프라,12
차이,12
새해,12
해돋이,12
양파,12
부탁,12
정취,12
올림픽,12
평창,12
임대,12
시범,12
독특,12
더위,12
문어,12
예상,12
드라이브,12
맞통,12
업체,12
홍천,12
몽돌,12
고속,12
발전,12
남향,12
조형물,12
확장,12
취향,12
춘천,12
결정,12
여기저기,12
송이버섯,12
도전,12
노력,12
수산,12
홍보,12
패스,12
지원,12
우수,12
작가,12
일부,12
바디,12
투어,12
방면,12
애견,12
푸드,12
언덕,12
배낚시,12
소나무,12
진항,12
입수,12
도자기,12
냉면,12
수요일,12
공방,12
항아리,11
공예품,11
재배,11
금요일,11
등장,11
입지,11
택지,11
부근,11
상담,11
정원,11
냄비,11
쇼핑,11
아바이,11
젓가락,11
나머지,11
주위,11
바닷바람,11
피곤,11
발생,11
황금,11
저번,11
음식점,11
바퀴,11
조건,11
쿠키,11
한편,11
거실,11
겨울철,11
세팅,11
포기,11
객실,11
회사,11
여정,11
경치,11
냉장고,11
관계,11
미니,11
비주얼,11
감동,11
수심,11
판상,11
표정,11
휴양지,11
자동차,11
조선,11
감성,11
치즈,11
린스,11
바다낚시,11
무인,11
포구,11
열정,11
무리,11
생산,11
가까이,11
삼겹살,11
식구,11
내일,11
강선리,11
전문,11
배달,11
동명항,11
와인,11
조명,11
부산,11
신청,10
국제공항,10
가마솥,10
수산물,10
도중,10
제작,10
방송,10
출항,10
원래,10
이미지,10
요건,10
호수,10
해장국,10
아쿠아,10
개방,10
어종,10
감기,10
수준,10
우측,10
오산,10
지소,10
목적지,10
부각,10
용도,10
포즈,10
표고,10
바게트,10
도움,10
이전,10
드립,10
조양동,10
구비,10
교통망,10
자연환경,10
남쪽,10
림프,10
국민,10
수트,10
놀이터,10
휴휴,10
아가,10
짬뽕,10
입주민,10
동계,10
건축,10
시도,10
아주머니,10
공유,10
앞쪽,10
과일,10
활성,10
배려,10
횟감,10
뚝배기,10
수평선,10
상징,10
정신,10
그네,10
군데,10
득템,10
며칠,10
발걸음,10
보건,10
천막,10
소재,10
당시,10
스파,10
소면,10
손양면,10
연속,10
계란,10
발길,10
지난주,10
근린공원,10
차례,10
이쪽,10
형상,10
기사문,10
여름철,10
당일치기,10
연습,10
이젠,10
금액,10
외옹치항,9
소정,9
순식간,9
모텔,9
인형,9
기사문항,9
전환,9
소화,9
개발,9
평상,9
천지,9
창문,9
구역,9
손맛,9
가평,9
튜브,9
별도,9
메밀국수,9
대비,9
도루,9
길이,9
장아찌,9
계단,9
방안,9
강일,9
기타,9
조합,9
린디,9
정자,9
콩국수,9
이틀,9
페이지,9
약속,9
순대,9
품질,9
유리,9
연락처,9
서측,9
반복,9
소문,9
비누,9
성비,9
통학,9
계속,9
대로,9
경기도,9
어딜,9
된장찌개,9
고향,9
시선,9
눈앞,9
초장,9
종합,9
신기,9
인원,9
강변,9
무렵,9
번국,9
한입,9
생태,9
워시,9
식감,9
비밀,9
데크,9
고급,9
특화,9
미안,9
만석,9
기원,9
갈비탕,9
공인,9
바구니,9
후회,9
밤바다,9
은어,9
기자,9
정식,9
렌탈,9
터널,9
수영장,9
동치미,9
표고버섯,9
시대,9
메이드,9
바위,9
제주,9
나들이,9
은근,9
마당,9
결과,9
파티,9
불꽃놀이,9
할머니,9
일행,9
할인,9
음악,9
본인,9
이마트,9
건가,9
방식,9
화로구이,9
기구,9
변경,9
사무소,9
바베큐,9
원고료,9
입실,9
무시,8
유일,8
문자,8
불빛,8
입장료,8
먹방,8
전기,8
민박,8
금정,8
선호,8
발달,8
특유,8
테라스,8
인터넷,8
기운,8
고생,8
배추김치,8
체크아웃,8
패들,8
이것저것,8
선정,8
건조,8
철도,8
정확,8
사방,8
이국,8
리뷰,8
예비,8
가방,8
미세먼지,8
날짜,8
예술,8
충전,8
햇볕,8
출근,8
막걸리,8
꿀맛,8
고속화,8
외관,8
아버지,8
쾌속,8
기름,8
청약,8
반죽,8
활용,8
단골,8
서해,8
실전,8
방문객,8
전시,8
동쪽,8
시외,8
차지,8
중개사,8
실망,8
골목,8
패션쇼,8
웃음,8
한쪽,8
좌우,8
소비자,8
철수,8
그건,8
둘쨋,8
주목,8
목공,8
순위,8
조화,8
감자탕,8
장사,8
예보,8
영향,8
세컨드,8
티비,8
남애,8
편의점,8
장면,8
삼척,8
명칭,8
조류,8
조리,8
나물,8
안주,8
소고기,8
조식,8
지정,8
잠시,8
안개,8
수요,8
만끽,8
상호,8
개동,8
가치,8
내외,8
이색,8
탁트인,8
채소,8
특성,8
설악항,8
반대편,8
뒤쪽,8
전문점,8
간장,8
기존,8
감자,8
스포츠,8
메밀,8
이불,8
시절,8
처리,8
공동,8
기약,8
그거,8
현실,7
코너,7
벤치마킹,7
장산,7
납부,7
디저트,7
슈즈,7
장사항,7
에어컨,7
막장,7
신비,7
택시,7
눈길,7
야영,7
퇴실,7
고속버스,7
생일,7
식품,7
최적,7
조사,7
바가지,7
아이스크림,7
풍선,7
파크,7
원주,7
그동안,7
매가,7
저거,7
표현,7
선조,7
박물관,7
눈치,7
지점,7
워크,7
가요,7
햇빛,7
아저씨,7
수영복,7
과정,7
외국,7
공예,7
회집,7
성인,7
모집,7
경제,7
효과,7
명태,7
정돈,7
절벽,7
청소,7
데이트,7
회룡리,7
미끼,7
하차,7
서로,7
무더위,7
중국,7
쌍둥이,7
동서고속도로,7
평화,7
링크,7
적극,7
회원,7
마감,7
월요일,7
마스터,7
통일,7
이론,7
흡입,7
남문,7
참가,7
휴양림,7
사무실,7
용호리,7
휴일,7
금지,7
잔금,7
개별,7
스테이크,7
희망,7
단풍,7
크림,7
박지,7
소통,7
이사,7
흰색,7
