word,counted
해수욕장,562
설악,558
바다,372
속초,304
여행,290
해변,266
파도,231
서핑,229
강현면,228
동해,218
하나,198
여름,183
낙산사,181
가족,179
날씨,166
낙산,159
추천,151
아이,145
바람,141
전화,140
지도,139
느낌,139
가능,133
숙소,130
자리,128
근처,128
비치,127
예약,127
출발,126
맛집,126
구경,126
준비,125
거리,124
이용,120
장소,120
주차장,120
주차,116
주말,116
마음,114
가격,114
저희,113
바닷가,113
입구,110
모습,110
유명,108
주변,106
풍경,105
펜션,105
상세,105
안녕,104
분위기,102
처음,98
서울,97
카페,96
모래,96
소개,95
식사,94
어디,94
설악산,92
화장실,92
물놀이,91
진항,90
막국수,89
하늘,89
사용,88
친구,88
방문,88
사장,87
기분,87
커피,85
무료,85
휴가,84
식당,84
운영,82
센터,82
만족,82
고기,82
오후,81
점심,81
공간,80
계획,80
시설,80
하루,79
기억,79
산책,78
아래,77
사이,77
동안,76
이동,76
시장,75
포스팅,73
행복,73
최고,72
마지막,72
오전,72
검색,72
음식,72
걱정,71
테이블,71
숙박,71
참고,70
활어,70
내부,69
한잔,69
소리,69
겨울,69
마을,69
여름휴가,69
호텔,69
이름,69
토요일,68
필요,68
대포항,67
추억,67
맥주,67
엄마,67
여유,67
강원,67
기대,66
놀이,66
코스,66
서프,66
가지,66
강습,65
캠핑,65
고민,65
지역,64
바베큐,64
건물,64
샤워,63
바우,63
하조대,63
해수,63
판매,62
관심,62
선택,62
힐링,60
오랜만,60
보드,60
얼마,60
건강,59
요즘,59
서퍼,58
사랑,58
이야기,58
마무리,57
안전,57
친절,57
기본,56
편의점,56
체험,55
플레이스,55
도로,55
하우스,54
바닷물,54
중간,54
침대,53
새벽,53
수심,53
자연,53
이유,53
일출,53
관음상,53
해수욕,52
혼자,52
횟집,52
구매,52
조개,51
아빠,51
안내,51
등대,51
물치항,50
버스,50
정암,50
튜브,50
뭔가,50
확인,50
인근,50
텐트,50
네이버,49
동해안,49
이거,49
거기,48
육수,48
둘째,47
마리,47
저장,46
팝업,46
용호리,46
국물,46
게스트,46
감사,46
추가,46
고성,45
스타,45
개인,45
다양,45
부부,45
마켓,45
수육,45
그릇,45
서비스,44
단체,44
이게,44
폴더,44
바닥,44
한참,44
가을,44
정리,44
속초시,44
중앙,44
후기,43
결국,43
고속도로,43
편리,43
만큼,43
물회,43
작년,42
고고,42
관리,42
세트,42
관광,42
불편,42
일정,42
블로그,42
리조트,42
필수,41
라면,41
물놀,41
재미,41
대부분,41
터미널,41
강릉,41
포장,41
부모,41
오른쪽,41
텐데,41
나중,41
상태,41
전날,41
물치,41
오징어,41
커플,41
다리,40
성수기,40
무엇,40
방향,40
구이,40
세상,40
제공,40
걸로,40
발견,40
반찬,40
오션,40
닭강정,39
나루,39
손님,39
현지,39
관광객,39
예전,39
크기,39
수건,39
방법,39
공기,38
구름,38
완전,38
국내,38
구입,38
인기,38
먹거리,38
마련,38
편안,38
휴게소,38
계곡,38
영상,38
이것,38
죽도,38
파라솔,37
매운탕,37
방파제,37
대표,37
김치,37
휴가철,37
낚시,37
가슴,37
부분,37
설치,37
대신,37
광어,36
인증,36
의자,36
지금,36
카메라,36
꾸지,36
휴식,36
평일,36
타임,36
언니,36
등등,36
주소,36
실내,35
생선,35
야외,35
만석,35
예상,35
머리,35
왼쪽,35
파티,35
에어컨,35
공원,35
규모,35
저기,35
전망,35
예정,35
체크인,35
촬영,35
냉장고,34
결정,34
대박,34
경우,34
나무,34
얼굴,34
여행지,34
선물,34
자유,34
얘기,34
이후,34
해결,34
매력,34
백사장,33
냄새,33
조식,33
객실,33
관광지,33
일요일,33
테라스,33
단위,33
상대,33
멍게,33
말씀,33
어른,33
그림,33
이건,32
음료,32
물고기,32
설명,32
개장,32
대여,32
자기,32
해안,32
나름,32
인테리어,32
경치,31
금요일,31
오픈,31
모래사장,31
조금,30
포기,30
주방,30
입장료,30
문의,30
초보,30
명소,30
운전,30
가게,30
보통,30
포인트,29
피곤,29
감상,29
나라,29
