word,counted
바다,258
여행,243
비치,220
낚시,208
맛집,207
물회,193
수산,191
체험,188
손양면,187
횟집,166
요트,161
속초,147
가족,146
가자미,146
전화,143
동해,141
추천,130
하나,128
아이,127
근처,120
마을,113
지도,112
유명,111
거리,109
동해안,105
가격,104
가능,104
배낚시,103
여름,101
날씨,96
모습,96
낙산,96
상세,95
처음,94
항구,94
저희,91
어촌,91
조개,89
준비,89
해수욕장,88
방파제,87
음식,86
해변,85
수산리,85
친구,83
문어,83
국물,83
예약,82
서울,80
투명,79
기본,79
카누,77
느낌,77
마리,77
방문,77
바람,76
선상,76
자리,76
식사,74
오후,74
장소,73
점심,73
반찬,73
식당,73
바다낚시,73
추억,72
마리나,72
이용,70
주말,70
주변,70
낙산사,69
구경,68
솔비,67
최고,67
운영,67
밑반찬,66
파도,65
고기,65
자연산,65
리조트,64
복전,64
세꼬,64
출발,64
매운탕,64
어디,62
강릉,62
사장,61
안녕,61
검색,61
마음,59
관심,58
오전,57
안전,57
추가,56
마지막,56
기대,56
공기,56
요즘,55
가지,55
코스,55
개인,54
다양,54
참고,53
입구,53
생선,53
테이블,53
하조대,52
플레이스,52
정박,52
포스팅,52
오징어,52
이름,52
승선,52
해산물,52
숙소,52
걱정,51
대박,51
지역,51
기분,51
바닷가,51
사이,51
포인트,51
다래,50
고민,50
보트,50
어선,49
뭔가,48
연인,48
하루,48
전문,48
아래,48
만족,48
강원,47
소개,47
인근,46
이동,46
풍경,45
가을,45
메뉴판,45
사랑,44
하늘,44
물고기,44
그릇,44
저장,44
초보,43
팝업,43
자연,43
한잔,43
폴더,43
칼국수,42
대표,42
미끼,42
사용,42
단체,42
엄마,42
필요,42
서핑,41
중간,41
무료,41
회도,41
동호,41
안쪽,41
인기,40
전망대,40
복국,40
손님,39
주차장,39
여유,39
예전,39
이게,39
펜션,39
동안,39
우럭,39
해녀,38
휴가,38
문어빵,38
등대,38
새우,37
재미,37
산책,37
주차,37
활어,37
요리,37
이거,37
설악산,37
재료,36
누구,36
소리,36
완전,36
먹거리,36
새벽,36
부추,36
시장,36
손맛,36
이건,36
행복,36
계획,36
영진,36
분위기,35
비누,35
선택,35
볼거리,35
얼마,35
이것,35
가게,35
모듬,35
구이,35
친절,35
입맛,35
오랜만,34
자미,34
여행지,34
진호,34
축제,34
낙산항,33
시설,33
동네,33
멍게,33
감사,33
전복,33
만큼,32
캠핑,32
겨울,32
이유,32
소면,32
안내,32
동호리,32
무엇,32
야채,32
등등,32
광어,32
타임,32
바위,31
수요일,31
해장,31
포장,31
여름휴가,31
커피,31
기억,31
사리,31
후기,31
영업,31
선장,31
내부,31
문의,31
마무리,30
해양,30
보통,30
호텔,30
특별,30
필수,30
복무,30
대명,30
이야기,30
나중,30
나름,30
남애항,29
토종,29
관광객,29
하우스,29
프로그램,29
블로그,28
홍합,28
발견,28
출조,28
건지,28
크기,28
손질,28
해초,28
공간,28
양양가,28
건물,28
관광,27
골든,27
확인,27
소주,27
비교,27
어항,27
어른,27
아들,27
식감,27
미역,27
휴무,27
전문점,27
도로,27
피싱,26
각종,26
고속도로,26
중요,26
대포항,26
주소,26
대구,26
일출,26
일반,26
참가자미,26
강추,26
작년,26
아빠,26
앞바다,26
요금,26
서비스,26
육수,25
일요일,25
오토캠핑,25
매력,25
오산,25
최대,25
힐링,25
행사,25
네이버,25
경험,25
여러분,25
봉수대,25
종류,25
생활,24
미역국,24
부부,24
방법,24
성게,24
바닥,24
전경,24
제공,24
해삼,24
진행,24
자체,24
정보,24
본격,24
화장실,24
평일,24
커플,24
사유,24
결정,24
양념,23
영상,23
일정,23
거기,23
조사,23
채비,23
물치항,23
여성,23
클럽,23
운전,23
말씀,23
지금,23
사이즈,23
브레이크,22
튀김,22
설명,22
숙박,22
인분,22
한참,22
조황,22
조금,22
최신,22
모양,22
구름,22
주인,22
언제,22
내항,22
대첩,22
포함,22
부분,22
김치,22
방송,22
오른쪽,22
비주얼,21
일품,21
오픈,21
그때,21
얼굴,21
레저,21
무침,21
국수,21
고등어,21
위험,21
물총,21
나라,21
휴게소,21
결국,21
전국,21
소라,20
걸로,20
라면,20
경우,20
상태,20
녀석,20
출항,20
제철,20
입질,20
국내,20
방향,20
설치,20
사실,20
이국,20
상황,20
텐데,20
장비,20
연어,20
기회,20
고고,20
남자,20
전날,20
대한민국,20
모임,20
남편,19
고향,19
횟대,19
시즌,19
이후,19
이색,19
비용,19
등장,19
맥주,19
이선장,19
편의점,19
접시,19
편안,19
야외,19
판매,19
구입,19
혼자,19
한식,19
대부분,18
규모,18
여긴,18
감상,18
카페,18
초장,18
모두,18
센터,18
정리,18
구명조끼,18
바닷물,18
그림,18
순간,18
바늘,18
회로,18
우린,18
문제,18
휴가지,18
언니,18
주문진,18
지정,18
그것,18
멸치,17
이제,17
통발,17
현지,17
대기,17
소원,17
바지락,17
실망,17
한눈,17
서해,17
휴가철,17
시도,17
소나무,17
골뱅이,17
그곳,17
주세요,17
인원,17
인증,17
영자,17
간판,17
덕분,17
수무,17
씨알,17
명소,17
대여,17
남녀노소,17
철수,17
대신,17
예정,17
일행,17
옛날,16
바닷바람,16
여기저기,16
지인,16
왼쪽,16
이웃,16
전망,16
저기,16
가루,16
조심,16
즐거움,16
단위,16
건강,16
당일,16
조림,16
더위,16
사고,16
젓갈,16
평소,16
솔밭,16
계절,16
작업,16
수족관,16
이것저것,16
연락,16
현장,16
선사,15
외항,15
죽도,15
피곤,15
꿀맛,15
주민,15
얘기,15
전진,15
송이,15
번호,15
결과,15
관광지,15
기념,15
소스,15
동생,15
도루묵,15
아쉬움,15
후회,15
상대,15
쥬얼,15
다행,15
먹방,15
답니다,15
목적지,15
오산리,15
음식점,15
국가,15
별미,15
투어,15
카약,15
고속도,14
포기,14
볶음,14
겁니다,14
동시,14
공사,14
갈매기,14
가요,14
부족,14
캠프촌,14
개통,14
어부,14
여자,14
직원,14
어린이,14
유일,14
요건,14
건데,14
대로,14
체크인,14
대회,14
공원,14
해물,14
부모,14
아저씨,14
둘째,14
박물관,14
인승,14
고추장,14
촬영,14
머리,14
버섯,14
해맞이,14
완성,14
수제비,14
회덮밥,14
조성,14
픽업,14
어르신,14
자랑,14
발길,13
속도,13
옥수수,13
휴식,13
연결,13
회사,13
회집,13
일기,13
부탁,13
시대,13
아기,13
요거,13
미안,13
다리,13
경력,13
영양,13
경치,13
고추,13
흥미,13
의자,13
정상,13
스노클링,13
불편,13
간장,13
마련,13
외옹치항,13
목적,13
리필,13
냄새,13
와이프,13
닭강정,13
밥상,13
예상,13
군데,13
소요,13
어종,13
한쪽,13
횟감,13
역시,13
성수기,13
기간,13
북쪽,13
조과,13
마트,13
워크,13
첫날,13
토요일,13
자기,13
전이,12
레포츠,12
인상,12
햇살,12
밀가루,12
흡입,12
우왕,12
테트라,12
두께,12
정신,12
포구,12
버스,12
막국수,12
첫째,12
원래,12
무리,12
포토,12
만점,12
화요일,12
시골,12
생수,12
건가,12
고요,12
요청,12
전통,12
고생,12
식구,12
나이,12
마감,12
텐트,12
활동,12
햇빛,12
노래,12
남대천,12
꽁치,12
고성,12
연휴,12
인생,12
계류장,12
조화,12
어제,12
이때,12
기술,12
국도,12
바닷속,12
운동,12
채취,12
취향,12
주방,12
양식,12
생태,12
삼치,12
감탄,12
메탈,12
아주머니,12
내음,12
계속,12
도전,12
파티,12
해안,12
젓가락,12
대게,11
동영상,11
세상,11
나무,11
금요일,11
해결,11
인구,11
이걸,11
변경,11
보드,11
회원,11
관계,11
노력,11
자극,11
한국,11
전부,11
불가사리,11
할인,11
오징어순대,11
대형,11
아내,11
차이,11
한입,11
원투,11
인사,11
실내,11
전체,11
차량,11
속초시,11
계단,11
새끼,11
월요일,11
택시,11
뭔지,11
신랑,11
복물,11
선물,11
오빠,11
외관,11
이모,11
쉼터,11
약속,11
기록,11
스타일,11
진심,11
동산항,11
서피,11
학교,11
관리,11
남쪽,11
배경,11
수상,11
선착장,11
계곡,11
안심,11
교육,11
지그,11
요기,11
신청,11
인정,10
치즈,10
조갯살,10
수준,10
좌측,10
도시,10
구성,10
아이스박스,10
태풍,10
음료수,10
개최,10
좌식,10
종일,10
평화,10
다섯,10
인구항,10
회랑,10
기사문항,10
이전,10
신경,10
의미,10
낚시터,10
이쪽,10
어초,10
감칠맛,10
터널,10
전용,10
공항,10
시내,10
태양,10
누가,10
당일치기,10
라인,10
인용,10
정비,10
복어,10
로드,10
인테리어,10
번지,10
출연,10
어딜,10
네비,10
모래,10
은근,10
두꺼비,10
아무것,10
비빔밥,10
마늘,10
지방,10
바퀴,10
조개탕,10
국수사리,10
사전,10
오색,10
메인,10
전동,10
치배,10
웨이팅,10
지난번,10
카드,10
요것,10
동쪽,10
기름,10
최선,10
그건,10
그동안,10
참가,10
가량,9
도다리,9
영화,9
저흰,9
샤워,9
조선,9
인천,9
성공,9
앞쪽,9
피로,9
엑스,9
아버지,9
프로,9
예술,9
초밥,9
다시,9
역사,9
개방,9
현북면,9
얼음,9
식혜,9
세트,9
포즈,9
캐스팅,9
내년,9
내용,9
소문,9
무늬,9
멀미,9
휴무일,9
수심,9
황어,9
섭이,9
출처,9
금지,9
정말,9
설악,9
덩어리,9
난리,9
링크,9
카메라,9
주일,9
휴양지,9
숟가락,9
박스,9
상상,9
고급,9
가운데,9
소진,9
부산,9
갈만,9
구역,9
포트,9
적극,9
놀이,9
환상,9
풍광,9
환영,9
육지,9
그날,9
특징,9
정식,9
선생,9
자유,9
자신,9
기능,9
취미,9
안정,9
생명,9
도구,9
특유,9
어묵,9
주관,9
당황,9
포호,9
신발,9
우미,9
부담,8
노을,8
음료,8
간식,8
정원,8
껍질,8
루어,8
음악,8
배달,8
군사,8
호수,8
저번,8
윤기,8
바베큐,8
신휴,8
한창,8
유지,8
해장국,8
상당,8
그게,8
노후,8
발전,8
구매,8
아점,8
세일,8
진짜,8
미터,8
막걸리,8
외부,8
집중,8
감자,8
수면,8
패스,8
곳곳,8
치킨,8
기타,8
마린,8
단어,8
식목일,8
계란,8
센스,8
역할,8
우리나라,8
아우,8
게스트,8
스타,8
반죽,8
상담,8
조합,8
문화,8
고장,8
해변가,8
인터넷,8
장사,8
운치,8
에어컨,8
시절,8
나들이,8
시기,8
스포츠,8
해양경찰,8
데이트,8
기자,8
장난,8
베이스,8
강현면,8
미세먼지,8
탑승,8
며칠,8
성비,8
가슴,8
회의,8
찌낚시,8
등산,8
순대,8
고속,8
전복죽,8
복요리,8
만끽,8
폭풍,8
드라이브,8
어촌계,8
휴휴,8
이해,8
안주,8
터미널,8
완공,8
속초항,8
접근,7
예보,7
정자,7
용품,7
안배,7
성인,7
수리,7
길가,7
된장,7
미니,7
국제공항,7
베스트,7
갯바위,7
순식간,7
소식,7
진입,7
기사,7
경제,7
수용,7
국과,7
낚싯대,7
셀프,7
살얼음,7
형태,7
제일,7
전갱이,7
오이,7
과거,7
래미,7
계산,7
금액,7
차례,7
여름철,7
어머니,7
보이,7
유래,7
협회,7
항인,7
분주,7
진항,7
상차림,7
산회,7
외국,7
손가락,7
엔진,7
묘미,7
대비,7
거점,7
핑장,7
만족도,7
위주,7
핸드폰,7
춘천,7
기대감,7
무한,7
전형,7
상추,7
일상,7
한상,7
요트항,7
동반,7
침대,7
믿음,7
실패,7
사정,7
양파,7
계류,7
매주,7
양양읍,7
양식장,7
구분,7
회가,7
튜브,7
불가,7
부침개,7
서해안,7
수산물,7
차원,7
우측,7
저거,7
약간,7
응원,7
가시,7
건조,7
동명항,7
강습,7
미래,7
여행객,7
홈페이지,7
물놀이,7
식후,7
삼겹살,7
노래미,7
야유회,7
금강산,7
도치,7
불빛,7
강아지,7
냄비,7
해파,7
수도,7
뚝배기,7
안성맞춤,7
한때,7
모둠,7
편리,7
스페셜,7
완벽,7
사업,7
연날리기,7
장면,7
가구,7
생물,7
객실,7
오션,7
영동,7
형상,7
하광정리,7
누룽지,7
고양이,7
고대,7
한옥,7
먼지,7
무시,7
학생,7
음주,7
통구이,7
정박장,7
홍천,6
사계절,6
샐러드,6
선호,6
인간,6
사항,6
너머,6
주저,6
광고,6
정취,6
목표,6
주인장,6
맞은편,6
기존,6
역쉬,6
부스,6
연출,6
휴양림,6
그물,6
데크,6
각자,6
당신,6
한숨,6
어구,6
입장,6
입안,6
최소,6
스쿠버,6
진리,6
열정,6
잔해,6
반대편,6
해안가,6
수영,6
햄버거,6
국을,6
식품,6
일부,6
취소,6
즉석,6
밥도둑,6
구간,6
주제,6
청정,6
내장,6
주위,6
어업,6
희망,6
오랫만,6
수고,6
실시,6
대상,6
보관,6
골목,6
이젠,6
쓰레기,6
오뎅,6
개발,6
장국,6
쌈장,6
방생,6
이성우,6
초입,6
소규모,6
무더위,6
가정집,6
클리어,6
절경,6
경포대,6
중심,6
꼬마,6
바깥,6
해루,6
코앞,6
연안,6
양면,6
냉장고,6
건너편,6
밥집,6
수조,6
제주도,6
숭어,6
구독,6
개월,6
경관,6
효능,6
테라스,6
전설,6
아이스,6
뉴스,6
가자미회,6
좌석,6
무게,6
공감,6
절벽,6
게임,6
세팅,6
방학,6
변화,6
황태,6
편의,6
파라솔,6
군부대,6
준비물,6
애기,6
스팟,6
약문,6
장사항,6
지점,6
천국,6
조개류,6
단맛,6
할머니,6
머구리,6
팽이버섯,6
평상시,6
제격,6
길거리,6
