word,counted
해변,429
서핑,375
현남면,279
바다,274
죽도,237
여행,210
해수욕장,194
파도,178
하나,177
느낌,171
맛집,171
카페,170
여름,160
전화,148
추천,146
날씨,141
펜션,129
근처,126
분위기,126
가능,125
친구,124
가격,123
저희,123
준비,121
사장,120
안녕,119
구경,118
예약,118
서퍼,117
하우스,117
음식,114
보드,113
처음,111
서울,110
자리,109
모습,108
게스트,106
맥주,105
식당,104
이용,103
지도,103
바닷가,102
숙소,101
주말,99
방문,98
유명,95
포스팅,95
테이블,95
마음,94
커피,93
강습,93
거리,91
운영,91
공간,90
고기,89
바람,88
플레이스,86
가족,86
인구리,85
기분,85
버스,84
소개,83
바베큐,83
동해,83
내부,82
강원,82
파티,79
강릉,77
참고,77
점심,76
주변,76
출발,76
인테리어,75
막국수,75
서프,75
식사,75
장소,75
걱정,74
마지막,73
한잔,73
뭔가,72
이동,72
사이,72
상세,72
비치,72
고민,71
사용,70
건물,69
어디,68
아래,68
여유,68
하늘,67
만족,67
나름,67
번호,66
행복,65
소주,65
이름,64
숙박,63
아이,63
가게,63
후기,63
힐링,62
양리,61
오후,61
동안,61
최고,61
개인,61
필요,60
검색,60
모래,60
이유,58
실내,58
속초,57
기본,57
오픈,57
산책,56
판매,56
화장실,56
캠핑,56
휴가,56
요즘,56
하루,55
주문진,55
메뉴판,55
오전,55
동네,54
재미,54
셀프,53
남자,52
나중,52
입구,51
호텔,51
초보,51
오랜만,51
얼마,51
친절,51
관심,50
진행,50
풍경,50
기대,50
작년,50
마을,50
재료,50
감사,49
그때,49
음료,49
이야기,49
가지,49
기억,49
음식점,49
만큼,49
테라스,48
새벽,48
단체,48
확인,48
걸로,47
여자,47
완전,47
의자,47
주소,46
시설,46
선택,46
추억,45
설렁탕,45
교육,45
대표,45
해변가,45
소품,45
하조대,45
사랑,44
무엇,44
블로그,44
반찬,44
예전,43
타임,43
성수기,43
다양,43
겨울,43
슈트,42
세상,42
팝업,42
중앙,42
코스,41
야외,41
이거,41
낚시,41
네이버,41
메밀,41
터미널,41
안전,40
손님,40
정리,40
오션,40
설명,39
저장,39
커플,39
수육,39
계획,39
외관,38
영업,38
폴더,38
휴게소,38
엄마,38
매력,38
편의점,38
일출,37
물놀이,37
덕분,37
주방,37
방파제,37
등등,37
침대,37
마무리,36
강사,36
클릭,36
경우,36
국물,36
술집,36
스타,35
전날,35
스파,35
이후,35
짬뽕,35
장비,35
일정,35
간판,35
한우,35
추가,35
거기,35
수트,34
종류,34
얘기,34
감성,34
제공,34
샤워,34
국내,34
바닥,34
그릇,34
배식구,34
비빔,34
연습,34
공기,34
평일,34
취향,34
발견,34
김치,33
주차,33
중간,33
소리,33
인생,33
요리,33
이것,33
이게,33
이건,33
아들,33
부분,33
결국,32
토요일,32
운동,32
마리,32
지역,32
수영,32
불편,32
정보,32
자유,32
시즌,31
전망대,31
나무,31
이미지,31
수심,31
해결,31
설치,31
전체,31
우린,31
문의,31
텐트,31
치즈,31
센스,31
보통,31
플리즈,31
사이즈,31
온도,30
모래사장,30
성공,30
편안,30
일요일,30
식감,30
대신,30
스타일,30
조금,30
무료,30
동영상,30
왼쪽,29
건지,29
언니,29
인기,29
연인,29
이론,29
도로,29
스팟,29
머리,29
혼자,29
매장,29
텐데,29
기회,29
남편,29
그림,29
바위,29
건데,28
안주,28
꿀맛,28
중요,28
곳곳,28
경험,28
라떼,28
시장,28
자연,28
상태,28
냄새,28
