word,counted
하조대,499
현북면,498
바다,344
여행,285
해수욕장,283
동해,236
해변,224
하나,203
하륜,197
강원,192
조준,188
등대,175
소나무,172
정자,167
조선,161
주변,160
일출,159
유명,157
전화,154
바위,150
속초,150
모습,147
지도,144
사이,144
추천,143
해안,140
지역,140
풍경,139
강릉,138
전망대,137
여름,133
가능,132
공신,128
파도,128
소개,128
이름,127
자연,126
이야기,126
서울,125
마음,125
마을,125
장소,124
자리,124
명소,123
이용,122
바닷가,119
절경,116
개국,116
가족,115
절벽,113
하늘,112
사랑,110
기암절벽,109
주소,108
경치,108
코스,108
관광,108
입구,107
날씨,105
거리,105
낙산사,105
구경,105
근처,104
아래,103
시설,101
비치,100
느낌,99
바람,98
방문,95
동해안,93
안녕,92
기분,90
최고,90
서핑,90
참고,90
현남면,89
카페,89
주차,89
주차장,89
지정,87
상세,87
분위기,86
노송,86
겨울,85
인근,82
건물,82
정리,81
친구,80
백사장,79
공간,79
처음,79
촬영,78
준비,78
관광객,78
펜션,77
강현면,77
가격,77
계획,77
어디,77
나라,76
아이,75
맛집,75
계단,75
여행지,74
명칭,74
고려,74
도로,74
수심,72
나무,72
감상,72
가지,71
동안,71
낙산,71
이동,70
기억,70
배경,70
숙소,70
기암괴석,70
관리,69
육각정,69
스카이,68
힐링,68
소리,67
저희,67
운영,67
예약,67
명승,67
번호,66
남쪽,65
모래,65
애국가,65
경관,65
번지,65
관광지,64
송림,64
주말,64
설악산,64
하조,64
처녀,64
마지막,64
지금,64
워크,64
추억,64
한국,63
하루,63
음식,62
집안,62
관심,62
내부,62
정보,62
시장,62
문화,62
총각,61
시대,61
경승지,61
공원,61
출발,60
대표,60
죽도,60
네이버,60
강릉시,59
자랑,59
행복,59
필요,59
방향,59
식당,59
경사,59
오후,59
기대,58
사용,58
만큼,58
여유,58
유래,58
기록,58
그림,58
무인,57
중간,57
확인,57
상대,57
무료,57
안내,57
플레이스,57
포스팅,57
규모,56
전설,56
버스,56
개인,56
커피,56
식사,56
주문진,56
체험,55
국내,54
숙박,54
은거,53
오른쪽,53
출처,53
홈페이지,53
계곡,52
휴게소,52
주위,52
풍광,52
이후,52
전국,52
화장실,52
바위섬,52
다양,51
서면,51
진행,51
암석해안,51
감사,51
건립,51
낭만,50
부산,50
가슴,50
휴휴,50
양양읍,50
세상,50
이유,49
설명,48
전망,48
인구,48
모양,48
얼굴,48
역사,48
누구,47
캠핑,47
가을,47
볼거리,47
해돋이,47
설치,47
산책,46
고성,46
요즘,46
저장,46
바닥,46
휴가,46
중앙,46
검색,46
기본,45
오전,45
드라마,45
조성,45
터미널,45
대부분,45
인기,45
왼쪽,44
축제,44
북쪽,44
하광,44
면적,44
점심,43
순간,43
영상,43
제공,43
국도,43
속초시,43
매력,43
방파제,42
서피,42
일반,42
복원,42
발견,42
장관,42
남대천,41
고속도로,41
바닷바람,41
고기,41
한눈,41
방법,41
막국수,40
팝업,40
센터,40
입장료,40
한잔,40
내용,40
곳곳,40
중요,40
폴더,40
전체,39
행사,39
그곳,39
해맞이,39
지방,39
오색,39
가운데,39
