word,counted
바다,426
여행,327
해수욕장,288
현북면,258
하나,217
해변,207
등대,203
동해,203
전망대,179
파도,177
여름,175
날씨,173
하광정리,168
풍경,163
소나무,157
바람,156
정자,152
모습,152
하륜,146
느낌,145
속초,144
구경,143
바위,138
근처,138
카페,138
가족,130
하늘,128
일출,126
아이,126
계단,124
마음,124
조준,123
자리,121
기분,121
유명,118
주변,117
이름,117
지도,115
추천,115
비치,115
바닷가,115
입구,111
조선,109
스카이,107
워크,106
전화,105
아래,104
주차장,103
저희,102
경치,100
가능,100
주차,99
서핑,99
출발,99
숙소,99
커피,96
이용,96
자연,94
처음,94
준비,94
장소,93
절경,93
거리,92
겨울,91
사이,90
여유,90
이동,88
상세,88
분위기,87
강릉,87
맛집,86
친구,85
포스팅,84
이야기,84
공신,84
모래,83
나무,82
펜션,81
점심,80
코스,79
검색,79
마지막,79
동안,78
어디,78
기억,78
공간,77
서울,77
서피,76
절벽,76
방문,76
예약,75
소리,73
개국,72
관광,72
산책,71
사랑,70
추억,68
지역,67
참고,66
그림,66
행복,65
명소,65
기암절벽,65
해안,65
가격,65
모래사장,64
감상,64
하루,63
애국가,63
하조,62
휴가,62
최고,61
힐링,61
시설,61
계획,61
물놀이,60
캠핑,60
테이블,59
낙산사,58
음식,58
촬영,58
고기,58
구름,58
무인,57
한잔,56
기대,56
개인,56
얼마,55
엄마,55
안녕,55
주말,55
식사,54
여행지,54
강원,54
동해안,54
맥주,53
휴게소,53
기암괴석,53
화장실,53
요즘,53
지정,53
내부,52
바닥,52
오후,52
놀이,52
가을,52
바닷물,52
필요,51
새벽,51
저기,51
관심,51
예전,51
배경,50
가지,50
중간,50
무료,49
식당,49
아빠,49
나름,49
오른쪽,48
플레이스,48
막국수,47
보호수,47
시장,47
만족,47
운영,46
이유,46
오랜만,46
백사장,45
한참,45
얼굴,44
지금,44
저장,44
뭔가,44
돌고래,44
팝업,44
설치,44
만큼,44
샤워,43
사장,43
수영,43
아들,43
노송,43
관광객,43
고민,43
출입,42
선택,42
가슴,42
왼쪽,42
추가,42
혼자,41
도로,41
다리,41
덕분,40
일정,40
머리,40
소개,40
후기,40
폴더,40
거기,40
순간,40
안내,40
설악산,40
인근,39
무엇,39
걸로,39
해수욕,39
고려,39
명칭,39
한눈,39
마무리,39
이것,39
건물,39
입장료,39
성수기,38
오전,38
사용,38
은거,38
관광지,38
요기,38
조금,37
관리,37
수심,37
해변가,37
방향,37
바베큐,37
음료,36
나중,36
고속도로,36
휴휴,36
바닷바람,36
기본,36
상태,36
경관,36
나라,36
아쉬움,36
전망,35
여름휴가,35
규모,35
걱정,35
모양,34
낙산,34
국내,34
우린,34
의자,34
방파제,34
고고,34
평일,34
공기,34
호텔,34
종류,33
안전,33
죽도,33
마을,33
부족,33
이후,33
명승,33
세상,33
버스,33
이국,32
이건,32
한국,32
텐데,32
친절,32
처녀,32
곳곳,32
육각정,32
데크,31
불편,31
야외,31
완전,31
결국,31
군사,31
유리,31
건지,31
남편,31
휴식,31
투명,31
위험,31
인증,31
볼거리,31
양양가,31
이게,31
총각,31
블로그,31
침대,31
패스,31
편의점,31
둘째,31
횟집,30
그곳,30
실내,30
재미,30
카메라,30
부분,30
그릇,30
여긴,30
편안,30
주문진,30
건강,30
반찬,30
피비,30
설명,30
감사,30
숙박,30
낭만,29
셀카,29
영상,29
장관,29
마리,29
계곡,29
물고기,29
등장,29
정리,29
발견,29
포토,29
의미,29
포기,29
금지,29
자체,29
송이,28
그것,28
결정,28
그때,28
햇살,28
대부분,28
튜브,28
서퍼,28
타임,28
피자,28
가운데,28
이거,28
오징어,28
필수,28
전날,28
운치,27
등등,27
명승지,27
기념,27
운동,27
조식,27
보통,27
암석해안,27
전체,27
여자,27
본격,27
송림,27
작년,27
감탄,27
남자,27
풍광,27
확인,27
주위,27
스타,27
파라솔,26
우측,26
체험,26
유래,26
리조트,26
물놀,26
누구,26
포장,26
전설,26
수령,26
시대,26
기록,26
당일치기,26
테라스,25
경사,25
중앙,25
인테리어,25
예쁘다,25
대표,25
오픈,25
어른,25
옛날,25
조명,25
판매,25
인생,25
집안,25
커플,25
바위섬,25
부부,24
동영상,24
태풍,24
가게,24
매력,24
수평선,24
냉장고,24
남쪽,24
강습,24
피곤,24
얘기,24
기회,24
경우,24
단위,24
자기,24
특별,23
대로,23
국도,23
목적지,23
안내소,23
오빠,23
자랑,23
여기저기,23
일상,23
운전,23
네이버,23
비교,23
신랑,23
인기,23
예술,23
입맛,23
건립,22
자유,22
언제,22
대신,22
포인트,22
파티,22
냄새,22
예정,22
김치,22
보드,22
오색,22
국물,22
숙종,22
터미널,22
물회,22
노래,22
직원,22
라면,22
정상,22
안쪽,22
체력,22
평화,22
예상,22
마련,21
해먹,21
말씀,21
발길,21
에어컨,21
태양,21
맞은편,21
공사,21
입장,21
성공,21
거실,21
그루,21
보호,21
산책로,21
드라이브,21
조심,21
주방,21
생선,21
평소,21
기상,21
조개,21
정보,21
어딜,21
카라반,21
현판,21
구이,20
외국,20
난리,20
내년,20
영업,20
체크아웃,20
웍스,20
주소,20
매운탕,20
대박,20
대쪽,20
세월,20
선물,20
다양,20
비빔,20
남애항,20
동네,20
홈페이지,20
한쪽,20
명물,20
갈매기,20
동반,20
아메리카노,20
대여,20
개장,19
감성,19
다행,19
양념,19
삼겹살,19
애국,19
아기,19
첫날,19
정신,19
신비,19
누가,19
센터,19
반대편,19
언니,19
어제,19
아저씨,19
기암,19
사실,19
낚시,19
군데,19
구역,19
부담,19
수건,18
텐트,18
부산,18
일반,18
도시,18
스파,18
춘천,18
전경,18
정종,18
이세근,18
고생,18
제공,18
부모,18
군부대,18
조성,18
동생,18
연인,18
해돋이,18
상대,18
체크인,18
표현,18
기간,18
문제,18
전용,18
캠핑카,18
중요,18
음악,18
색깔,18
외관,18
수준,18
수영장,18
참판,18
휴가철,18
단체,17
고성,17
메뉴판,17
동계,17
바다색,17
에메랄드,17
개월,17
북쪽,17
첫째,17
수육,17
구입,17
손님,17
연휴,17
장난,17
수산,17
해안가,17
접근,17
건데,17
토요일,17
복원,17
피서객,17
오션,17
구매,17
신경,17
하계,17
뒤쪽,17
글자,17
개방,16
역시,16
둘레길,16
식구,16
제트,16
강아지,16
쇼파,16
이제,16
후회,16
진행,16
편리,16
나이,16
돌출,16
수제,16
앞쪽,16
감자,16
조망,16
장면,16
국가,16
꿀맛,16
개통,16
안내도,16
하우스,16
너머,16
전국,16
조대,16
여러분,16
라떼,16
벤치,16
간식,16
창문,16
은근,16
왕건,16
할머니,16
새해,16
완벽,16
소요,16
반복,16
문화재,16
요금,16
언덕,16
일요일,16
드라마,16
일몰,16
특이,16
연결,16
수영복,16
미안,15
연출,15
퇴실,15
아무것,15
대기,15
메밀전,15
발걸음,15
지난번,15
도정,15
홍천,15
경승,15
반대,15
온수,15
어둠,15
비용,15
좌측,15
표정,15
이때,15
환경,15
이쪽,15
무렵,15
음식점,15
불빛,15
스트레스,15
고속,15
튀김,15
단풍,15
공원,15
천국,15
도전,15
강추,15
환상,15
이벤트,15
해당,15
역사,15
그날,15
설악,14
