post_dates,title,full_text,url
2019-11-01,정시은부동산 좋은집...,"[' 양양바닷가토지 양양해변인근토지매매 양양하조대토지매매 하조대바닷가토지매매 양양토지  양양 하조대 해변 인근(하광정리)토지 매매 올립니다 하조대는 수심이 깊지 않고 경사가 완만하며 울창한 송림을 배경으로 4㎞의 백사장이 펼쳐져 있는 경승지입니다 고려 말에 하륜과 조준이 숨어산 곳이어서 하조대라는 명칭이 있는 곳인데요 속초와 강릉 중간쯤에 위치한 경치 좋은 해변입니다 매매로 나온 토지는 해변과 거리가 도보 2분 거리에 있고 하조대 해변이 보이는 토지입니다 위치 : 양양군 현북면 하광정리000-0 면적 : 대지 외 590평 용도 : 자연환경보전지역, 계획관리지역 매가 : 평당140만원 보시고 연락 주시면 자세한 상담해드립니다 오늘도 행복하세요 ']",http://blog.naver.com/PostView.nhn?blogId=cklove7624&logNo=221713027618&redirect=Dlog&widgetTypeCall=true&directAccess=false
2018-11-01,꿈과 사랑의 전원주...,[' 강원 양양 현북면 하광정리 주택건축 현장답사 - 김남윤대표 강원 양양 현북면 하광정리에 주택건축 을 의뢰해 주셔서 현장 답사를 마쳤습니다. 어머님이 살고 계시는 고향에 민박형 주택건축을 위해 현장답사를 의뢰해 주셨습니다. 바닷가 해수욕장이 도보로 가능한 위치한 건축지에 민박형 주택을 건축하실 계획으로 찾아주셨습니다. 기분 좋은 여행의 필수 편안하고 편리한 숙박시설입니다. 건축주님 뿐만 아니라 찾아주시는 관광 고객분들도 만족할 수 있는 숙박 시설이 되도록 많이 고민하고 연구하여 최선의 결과로 보답드릴 수 있도록 최선의 노력을 다 할 것을 약속드립니다 늘 보내주시는 성원을 품질과 신뢰로 되돌려 드리도록 노력하겠습니다. ( 주 ) 꿈애하우징을 선택해주셔서 감사드립니다 . 꿈애하우징 대표 김남윤 010-2225-9705'],http://blog.naver.com/PostView.nhn?blogId=dlovehouse77&logNo=221392914919&redirect=Dlog&widgetTypeCall=true&directAccess=false
2016-10-01,반려묘와 함께하는 ...,"[' 조선 개국공신 하륜과 조진, 두 사람의 성을 따서 이름 지은 하조대 예로부터 하조대를 한번 거친 이는 저절로 딴 사람이 되고 10년이 지나도 그 얼굴에 산수 자연의 기상이 서려있게 된다고 기록될 정도로 경치가 수려한 강원도 양양 하광정리에 있는 경승지 .. 하조대 해안에 우뚝 숫은 기암절벽과 노송의 조화가 상당히 멋스러운 곳 계단을 올라 정상에 다다르면 계단 끝 소나무 사이로 하조대 무인등대가 모습을 드러냅니다. 계단을 오르면서 찍어 등대 전체를 사진에 담을 수는 없었지만, 소나무와 등대의 조화도 상당히 멋스러워요. 무인등대를 지나면 바로 드넓은 동해가 펼쳐져 있으며, 기암절벽과 노송이 한눈에 들어옵니다. 어찌 보면 닭 머리처럼 보이기도 하고.. 낮에는 좀 더웠는데, 해 질 녘에 찾아와서 그런지 시원한 바닷바람 맞으며, 경치를 충분히 감상해 봅니다. 돌계단조차도 아름다운... 돌계단을 따라 내려와 이번에는 하조대 정자가 있는 곳으로 발걸음을 옮겨봅니다. 지금 본 기암절벽과 노송을 더 가까이 볼 수 있는 곳이기도 해요. 고즈넉한 등대 카페를 지나면 하조대 정자로 올라갈 수 있는 길이 나와요. 가까이서 찍은 노송과 기암절벽 확실히 멀리서 볼 때와는 느낌이 전혀 다릅니다. 가까이 와서 보기 잘했다는 생각이 들어요 아쉬운 마음에 내려오면서 정자사진 한번 떠 찰칵 서서히 붉은색으로 물들어가고 있는 단풍 다음 주 정도면 단풍 절정일 텐데, 이날 본 풍경과는 또 다른 분위기를 엿볼 수 있겠죠 단풍 절정일 때 한번 더 가보고 싶어요. 어느덧 10월도 중순이 다 되어가네요.. 기분 좋은 가을바람맞으며 단풍 구경도 다니고 가을여행이나 나들이 계획하시는 분들 많으시겠죠 강원도여행 계획하고 계시는 분들은 하조대 한번 들러보시길 권해드려요.']",http://blog.naver.com/PostView.nhn?blogId=toybook8&logNo=220835217419&redirect=Dlog&widgetTypeCall=true&directAccess=false
2016-03-01,GSWeb,"["" 하조대가 유명한 양양 하광정리    강원도 양양 하조대 백사 장은 피서철만 되면 북적북적한 인기 해수욕장입니다. 아름답고 깨끗한 자연환경을 자랑하는 곳으로 많은 분들이 관광지로 찾는 곳인데요. 그 중 하조대는 최근 인기리에 방영중인 '육룡이 나르샤'에서도 등장하는 하륜과 조준이 풍월을 읊었다는 설화가 얽혀 있는 곳이기도 합니다. 아주 오랜 옛날에도 이 곳에서  유유자적을 즐겼으니 이곳이 얼마나 빼어난 아름다움을 자랑하는 곳이었는지 짐작이 가시죠      하조대 백사장 근방에는 신흥이 설계한 현수교도 위치해있는데요. 모래사장이 4km인 하조대 해수욕장 옆에 바로 위치해 있습니다. 양양의 특산품인 버섯을 포인트로 다리에 새겨 넣었으며 측경간이 짧은 현수교입니다.       양양 근처엔 하조대 뿐만 아니라 많은 사람들이 사랑하는 '낙산사'가 위치해 있으며 버섯 이외에도 막국수와 닭갈비 등도 유명하니 하조대 해수욕장에 들러 아름다운 풍광 한번 둘러보고 가세요  ""]",http://blog.naver.com/PostView.nhn?blogId=gswebplay&logNo=220661120677&redirect=Dlog&widgetTypeCall=true&directAccess=false
2018-12-01,넓은세상,"[' 2018. 12. 03 < 양양 고속시외 터미널 >, 강원도 양양  Lomo Horizon Perfekt 로모 호라이즌 퍼펙트 Kodak Colorplus 200 소소한 이야기 에서 1박 하고 Lomo Horizon 로모 호라이즌 - 양양숙소 <소소한 이야기> 2018. 12. 02  03<소소한 이야기>, 강원도 양양 Lomo Horizon Perfekt로모 호라이즌 퍼펙트Ko... blog.naver.com 11h10 소소한 이야기( 하광정리) --> 11h25 양양터미널 : 7번 / 15분 / 카드 1,560원 하조대(하광정리) --> 양양터미널 : 아마도 7h20, 11h05, 14h05, 16h45, 19h15             시골시골한 양양터미널              1시간 10분이나 남았는데 터미널 근처에 갈 데도 없그 그래도 시내버스 띄엄띄엄 있는데 미리 와있는게 낫지 벤치에 앉아서 기다리는데, 자꾸 시간표에 없는 서울행 버스들이 들어온다 불안하게  겁나리 복잡한 <양양터미널> 서울행 시간표 └ 접기 오옷 짧아서 바로 갈 줄 알았는데 휴게소 들르네. 화장실 급했는데 다행 근데 비 도 오고 안개 도 잔뜩인데 기사님 차선 엄청 왔다리갔다리 12h40 양양 터미널 --13h40 가평휴게소 14h--> 14h30 동서울 터미널: 1h50 / 14,500원 (사전예매 13,000원) / 동해고속']",http://blog.naver.com/PostView.nhn?blogId=jeanmi&logNo=221420250659&redirect=Dlog&widgetTypeCall=true&directAccess=false
2018-10-01,Stationary Traveller,"["" 강원도 여행시 가볼만한곳들을 알려드리는 중으로 오늘은 양양에 있는 일출 명소 하조대 입니다 워낙 유명한 곳이라 이름쯤은 다들 한번씩 들어보셨으리라 생각되네요 양양 하조대 하조대 강원도 양양군 현북면 하광정리 저장 관심 장소를 MY플레이스 에 저장할 수 있어요. 팝업 닫기 '내 장소' 폴더에 저장했습니다. MY플레이스 가기 팝업 닫기 전화 상세보기 <a onclick=return false; href=bSize style=display:none target=blank class=semaplink selink data-linktype=map data-linkdata={&quot;eventTarget&quot;:&quot;button&quot;,&quot;didSearch&quot;:&quot;true&quot;,&quot;searchEngine&quot;:&quot;NAVER&quot;,&quot;locationId&quot;:&quot;13491553&quot;,&quot;latitude&quot;:&quot;38.0213447&quot;,&quot;markerLatitude&quot;:&quot;38.0213447&quot;,&quot;markerLongitude&quot;:&quot;128.7353877&quot;,&quot;title&quot;:&quot;하조대&quot;,&quot;longitude&quot;:&quot;128.7353877&quot;}>지도보기</a> 먼저 하조대는 속초와 강릉 사이에 있는데 속초쪽에 더 치우쳐 있습니다 서울에서 가실경우 새로 뚫린 서울양양고속도로 를 이용하시게 될텐데 강릉은 가는길에 있고, 속초는 양양 IC 에서 가까운 거리에 있으니 가고자 하는 마음만 있으시면 접근성은 매우 좋은편 입니다 하조대 이모저모 관람시간 : 하절기 일출 30분전  20:00, 동절기 일출 30분전  17:00 휴무일 : 연중 무휴 입장료 : 무료 주차비 : 무료 주소 : 강원도 양양군 현북면 하광정리 양양 하조대 진입로 하조대는 메인 도로에 하조대 라는 커다란 안내판이 있고 그 길을 따라 진입하시게 됩니다 조금 들어오시면 사진속 공터가 나오는 공간이 보이실텐데 길가에 차들 주차되어 있는거 보이시죠 저는 안전하게 이곳에 주차를 한후 걸어들어갔고 도보로 100m도 안되는 거리에 주차장이 있습니다 그러니까 저렇게 도로변에 차들이 주차되어있으면 이쯤에 세우시고 걸어가셔도 됩니다 이 사진을 찍은 시간은 가을 단풍시즌이 시작된 10월 14일 평일 12시쯤 이었습니다 제 1 주차장 하조대를 가기전에 인터넷에서 서칭을 많이 했는데 주차에 대해 잘못된 정보가 공유 되고 있더라구요 위 사진에 보이는 주차장은 가장 먼저 보이는 주차장으로 20대 가량 주차가능하고 진입로 길가, 그리고 사진 옆 공간까지 합치면 40대는 주차할수 있습니다 여기서 끝이 아니고 좀더 들어가면 주차장이 하나 더 나옵니다 제 2 주차장 이곳도 약 15대 가량 주차가능해 보이고 사진 중앙 끝에 보이는 곳이 제 1 주차장 입니다 이날이 평일이긴 하나 단풍 시즌임을 감안하면 양양 하조대 오실때 주차 걱정은 크게 안하셔도 되십니다 다만, 주차 자리 찾기가 짜증나고 힘들수도 있으니 진입로에 자리가 있으면 그냥 그곳에 주차하시고 걸어오시는게 더 좋습니다 강원도 양양 가볼만한곳 을 검색해보니 하조대 밖에 땡기는곳이 없더라구요 그래서 이곳만 방문했고 주차도 했으니 이제 본격적으로 하조대 탐방을 시작해 보겠습니다 하조대에는 하조대 와 등대 볼거리가 2개 있습니다 조금 걸어들어오시면 어디 먼저 갈래 하고 물어보는데 하조대를 먼저 가보도록 하겠습니다 하조대는 이런 계단과 오르막을 조금 오르셔야 하는데 매우 짧은 거리이니 걱정 안하셔도 됩니다 예전에는 반공 교육을 많이해서 간첩신고 켐페인도 많이하고 했는데 요즘은 강원도에나 와야 볼수있습니다 최대 20억은 일반 간첩은 아니고 선박일듯 하네요 로또 1등보다 액수가 큼.. 소나무가 우거진 멋있는 길 5분도 안올라온거 같은데 하조대 가 나왔습니다 저길 올라가면 어떤 모습이 펼쳐질지 짧은 시간이지만 살짝 기대되더라구요 하조대는 1955년에 건립된 육각정으로 명승 제68호 이기도 합니다 오 소나무 가지 사이로 보이는 동해와 바다위를 가르는 배 한척 그림이 좋습니다 자연이 주는 아름다운 뷰는 언제봐도 안질리고 좋더라구요 애국가에 나오는 소나무 TV 시작하고 끝날때 동해물과 백두산이 마르고 닳도록 하면서 일출 광경 나올때 보이는 소나무가 바로 저 소나무 입니다 하조대가 낙산사 의상대와 함께 일출 명소 라 이곳에서 촬영한듯요 참고로 저 소나무는 높이 9m의 수령 약 200년으로 양양군 보호수로 지정되어 있습니다 멀리 보이는 등대 나중에 보시겠지만 등대도 하조대 못지않게 볼만합니다 하조대 하나만 있었으면 안왔을거 같은데 등대가 받쳐줘서 오게 된것이니 저를 하조대로 인도한것이 등대라고 할수 있습니다 옆에서 본 하조대 하조대라는 이름은 조선 개국공신인 하륜과 조준 이 고려말 이곳에서 은신하였다 하여 두 사람의 이름 첫자를 따 하조대라 하였다 합니다 현재 대는 정자를 의미하는 단어로 쓰이지만 그 당시에는 사방을 볼수있는 높은 곳 이라는 의미로 씌여 이곳이 경치가 좋은 곳이었음을 알수 있습니다 보는 눈은 있어가지고.. 소나무 클로즈 업 하조대는 볼게 소나무 한그루와 주변 경치가 끝 이라 기암괴석 위에서 홀로 외롭게 자리를 지키고 있는 소나무 한번 더 보고 등대쪽으로 발길을 돌립니다 하조대로 온길을 거슬러 등대로 가는 중 사진은 안찍었는데 하조대와 등대 중간 지점 그러니까 저 사진 오른쪽에 카페 식당이 하나 있습니다 허가가 안날것같은 자리처럼 보였는데 불법은 아닌지 모르겠네요 하여간 주변 풍광과 좀 언밸런스한 측면이 있습니다 느린 우체통 느린 우체통은 강원도 유명 해변및 관광지에서 흔하게 볼수있는 것으로 6개월 또는 1년뒤에 배달되는 편지 입니다 다른곳들이 우체통 모양인것에 반해 하조대 느린 우체통은 중국 지도 모양이라 신기해서 찍어 봤습니다 해안 초소 등대 가는길 등대 가는길에 잠시 길을 멈추고 세상에서 젤루 예쁜 울 달링이 보고있는 것은 이런 풍경 입니다 하조대및 등대 주변은 기암괴석과 소나무가 많기때문에 안이쁠래야 안이쁘기가 힘듭니다 등대로 향하는 계단 하조대 등대 올라가는 길도 하조대 가는길 만큼이나 수월하니 힘들거라는 생각은 안하셔도 되십니다 등대 드디어 등대가 보이기 시작했는데 저 길과 등대 예쁘지 않나요 등대 + 하조대 가 되어야 비로서 완성됩니다 등대 길에서 바라본 동해 이 정도면 하조대와 묶어서 와볼만 하잖아요 강릉,속초 가는길이니 접근성도 좋고.. 등대 사진 잘나오는건 알아가지고 셀카 삼매경에 빠진 커플 입니다 저 커플 온갖 장소에서, 온갖 자세로 사진 찍더라구요 니들이 살기좋은 세상을 어른들이 만들어줘야 할텐데 노력해 보마 새하얀 등대 등대 주변 기암괴석들 다들 사진 찍고 있는거 보이시죠 소나무, 등대 그리고 파란 하늘 돌아가는 길 강원도 양양 가볼만한곳 하조대 관광을 마치고 차를 타고 돌아가는데 해변 벤치에 커플이 앉아있고 뷰가 멋질거 같아서 차를 세웠습니다 ' 메인 도로에서 하조대로 들어오면 보이는 해변임 ' 하조대 해수욕장은 아닌데 한적하니 보기 좋더라구요 철책선이 쳐져있어 해변으로 내려갈수 있는지는 살짝 의문입니다 힌클랑의 한마디 강원도 양양 하조대 는 일출 명소로 유명한 곳으로 꼭 일출이 아니더라도 인근 등대와 함께 꽤 괜찮은 뷰를 선사합니다 강릉 또는 속초여행시 접근성이 좋으니 시간이 조금 나신다면 방문하셔도 후회는 않으실겁니다 주차 걱정은 이제 그만 Published by 자유여행 길라잡이 힌클랑""]",http://blog.naver.com/PostView.nhn?blogId=kayak71&logNo=221381973101&redirect=Dlog&widgetTypeCall=true&directAccess=false
2019-07-01,강북녀의 TIP,"[' 양양팔경과 함께 한 강원도 양양으로 여름휴가 강원도 바닷가를 배경으로 자리한 도시 지명들을 떠올려 본다. 강릉, 속초, 동해, 삼척, 고성... 쉽게 떠오르는 강원도 바닷가에 지명 중 양양은 강북녀에게 좀 낯선 곳이다.  강원도 양양, 보다 유명한 속초와 강릉 사이쯤이라고 하면 좋을까 참고로 강릉과 속초는 시인데, 양양은 지역 단위가 군이다. 강릉보다는 조금 더 속초에 치우쳐 있는 송이의 고장 양양 그래도 올초 하조대에 우연히 들려 그 풍경에 반하고는 마음속에 하.조.대 라는 이름 석자를 갈피해 두었더랬다. 올 여름 그 하조대가 있는 양양에서 여름 휴가를 지냈다.  서울에서 양양까지는 서울양양간 고속도로가 있어서 가평휴게소에 살짝 들렸던 것을 빼고는 거의 두시간이 조금 넘는 정도로 목적지에 쉽게 도착할 수 있었다. 서울 양양간 고속도로는 기점인 서울 강동구와 종점인 강원도 양양을 동서로 잇는 고속도로로 춘천고속도로라는 이름으로 더욱 유명하고, 최근 벌써 개통 10년이 되었다고 한다. 산이 많은 강원도로 향하는 길이어서인지 터널이 진짜 많다. (터널, 터널... 또 터널 도대체 몇 개를 통과한건지) 서울에서 양양을 출발하는 날 마침 찾아온 태풍이 끝나가는 때라 약간 날씨에 대한 걱정이 있었는데, 가는길 비가 주적주적 내리더니 양양에 도착하니 그림같은 하늘을 펼치더니 금세 눈이 부실만큼 화창하게 날이 개었다. (신이시여 감사합니다)  최근 양양은 동해에서도 가장 높은 파고로 파도 타기 좋은 서핑의 성지로 불린다. 그래서 해수욕장마다 서핑 타는 이국적인 모습을 심심치 않게 볼 수 있고,  강습도 손쉽게 받을 수 있을 정도로 점점 보편적인 즐길거리가 되고 있다. 양양여행으로 먼저 양양팔경을 참고하기로 했다. 새삼 양양팔경을 참고해야 겠다고 마음먹은 것은 휴게소 종합안내소에 비치된 양양지도가 한 몫했는데, 그 지도가 양양팔경을 기준으로 소개되어 있었다.  양양팔경은 연어떼가 회귀하는 장관이 펼쳐진다는 남대천을 시작으로 대청봉, 한계령, 오색주전골, 하조대, 죽도정, 남애항, 낙산사와 의상대로 8곳이다. 이번 여행으로 이미 산행으로 경험한 바 있는 대청봉과 한계령, 오색주전골은 패스하고, 낙산사와 의상대도 가본 경험이 있던 터라 거리상 연계하기 좋은 1경 남대천, 5경 하조대, 6경 죽도정, 7경 남애항을 주욱 돌아보았다.  하조대해수욕장 최고로 가까이 자리한 숙소에서 머문 덕분에 아침 잠 많기로 유명한 강북녀도 아침 일출을 보는 영광을 누렸다. 또 시원한 바닷가와 송림이 우거진 산책로가 기대 이상이었던 양양팔경 중 6경 죽도정은 의외의 발견이 되어 주었다.  영화 <고래사냥>의 배경이기도 했고, 강릉의 심곡항과 삼척의 초곡항과 함께 강원도 3대 미항으로 손꼽힌다는 남애항은 기대보다 오히려 그냥 그랬다. 강원도의 베네치아로 불리우기도 한다는데 지역분들도 인정할 만큼 옛날이야기인듯 아주 스산할 정도로 인적도 드물고 스산해 보였다. 남애항에서 볼거리 일순위를 꼽으라면 강북녀는 바다에서 바라다 보이는 섬 위에 일부러 심은 듯 독야청청하는 소나무 한그루가 꽤 인상적이었다.  양양에 머무는 2박 3일 여름 휴가 내내 파도소리를 자장가 삼으며 잠이 드는 낭만적인 밤을 보냈다. 강원도를 향해 상대적으로 조용한 휴가를 보내고 싶다면 강릉 말고, 속초 말고 양양도 참고해 볼만 하다. 볼거리로 양양팔경은 필수다. 양양 하조대 강원 양양군 현북면 하광정리 양양팔경 하조대 여행후기 참고  https://blog.naver.com/babe311/221443594210']",http://blog.naver.com/PostView.nhn?blogId=babe311&logNo=221595267124&redirect=Dlog&widgetTypeCall=true&directAccess=false
2018-01-01,한재영교수의 완전한...,[' http://sato721.blog.me/130159824175 하조대 하조대 하조대는 정자 이름입니다. 읽어보니 하륜과 조준이 이곳에 잠시 은거하여 두 사람의 성을 따서  하조대라 칭하게 되었다네요. 200년 된 소나무입니다. 이날 동해바다 파도가 정말 예술이였습니다. 하조대 다음 코스 하얀등대로 이동 정말 아름다운곳에 있는 등대 카페입니다. 날이라도 추웠으면 잠시 몸이라도 녹이러 들어갔을텐데 날씨 또한 너무  포근한 날씨였구요. 하얀등대 가는길에 바라본 하조대쪽 모습 하조대 하얀등대입니다. 정말 상쾌했던 하조대에요. 파도도 정말 너무 멋지고요. 하얀등대에서 하조대쪽 한컷 하얀등대 구경을 마치고 다시 오던길로 내려갑니다. [출처] 우리나라 강원도 양양名所  하조대(위치:양양군 현북면 하광정리) | 작성자 영원속으로'],http://blog.naver.com/PostView.nhn?blogId=hanjy9713&logNo=221189466248&redirect=Dlog&widgetTypeCall=true&directAccess=false
2017-07-01,화원농협 이맑은김치,[' 강원 양양 하조대해수욕장 강원 양양군 현북면 하광정리'],http://blog.naver.com/PostView.nhn?blogId=hara1234567&logNo=221047358138&redirect=Dlog&widgetTypeCall=true&directAccess=false
2017-01-01,보물지도의 경매이야...,"[' 강원도 양양군 현북면 하광정리 숙박시설 경매 대지외 998.55평, 건물 630평, 단층 1동, 지하1층/지상3층 1동외  숙박시설 등 주위는 숙박시설, 근린시설 , 임야 등 소재 인수여지있는 임차인 있음. 농지취득자격증명. 강원도 양양군 현북면 하광정리 숙박시설 경매 부동산경매 스토리옥션 고승현 010-2561-5608 사건번호 : 2016 타경 1200 매각일 02 월 27 일 최저가 1,433,482,000 원   낙찰 1,485,789,000원  73% 감정가 2,047,830,860 원 강원도 양양군 현북면 하광정리 숙박시설 경매 강원도 양양군 현북면 하광정리 숙박시설 경매  1']",http://blog.naver.com/PostView.nhn?blogId=bomul_jido&logNo=220900899369&redirect=Dlog&widgetTypeCall=true&directAccess=false
2017-02-01,윤팀장이 낙찰 받아드립니다...,"[' 사건번호 2016 타경 1200 강원도 양양군 현북면 하광정리에 위치한 숙박시설을 소개합니다. 감정가 2,047,830,860원에서 1회 유찰되어 경매최저가 1,433,482,000원 에 춘천지방법원 속초지원에서 2월 27일 진행되는 법원경매 숙박시설 입니다. 양양군 현북면 숙박시설 [토지 998.55평 / 건물 630.43평 ] 감정가 20억4783만860원 ▶▷ 최저가 14억3348만2000원 물건상담 원하시거나 법원 경매대행 관련하여 궁금하신 점 문의주시면 친철하고 꼼꼼히 상담해드리겠습니다. 부동산경매경험이 풍부한 회사, 전문가와 함께 안전한 컨설팅 진행하시기 바랍니다.']",http://blog.naver.com/PostView.nhn?blogId=bum8774&logNo=220926440493&redirect=Dlog&widgetTypeCall=true&directAccess=false
2015-11-01,강릉양우부동산(033...,"[' 모텔 대지 283.4평 건평 91평 현 성업중인 모텔 바다 가까우며 2층부턴 바다 전망, 도로변 옆 모텔']",http://blog.naver.com/PostView.nhn?blogId=knyangwoo&logNo=220531949979&redirect=Dlog&widgetTypeCall=true&directAccess=false
