,word,counted
0,낙산,661
1,바다,499
2,낙산해수욕장,387
3,여행,386
4,속초,344
5,사람,329
6,낙산사,314
7,해변,285
8,비치,249
9,강현면,248
10,!!,241
11,예약,227
12,해수욕장,209
13,아침,189
14,느낌,186
15,날씨,185
16,호텔,179
17,모습,174
18,맛집,174
19,저녁,172
20,동해,171
21,가족,171
22,시작,169
23,숙소,167
24,가격,164
25,기분,164
26,처음,159
27,여름,158
28,구경,156
29,자리,155
30,마음,153
31,파도,153
32,근처,150
33,바람,149
34,게스트,148
35,준비,148
36,다음,147
37,하우스,146
38,요즘,145
39,주차장,144
40,보니,144
41,!!!,144
42,추천,141
43,거리,139
44,바닷가,138
45,분위기,134
46,식당,131
47,횟집,131
48,일출,129
49,화장실,128
50,마지막,128
51,제가,128
52,카페,127
53,친구,126
54,맞이,126
55,커피,124
56,행복,120
57,음식,120
58,겨울,119
59,.com,118
60,방문,118
61,전화,117
62,소개,116
63,파티,115
64,이용,115
65,주변,115
66,최고,112
67,주말,112
68,장소,110
69,식사,110
70,안녕하세요,109
71,스팅,108
72,사실,108
73,한잔,106
74,만원,105
75,그런지,104
76,출발,104
77,입구,103
78,하루,101
79,시설,101
80,만족,101
81,서울,100
82,가지,99
83,풍경,98
84,조식,98
85,이랑,98
86,하늘,95
87,다음날,93
88,주차,93
89,편의점,93
90,제일,93
91,사장,90
92,기억,90
93,힐링,88
94,보기,87
95,추억,87
96,산책,85
97,기본,85
98,지도,85
99,소리,85
100,로비,84
101,기대,83
102,선택,83
103,강릉,83
104,참고,83
105,완전,82
106,사용,82
107,휴가,81
108,아래,81
109,공간,80
110,감사,80
111,숙박,80
112,마무리,80
113,서비스,79
114,옥상,79
115,동안,77
116,오랜만,77
117,아이들,77
118,손님,76
119,모래,76
120,계획,76
121,필요,75
122,사랑,75
123,대게,75
124,오징어,74
125,아이,74
126,코스,74
127,침대,74
128,얼마,74
129,지금,74
130,이야기,74
131,국물,73
132,무료,73
133,중간,73
134,여유,73
135,고민,73
136,게스트하우스,72
137,걱정,72
138,고기,72
139,지하,72
140,건물,72
141,테이블,71
142,후기,71
143,설악산,71
144,점심,70
