,word,counted
0,바다,499
1,속초,465
2,해변,428
3,물치항,347
4,강현면,321
5,여행,318
6,동해,284
7,하나,251
8,해수욕장,237
9,비치,207
10,날씨,198
11,파도,189
12,전화,188
13,구경,187
14,가족,184
15,주말,183
16,가능,180
17,서울,179
18,추천,170
19,근처,165
20,유명,165
21,모습,162
22,준비,157
23,거리,153
24,주차장,151
25,이용,151
26,지도,150
27,장소,146
28,설악산,146
29,맛집,145
30,가격,144
31,아이,142
32,자리,142
33,마켓,141
34,처음,141
35,등대,141
36,설악,140
37,서핑,138
38,저희,133
39,여름,133
40,느낌,130
41,대포항,129
42,풍경,127
43,센터,127
44,얼마,126
45,사장,123
46,어디,121
47,동안,120
48,소개,120
49,주변,119
50,상세,118
51,지역,118
52,오후,118
53,관심,117
54,오픈,113
55,마음,112
56,커피,111
57,안녕,109
58,주차,107
59,일요일,106
60,하늘,106
61,시장,105
62,고기,104
63,낙산사,104
64,강원,104
65,낙산,103
66,송이,102
67,출발,102
68,운영,101
69,사용,100
70,포스팅,100
71,방문,97
72,기분,97
73,카페,97
74,숙소,97
75,친구,96
76,마을,96
77,강릉,96
78,겨울,95
79,도로,95
80,요즘,94
81,감사,94
82,이동,94
83,입구,93
84,판매,93
85,예약,93
86,공간,92
87,토요일,92
88,바닷가,92
89,바람,91
90,음식,90
91,아빠,90
92,동해안,89
93,하루,89
94,최고,86
95,아파트,86
96,소리,86
97,펜션,84
98,자연,84
99,점심,84
100,국물,84
101,다양,84
102,리조트,84
103,시설,84
104,식당,83
105,개인,83
106,이름,82
107,산책,82
108,마지막,81
109,가지,80
110,체험,80
111,생활,80
112,사이,79
113,정암,79
114,모래,78
115,예정,77
116,내부,77
117,축제,77
118,리버,75
119,선택,75
120,새벽,75
121,낚시,74
122,물치리,74
123,정보,74
124,오랜만,74
125,정암리,73
126,참고,73
127,코스,73
128,예전,72
129,개통,72
130,여유,72
131,하조대,72
132,구입,72
133,마리,71
134,일출,71
135,하우스,71
136,행복,71
137,규모,70
138,인기,70
139,플레이스,70
140,이제,70
141,걱정,70
142,아래,69
143,특별,69
144,저장,69
145,분위기,68
146,걸로,68
147,공원,68
148,항구,68
149,중간,67
150,인증,67
151,기대,67
152,해결,67
153,계획,67
154,포장,67
155,활어,66
156,안전,66
157,진행,66
158,먹거리,65
159,반찬,65
160,팝업,64
161,오전,64
162,방향,64
163,폴더,64
164,죽도,64
165,사랑,64
166,덕분,64
167,기억,63
168,매운탕,63
169,횟집,63
170,식사,63
171,다리,62
172,추억,62
173,관광객,62
174,기본,62
175,정리,62
176,동네,62
177,확인,61
178,서프,61
179,테이블,61
180,도루묵,61
181,일반,61
182,작년,60
183,호텔,60
184,필요,59
185,대박,59
186,진항,59
187,발견,59
188,무엇,58
189,완전,58
190,한잔,58
191,무료,58
192,일정,58
193,튀김,58
194,고성,58
195,인구,57
196,이야기,57
197,물치천,57
198,화장실,57
199,수산,57
200,가을,57
201,휴가,57
202,그때,56
203,고속도로,56
204,곳곳,56
205,엄마,56
206,인근,56
207,둘째,56
208,구이,55
209,경우,55
210,김치,55
211,운동,55
212,친절,55
213,강선,55
214,터미널,54
215,상태,54
216,만큼,54
217,지금,54
218,종류,54
219,방파제,54
220,의자,54
221,말씀,53
222,추가,53
223,볼거리,53
224,선물,53
225,맞은편,53
226,스타,53
227,국도,53
228,대표,53
229,맥주,52
230,그곳,52
231,냄새,52
232,갈매기,52
233,회도,52
234,지구,52
235,관광,51
236,검색,51
237,방법,51
238,이유,51
239,기간,51
240,마련,50
241,요기,50
242,부분,50
243,센타,50
244,이웃,49
245,주문진,49
246,설치,49
247,그것,49
248,뭔가,49
249,건물,49
250,생선,49
251,마트,48
252,나무,48
253,오색,47
254,모양,47
255,버스,47
256,바닥,47
257,만족,47
258,칼국수,47
259,빵집,47
260,신랑,47
261,시즌,46
262,조금,46
263,서비스,46
264,우린,46
265,입맛,46
266,경치,46
267,부모,45
268,자기,45
269,고민,45
270,대부분,45
271,후기,45
272,촬영,45
273,세트,45
274,국내,45
275,안내,45
276,주요,45
277,명소,45
278,해변가,45
279,이거,45
280,지난번,44
281,가게,44
282,재미,44
283,보통,44
284,캠핑,44
285,제공,44
286,면적,44
287,이게,44
288,해맞이,44
289,보드,43
290,부부,43
291,휴게소,43
292,혼자,43
293,공사,43
294,당일,43
295,그릇,43
296,주택,43
297,공기,43
298,힐링,42
299,강습,42
300,강추,42
301,계곡,42
302,핸드,41
303,차량,41
304,미린,41
305,포인트,41
306,택배,41
307,도시,41
308,타임,41
309,편리,41
310,별도,41
311,관광지,41
312,매력,41
313,초보,40
314,분양,40
315,오징어,40
316,세대,40
317,지상,40
318,구매,40
319,녀석,40
320,안쪽,40
321,행사,40
322,무리,40
323,나중,40
324,이건,39
325,지하,39
326,놀이,39
327,나름,39
328,전용,39
329,구름,39
330,소식,39
331,전날,38
332,샤워,38
333,속초시,38
334,서퍼,38
335,취향,38
336,수산항,38
337,마무리,38
338,문호리,38
339,본격,38
340,설명,38
341,조개,38
342,편의,38
343,중앙,38
344,이것,38
345,연인,37
346,득템,37
347,편안,37
348,대여,37
349,다행,37
350,전국,37
351,전망,37
352,참여,36
353,물고기,36
354,순간,36
355,연락,36
356,성비,36
357,막국수,36
358,국수,36
359,여름휴가,36
360,투어,36
361,사무소,36
362,바닷바람,36
363,환경,36
364,번국,36
365,남애항,35
366,기회,35
367,여자,35
368,조림,35
369,조성,35
370,남자,35
371,운전,35
372,언제,35
373,동시,35
374,머리,35
375,이것저것,35
376,현장,35
377,뒤쪽,35
378,홍천,35
379,학교,35
380,교육,35
381,주소,35
382,영업,35
383,블로그,35
384,연결,35
385,피곤,35
386,주민,35
387,네이버,35
388,단위,34
389,평창,34
390,중요,34
391,셀러,34
392,목적지,34
393,번호,34
394,강현,34
395,구리,34
396,골목,34
397,쇼핑,34
398,이후,34
399,메뉴판,34
400,건강,34
401,물회,34
402,지난주,34
403,나라,34
404,드립,33
405,청소,33
406,고고,33
407,춘천,33
408,부동산,33
409,이불,33
410,조망,33
411,반대편,33
412,인생,33
413,접근,33
414,숙박,33
415,간식,33
416,물놀이,33
417,입주,33
418,원통,33
419,왼쪽,33
420,손님,33
421,아들,33
422,디저트,33
423,크기,33
424,거기,33
425,기름,33
426,오른쪽,33
427,전망대,32
428,양평,32
429,오션,32
430,이사,32
431,양양읍,32
432,가자미,32
433,요건,32
434,베이커리,32
435,문화,32
436,저기,32
437,시기,32
438,동명항,32
439,게스트,32
440,단골,32
441,잠시,31
442,비교,31
443,배경,31
444,사항,31
445,디오,31
446,그건,31
447,평상,31
448,얼굴,31
449,바다낚시,31
450,배낚시,31
451,남편,31
452,마감,31
453,수평선,30
454,복귀,30
455,부족,30
456,외옹,30
457,역시,30
458,각자,30
459,자전거,30
460,대청봉,30
461,손질,30
462,시외버스,30
463,요금,30
464,구간,30
465,경험,30
466,소주,30
467,휴식,30
468,요리,30
469,포함,30
470,남애,30
471,가슴,30
472,관리,30
473,음료,30
474,등등,29
475,교통,29
476,독립,29
477,클릭,29
478,고속도,29
479,영상,29
480,버섯,29
481,제품,29
482,불편,29
483,여긴,29
484,자랑,29
485,공연,29
486,소요,29
487,이때,29
488,일상,29
489,대신,29
490,무한,29
491,구성,29
492,오산,29
493,갈만,29
494,월요일,29
495,텐트,29
496,강아지,28
497,인접,28
498,누구,28
499,할인,28
500,장점,28
501,허니,28
502,구경거리,28
503,폭죽,28
504,단체,28
505,기념,28
506,바닷물,28
507,새우,28
508,라면,28
509,한참,28
510,이리,28
511,탐색,28
512,한국,28
513,고양이,28
514,건너편,28
515,외옹치항,28
516,물건,28
517,모듬,28
518,야채,27
519,설악항,27
520,전경,27
521,생신,27
522,산책로,27
523,모닝,27
524,일품,27
525,감상,27
526,단지,27
527,함스,27
528,문제,27
529,어종,27
530,휴휴,27
531,바닷길,27
532,개장,27
533,양념,27
534,시야,27
535,주인장,27
536,구조,27
537,회사,27
538,여행지,27
539,블루베리,27
540,닭강정,27
541,물놀,27
542,여러분,27
543,수건,27
544,깍두기,27
545,차안,27
546,백사장,27
547,문의,27
548,대세,27
549,해안선,27
550,건지,27
551,수산물,26
552,형식,26
553,전진,26
554,모델,26
555,낙산항,26
556,아점,26
557,지인,26
558,시스템,26
559,주방,26
560,레몬,26
561,장사항,26
562,아바타,26
563,양양가,26
564,지방,26
565,상대,26
566,밑반찬,26
567,귀촌,26
568,해산물,26
569,고추,26
570,수제,26
571,전체,26
572,어린이,26
573,원두,26
574,보금자리,26
