,word,counted
0,하나,403
1,바다,343
2,마음,339
3,모습,310
4,이후,308
5,가능,307
6,처음,302
7,이름,290
8,서울,288
9,동안,284
10,나라,284
11,아래,273
12,준비,273
13,사이,270
14,자리,265
15,출발,259
16,지역,252
17,이야기,249
18,거리,243
19,마지막,238
20,동해,236
21,시대,234
22,유명,234
23,하루,232
24,필요,231
25,이용,230
26,역사,224
27,여행,221
28,바람,221
29,상태,216
30,최고,216
31,가지,215
32,속초,210
33,그것,210
34,한국,209
35,당시,209
36,강릉,205
37,이것,205
38,계획,204
39,이동,203
40,중국,201
41,여름,198
42,지도,196
43,주변,196
44,친구,195
45,자신,194
46,진행,192
47,부분,190
48,결정,189
49,날씨,189
50,하늘,188
51,상황,186
52,소리,185
53,아이,184
54,중요,184
55,설치,184
56,세상,183
57,마을,183
58,대표,183
59,중간,181
60,기록,180
61,장소,179
62,경우,179
63,지방,178
64,무엇,177
65,중심,176
66,가운데,174
67,나무,173
68,누구,172
69,느낌,172
70,어디,172
71,도움,171
72,사실,171
73,결과,170
74,지금,170
75,전쟁,169
76,성공,169
77,입구,166
78,발생,166
79,내부,166
80,관리,166
81,가족,165
82,사용,165
83,문제,164
84,방문,162
85,과정,162
86,시설,162
87,계속,161
88,걱정,161
89,방향,161
90,이때,161
91,자연,160
92,근처,160
93,마련,159
94,모두,159
95,동쪽,159
96,전국,158
97,공격,158
98,아들,156
99,겨울,156
100,노력,155
101,이유,154
102,중앙,152
103,개인,152
104,의미,151
105,코스,150
106,남쪽,150
107,세계,150
108,차례,149
109,확인,149
110,관계,149
111,얼굴,148
112,모양,148
113,정리,146
114,계곡,146
115,가을,146
116,대전,145
117,규모,145
118,고민,145
119,부족,144
120,시기,143
121,주요,143
122,동시,143
123,결국,143
124,대신,141
125,소개,140
126,그때,140
127,식사,140
128,황제,139
129,생활,139
130,이전,139
131,자기,138
132,설명,138
133,내용,137
134,도로,137
135,전체,136
136,연결,136
137,바위,136
138,방법,136
139,머리,135
140,전화,135
141,통일,135
142,참고,135
143,새벽,135
144,정상,135
145,서쪽,134
146,상대,134
147,불교,133
148,북쪽,133
149,전투,132
150,시절,132
151,거기,132
152,기지,131
153,사회,131
154,수도,131
155,교육,131
156,만큼,130
157,나이,130
158,운동,130
159,기분,129
160,대부분,129
161,얼마,128
162,사랑,128
163,표현,128
164,유일,127
165,인도,127
166,안전,126
167,조정,126
168,군사,126
169,약속,126
170,대비,125
171,해변,125
172,부산,125
173,본격,124
174,기대,124
175,나중,124
176,기본,124
177,인물,124
178,다리,124
179,반대,123
180,학교,123
181,도시,123
182,국가,123
183,군대,123
184,승리,122
185,무리,122
186,일정,122
187,점심,122
188,장군,121
189,활동,121
190,정보,121
191,자유,121
192,고성,120
193,시장,120
194,파도,120
195,소식,120
196,여자,119
197,정신,119
198,순간,119
199,차지,119
200,예상,118
201,공원,118
202,문화,117
203,이해,117
204,풍경,117
205,기회,117
206,기간,117
207,유지,117
208,해결,116
209,단체,116
210,정책,116
211,연구,116
212,장수,115
213,도달,115
214,장안,115
215,평화,114
216,마무리,114
217,좌우,114
218,일반,113
219,지정,113
220,위험,112
221,지점,111
222,실패,111
223,주차장,111
224,한편,111
225,포함,111
226,발전,111
227,조선,111
228,영향,110
229,구경,110
230,추진,110
231,숙소,110
232,차이,109
233,경계,109
234,동생,109
235,관심,109
236,정치,108
237,고향,108
238,구성,108
239,동해안,108
240,해당,108
241,인근,107
242,안정,107
243,선택,107
244,인사,107
245,건강,106
246,주장,106
247,통과,106
248,참여,106
249,감사,106
250,혼자,106
251,개발,105
252,북방,105
253,출신,105
254,능력,105
255,남자,105
256,오른쪽,104
257,그곳,104
258,설악산,104
259,건물,104
260,무렵,104
261,고려,103
262,공간,103
263,강원,103
264,최초,103
265,북한,103
266,해수욕장,103
267,포위,103
268,이게,102
269,전망대,102
270,발견,102
271,세력,102
272,목표,101
273,양식,101
274,인기,101
275,사찰,101
276,사업,101
277,신라,101
278,요청,101
279,추천,101
280,변화,101
281,휴식,101
282,행복,101
283,가격,100
284,운영,100
285,체험,100
286,동진,100
287,보통,100
288,싸움,99
289,선정,99
290,인증,99
291,기념,99
292,경험,99
293,형주,99
294,저희,99
295,음식,99
296,평소,99
297,추억,99
298,조사,98
299,양주,98
300,조직,98
301,마찬가지,98
302,성격,98
303,연합,98
304,상징,98
305,오전,98
306,수행,98
307,구름,98
308,고개,98
309,최대,97
310,누가,97
311,뭔가,97
312,역할,97
313,기억,97
314,과거,96
315,환경,96
316,초기,96
317,지속,96
318,전문,96
319,조성,96
320,마리,96
321,민족,96
322,입장,95
323,차량,95
324,예약,95
325,대한민국,95
326,사고,94
327,와중,94
328,일대,94
329,걸음,94
330,부하,94
331,구간,94
332,가슴,94
333,개혁,94
334,등장,94
335,실시,94
336,부근,93
337,점령,93
338,활용,93
339,각지,93
340,예전,93
341,여유,93
342,촬영,93
343,말씀,92
344,전기,92
345,반란,92
346,안녕,92
347,감상,92
348,효과,92
349,목적,92
350,관광,92
351,출처,91
352,장비,91
353,기술,91
354,지원,91
355,의지,91
356,양평,90
357,일본,90
358,경기,90
359,치열,90
360,중원,90
361,압박,90
362,집중,90
363,전설,89
364,왼쪽,89
365,개선,89
366,함락,89
367,특별,89
368,대사,89
369,포기,88
370,개월,88
371,오후,88
372,천하,88
373,실수,88
374,판매,88
375,현실,88
376,조심,87
377,후회,87
378,대승,87
379,완성,87
380,설악,87
381,미래,86
382,식당,86
383,배치,86
384,우측,86
385,예정,86
386,독립,86
387,제도,86
388,표시,86
389,개국,86
390,시도,85
391,백성,85
392,변경,85
393,지도자,85
394,항복,85
395,위기,85
396,동서,85
397,정비,85
398,낙산사,85
399,전주,85
400,형태,85
401,분위기,85
402,둘째,84
403,아버지,84
404,정부,84
405,주인,84
406,태양,84
407,이제,84
408,병사,84
409,시행,84
410,출입,84
411,강남,84
412,터미널,84
413,지대,84
414,그녀,84
415,여성,84
416,행정,83
417,작업,83
418,혼란,83
419,자체,83
420,부여,83
421,허락,82
422,각종,82
423,인생,82
424,영화,82
425,창건,82
426,다섯,82
427,편안,82
428,모래,81
429,행동,81
430,그림,81
431,비교,81
432,사전,81
433,재미,81
434,부인,81
435,덕분,81
436,음악,81
437,인구,81
438,전망,81
439,눈앞,81
440,각자,80
441,금지,80
442,춘천,80
443,언제,80
444,건설,80
445,특이,80
446,좌측,80
447,부견,80
448,세월,80
449,전통,80
450,일화,80
451,사망,80
452,존재,80
453,곳곳,80
454,공사,80
455,설립,80
456,임명,79
457,반면,79
458,울산,79
459,기세,79
460,현장,79
461,국내,79
462,토벌,79
463,속도,79
464,공기,79
465,감동,79
466,제거,79
467,자료,78
468,삼국,78
469,주차,78
470,나머지,78
471,만족,78
472,제공,78
473,버스,78
474,인재,78
475,지구,78
476,센터,78
477,처형,77
478,하남,77
479,주말,77
480,얘기,77
481,실제,77
482,기자,77
483,집안,77
484,사내,77
485,시점,77
486,진격,76
487,경제,76
488,민간,76
489,수리,76
490,담당,76
491,조치,76
492,북부,76
493,조금,76
494,국도,76
495,홍천,76
496,특징,76
497,비치,76
498,안내,75
499,회사,75
500,언덕,75
501,피해,75
502,자원,75
503,기도,75
504,지경,75
505,용인,75
506,고기,75
507,의사,74
508,대나무,74
509,네이버,74
510,정벌,74
511,호텔,74
512,글자,74
513,발표,74
514,제외,74
515,화살,74
516,죽음,74
517,소장,74
518,수천,74
519,운전,74
520,일상,73
521,신하,73
522,이래,73
523,여러분,73
524,낙산,73
525,다양,73
526,강현면,73
527,나름,73
528,저기,73
529,부대,73
530,동네,73
531,조조,73
532,난이,73
533,성장,73
534,투항,73
535,회수,73
536,매력,73
537,명성,73
538,바닷가,73
539,평정,72
540,세기,72
541,고사,72
542,공주,72
543,그릇,72
544,휴게소,72
545,완전,72
546,국민,72
547,연못,72
548,기업,72
549,일부,72
550,사건,72
551,관광지,71
552,성인,71
553,의심,71
554,해안,71
555,권력,71
556,대형,71
557,후퇴,71
558,원주,71
559,구원,71
560,펜션,71
561,활약,71
562,선사,71
563,기원,71
564,번성,71
565,의견,71
566,평창,71
567,본인,71
568,옛날,70
569,물건,70
570,적극,70
571,미국,70
572,사상,70
573,접근,70
574,우회,70
575,형성,70
576,건립,70
577,진입,69
578,재능,69
579,종합,69
580,귀족,69
581,수원,69
582,표정,69
583,운명,69
584,추가,69
585,노래,69
586,구매,69
587,정사,69
588,경주,68
589,형세,68
590,어려움,68
591,포스팅,68
592,기존,68
593,구축,68
594,자사,68
595,행사,68
596,하동,68
597,전략,68
598,무시,68
599,후진,68
600,소요,68
601,인간,68
602,계절,68
603,남북,68
604,자세,68
605,명령,68
606,경치,68
607,대회,68
608,교사,68
609,지식,68
610,용맹,68
611,일행,67
612,배후,67
613,낙양,67
614,요즘,67
615,산행,67
616,무료,67
617,사례,67
618,커피,67
619,청주,67
620,주석,67
621,그대,67
622,대패,67
623,영상,67
624,사장,67
625,도중,67
626,삼척,67
627,기사,67
628,아무,67
629,흐름,66
630,서진,66
631,고생,66
632,양구,66
633,탄생,66
634,참조,66
635,대로,66
636,사자,66
637,보호,66
638,자랑,66
639,서부,66
640,공동,66
641,상주,66
642,다행,66
643,날짜,65
644,명칭,65
645,방송,65
646,결혼,65
647,서리,65
648,방식,65
649,보급,65
650,파견,65
651,수정,65
652,타임,65
653,한참,65
654,유교,65
655,장악,65
656,눈물,65
657,관중,65
658,자식,65
659,외교,65
660,구조,65
661,초반,65
662,장사,65
663,유리,65
664,카페,65
665,원수,65
666,가난,65
667,평가,64
668,무사,64
669,교화,64
670,대중,64
671,충성,64
672,주목,64
673,회복,64
674,화장실,64
675,일출,64
676,대학,64
677,사정,64
678,작전,64
679,제압,64
680,기운,64
681,고대,64
682,토요일,64
683,양쪽,64
684,단양,64
685,관우,64
686,훗날,64
687,미터,64
688,어머니,64
689,능선,64
690,조카,64
691,금액,63
692,한때,63
693,지리,63
694,힐링,63
695,사마,63
696,자동차,63
697,감정,63
698,참가,63
699,참석,63
700,부모,63
701,구역,63
702,겁니다,63
703,소나무,63
704,관광객,63
705,검색,63
706,한수,63
707,견제,63
708,안쪽,63
709,시험,63
710,재주,62
711,화상,62
712,요동,62
713,장강,62
714,수십,62
715,이하,62
716,종사,62
717,마디,62
718,강조,62
719,서방,62
720,경사,62
721,게임,62
722,고찰,62
723,통합,62
724,강화,62
725,편리,62
726,사냥,62
727,자손,62
728,부임,62
729,멸망,62
730,대응,62
731,기능,62
732,삼국지,62
733,후대,61
734,체계,61
735,결사,61
736,하북,61
737,바닥,61
738,한쪽,61
739,교류,61
740,즉위,61
741,대구,61
742,제작,61
743,회장,61
744,무상,61
745,여행지,61
746,점거,61
747,병력,61
748,호족,61
749,즐거움,61
750,올림픽,61
751,주위,61
752,유수,61
753,산책,61
754,교수,61
755,대답,61
756,신청,61
757,복원,60
758,계기,60
759,보물,60
760,보리,60
761,장남,60
762,인천,60
763,첫째,60
764,개척,60
765,계단,60
766,이걸,60
767,위원회,60
768,대장,60
769,공식,60
770,지형,60
771,소득,60
772,부처,60
773,퇴각,60
774,수장,60
775,대화,60
776,상상,60
777,부지런,60
778,명장,60
779,은거,60
780,표기,60
781,제시,59
782,승려,59
783,육성,59
