word,counted
바다,369
여행,322
낙산해수욕장,300
속초,236
해변,236
낙산사,235
강현면,196
비치,195
해수욕장,174
예약,156
날씨,151
느낌,149
호텔,146
숙소,143
처음,133
가격,132
자리,131
모습,130
추천,129
맛집,129
동해,128
여름,125
가족,124
근처,121
기분,120
분위기,117
준비,114
화장실,114
전화,113
주차장,113
구경,112
파도,111
요즘,111
보니,111
바람,110
카페,108
커피,107
바닷가,106
마지막,103
일출,102
마음,102
거리,101
맞이,100
횟집,98
이용,94
식당,94
파티,93
제가,92
친구,91
만족,91
보기,90
게스트,90
지도,89
주변,88
사실,88
최고,86
한잔,85
하우스,85
입구,84
행복,84
주말,83
장소,83
만원,83
방문,82
이랑,81
제일,81
음식,81
출발,81
스팅,79
조식,79
서울,78
풍경,78
가지,77
안녕하세요,76
다음날,76
로비,75
식사,75
겨울,74
그런지,74
참고,74
하루,73
기본,73
주차,73
편의점,73
추억,72
시설,72
소개,72
힐링,69
코스,67
기대,67
사장,67
휴가,67
산책,66
후기,66
오랜만,65
선택,64
지하,64
하늘,64
고민,64
소리,64
테이블,63
완전,63
게스트하우스,63
침대,62
사용,61
기억,61
내부,60
혼자,60
공간,60
이름,59
계획,59
고기,59
체크인,59
얼마,58
아이들,58
여유,57
이야기,57
아래,57
아이,57
마무리,57
오후,57
손님,57
옥상,56
오징어,56
건물,56
모래,56
원래,56
점심,55
나름,55
조금,54
반찬,54
친절,54
구이,54
운영,54
대게,54
서비스,54
.com,54
강릉,54
필요,54
종류,53
이건,53
사랑,53
숙박,53
관심,53
해수,53
무료,52
지금,52
국물,51
매운탕,51
걱정,51
객실,50
감사,49
여름휴가,49
설악산,49
물놀이,49
맥주,49
나무,48
중간,48
동안,48
예전,48
이동,47
생선,47
마리,46
샤워,46
안내,46
사우나,46
이유,46
고고,46
사이,45
동해안,45
소주,45
새우,45
청리,45
개인,45
만큼,44
진리,43
엄마,43
전날,42
추가,42
전체,42
욕조,42
라면,42
바닥,42
마운틴뷰,42
소나무,41
크기,41
여자,41
검색,41
등대,41
냉장고,41
오픈,40
대표,40
안보,40
제공,40
서핑,40
남자,40
감상,39
휴게,39
저장,39
덕분,39
게임,39
해주시,39
폴더,39
모델링,39
한곳,39
좋아서,39
입맛,38
전망,38
세트,38
이서,38
남편,38
관광,38
밑반찬,37
평일,37
체크아웃,37
발견,37
테라스,37
자체,37
직원,37
조대,37
차로,37
고속도로,36
리조트,36
공기,36
모래사장,36
와인,36
분이,36
오전,36
상태,36
낚시,36
마을,36
확인,36
새벽,35
지역,35
성수기,35
의상대,35
단체,35
백사장,35
10분,34
해서,34
등등,34
커플,34
구름,34
블로그,34
양양읍,34
버스,34
부분,33
욕실,33
인지,33
요기,33
인기,33
불편,33
요리,33
판매,33
닭강정,32
할인,32
성비,32
실내,32
경치,32
시장,32
음료,32
도로,32
컨디션,32
조명,32
포기,32
가슴,32
정리,31
수건,31
일정,31
어메니티,31
편의,31
놀이,31
한참,31
예정,31
안쪽,31
인테리어,31
모듬,31
입장료,31
등장,31
결정,31
그네,31
이제,31
일반,30
칫솔,30
포트,30
강원,30
인증,30
캠핑,30
오빠,30
편안,30
설치,30
튀김,30
피곤,29
해수욕,29
토요일,29
입장,29
관광객,29
언니,29
관음,29
전국,29
부부,29
센터,29
자연,29
-1,29
복도,29
나중,29
인원,29
광어,29
와서,29
더블,29
샴푸,29
한번,29
바닷물,28
해산물,28
기가,28
주소,28
포함,28
명소,28
국내,28
진행,28
소원,28
첫날,28
모두,28
해장,28
천원,28
가게,28
인근,28
삼겹살,28
여행지,28
아빠,28
투어,28
그릇,27
곳도,27
자랑,27
커튼,27
메인,27
대부분,27
니다,27
말씀,27
조개,27
레스토랑,27
감동,27
침구,27
푸른,27
그때,27
센스,27
규모,27
배정,27
연락,27
노래,26
멍게,26
나이,26
그림,26
운전,26
김치,26
남대천,26
햇빛,26
드라이,26
문의,26
촬영,26
창문,26
다리,25
장점,25
순간,25
안전,25
재미,25
외관,25
옛날,25
야외,25
순대,25
얼굴,25
이때,25
새해,25
설명,25
텐트,25
이다,25
제한,25
얘기,25
