word,counted
해변,402
바다,401
서핑,343
파도,248
현남면,247
해수욕장,243
죽도,242
비치,241
여행,204
여름,171
날씨,167
강습,160
처음,159
게스트하우스,155
큰길,155
느낌,148
보드,148
카페,144
추천,143
동해,142
주말,139
가족,139
모습,138
요즘,137
예약,137
장소,135
거리,134
전화,132
사실,128
분위기,128
여유,128
바닷가,125
인구,123
자리,123
.com,122
이용,121
준비,120
친구,115
보니,114
최고,113
풍경,113
구경,111
마음,107
바람,106
커피,104
동산리,103
안녕하세요,102
소리,101
음식,101
프리,101
맥주,99
고기,99
맛집,98
속초,97
힐링,97
관심,96
출발,95
강사,94
리조트,93
운영,92
진행,92
공간,92
하루,91
사장,91
기분,91
지도,91
가격,91
안전,89
한잔,88
방문,86
객실,86
테이블,86
하늘,85
강릉,85
캠핑,84
아래,83
근처,82
모래,81
사용,81
이름,81
동안,80
필요,80
제가,79
주변,79
걱정,79
서울,78
스팅,77
저장,77
폴더,76
입구,75
아이들,75
화장실,75
타임,74
건물,73
이랑,73
파티,73
개인,73
시설,72
지금,72
이동,72
설명,72
식사,71
원래,71
샤워,71
제일,71
전문,71
오후,70
연습,70
오전,70
휴가,70
만원,69
사이,69
소개,69
식당,68
친절,68
보기,68
숙소,68
그런지,68
완전,68
기대,68
마을,67
점심,66
내부,66
토르,66
조대,65
손님,65
조금,65
행복,65
혼자,63
동산항,63
물놀이,62
파마,62
배우,62
마지막,62
프라이,61
참고,61
주차장,60
이제,60
인기,60
새벽,59
성수기,59
오프,58
지역,58
재미,58
오랜만,58
음료,58
자세,58
방법,58
성공,58
숙박,58
일출,57
자유,57
추억,57
계획,57
텐트,57
나무,57
주차,57
테이크,57
오픈,57
작년,56
감사,56
그림,55
다음날,55
해주시,55
이야기,55
가지,54
중간,54
토리,54
네이버,54
코스,53
기본,53
도미,53
여자,52
아이,52
만큼,52
수심,52
이유,52
덕분,51
위험,51
인테리어,51
초보,51
선택,50
강원,50
설치,50
체험,50
판매,50
매력,50
동해안,50
실내,50
단체,50
독점,50
안내,50
하기,49
여름휴가,49
휴게,49
검색,49
동네,48
장비,48
스타,48
캠핑장,47
기억,47
소나무,47
수준,47
경우,47
무료,47
촬영,46
마리,46
버거,46
라이,46
예전,46
산책,46
마련,46
영상,46
마무리,46
좋아서,46
고속도로,45
불편,45
야외,45
나름,45
상태,45
주인장,45
스키,44
놀이,44
주문진,44
그늘,44
경험,43
모래사장,43
부분,43
명소,43
대부분,43
침대,43
포인트,43
종일,43
입수,43
이건,43
교육,43
샤워실,43
전망대,43
조개,43
초보자,43
자연,43
스팟,42
포토,42
도로,42
이론,42
한국,42
확인,41
만족,41
추가,41
토요일,41
오시,41
크기,41
수영,40
나중,40
한참,40
필수,40
등대,40
겨울,40
블로그,40
주소,39
노을,39
정리,39
대표,39
사랑,39
전경,39
오른쪽,39
낚시,39
햄버거,39
슈트,39
열정,39
계단,38
의자,38
국내,38
단위,38
수제,38
분이,38
바위,38
가을,38
정보,38
후기,38
고고,38
방파제,38
편안,38
인생,38
문의,37
시즌,37
바닥,37
동시,37
바닷물,37
기초,37
테라스,37
얼마,37
사고,36
해안,36
엄마,36
게스트,36
마스코트,36
말씀,36
스포츠,36
한번,36
전망,36
수트,35
언니,35
한곳,35
지상,35
실력,35
버스,35
라면,35
고민,35
머리,35
가드,35
포함,35
기사,35
일반,34
도전,34
규모,34
방향,34
운동,34
커플,34
우리나라,34
연휴,34
루프,33
백사장,33
체크인,33
인시,33
항구,33
치킨,33
연인,33
남애항,33
음악,33
전체,33
순간,33
전날,32
얘기,32
가게,32
모양,32
구름,32
해서,32
타코,32
튀김,32
감자,32
평일,31
일요일,31
이벤트,31
카메라,31
인증,31
오신,31
하면,31
자랑,31
부탁,31
인원,31
세상,31
등등,31
수영복,31
동영상,30
파라솔,30
민박,30
모두,30
그때,30
동생,30
예정,30
강아지,30
수업,30
상황,30
하우스,30
바로,30
왼쪽,29
종류,29
크림,29
계절,29
호텔,29
조명,29
안주,29
홈페이지,29
지인,29
미터,29
결정,29
발견,29
음식점,29
비교,28
10분,28
인지,28
요금,28
천원,28
남자,28
금요일,28
에어컨,28
와서,28
오빠,28
구리,28
푸른,28
관리,28
장점,28
전용,28
요리,28
체력,28
관광객,28
이후,28
삼겹살,28
다행,28
차로,28
수건,27
낙산사,27
편의점,27
문화,27
노래,27
주의,27
설악산,27
절대,27
선물,27
브레이크,27
어촌,27
동반,27
대박,27
운전,27
태풍,27
발리,27
다리,27
간식,27
계속,27
포기,27
녀석,27
사이트,27
세트,27
얼굴,27
한눈,27
소스,27
휴식,27
인가,26
사항,26
금지,26
횟집,26
코앞,26
대여,26
정신,26
곳곳,26
튜브,26
브라이언,26
용품,26
레이스,26
이해,26
훈련,26
새우,26
생활,26
길이,26
사이즈,26
이국,26
배경,26
아메리카노,26
주년,26
가슴,26
낙산,26
터미널,26
해수욕,26
8월,26
현장,25
대신,25
서비스,25
시골,25
구매,25
시장,25
전국,25
평소,25
도보,25
아빠,25
할인,25
생맥주,25
감성,25
5월,24
양이,24
문제,24
온도,24
안쪽,24
메인,24
감상,24
신경,24
사이드,24
일정,24
요기,24
서서,24
기가,24
이서,24
중심,24
이것저것,24
기회,24
천국,24
가운데,24
외부,24
해양,23
곳도,23
이때,23
집중,23
구성,23
소주,23
먹거리,23
내일,23
건강,23
경치,23
포장,23
재료,23
자체,23
제공,23
라인업,23
잡기,23
해결,23
관계,22
영업시간,22
현북면,22
그동안,22
각종,22
피곤,22
부부,22
볼거리,22
남편,22
당일치기,22
소식,22
노력,22
농협,22
핑크,22
소요,22
직원,22
수상,22
송이,22
차량,21
선생님,21
주방,21
연결,21
꿀맛,21
반찬,21
휴가철,21
2시,21
외국,21
회사,21
수평선,21
실전,21
낭만,21
공원,21
드라이,21
보관,21
