word,counted
바다,266
속초,260
물치항,235
해변,235
강현면,229
여행,178
해수욕장,169
전화,123
지도,114
준비,110
처음,110
맛집,108
모습,108
비치,108
날씨,107
등대,105
동해,104
구경,104
보기,101
거리,100
가족,99
여름,99
센터,98
파도,96
자리,96
마켓,96
주말,95
장소,95
근처,93
관심,90
추천,88
이용,87
서핑,87
가격,86
느낌,86
마음,82
송이,80
주차장,80
제가,77
요즘,76
설악산,74
보니,73
방문,72
.com,71
국물,71
기분,70
커피,70
지역,70
서울,70
겨울,68
고기,67
입구,67
운영,67
식당,66
낙산사,66
음식,66
설악,65
소개,64
가지,64
바닷가,63
안녕하세요,63
사장,63
판매,62
하루,62
스팅,60
시설,60
이동,60
동해대로,60
주변,59
예약,59
이랑,58
모래,58
대포항,58
친구,57
치비,57
풍경,57
바람,56
점심,56
저장,56
마지막,56
완전,56
공간,55
만원,55
사실,55
아이들,55
이름,55
체험,54
동해안,54
주차,53
최고,53
폴더,53
축제,53
규모,53
강릉,52
지금,52
사용,52
행복,52
오후,51
여유,51
일출,51
사이,51
그런지,50
토요일,49
예정,49
김치,49
자연,48
분위기,48
기본,48
출발,48
리조트,48
조금,48
숙소,48
강선,47
걱정,47
동안,47
식사,46
아파트,46
항구,46
먹거리,46
중간,46
마을,46
카페,46
일요일,45
계획,45
한잔,45
오전,45
낚시,45
아래,45
강원,45
하늘,45
기대,45
낙산,44
시장,44
개인,44
리버,44
소리,43
도루묵,43
속초시,43
안전,42
공원,42
한곳,42
방파제,41
고속도로,41
정암리,41
일정,41
추가,41
칼국수,41
휴가,41
산책,41
이제,41
마리,40
기억,40
구입,40
감사,40
주택,40
관광객,40
생활,39
구이,39
화장실,39
추억,39
진행,39
혼자,39
오랜만,39
아이,39
설치,38
인근,38
볼거리,38
확인,38
우미,38
손님,38
생선,38
도로,38
필요,38
정암,38
지구,37
내부,37
이야기,37
오픈,37
가게,37
안내,36
냄새,36
참고,36
공기,36
조대,36
포장,36
제일,35
물놀이,35
사랑,35
정보,35
새벽,35
이유,35
엄마,35
입맛,35
-1,35
하우스,34
국도,34
선택,34
얼마,34
건물,34
해주시,34
나무,34
오션,34
호리,34
원래,33
마련,33
소식,33
만큼,33
보드,33
검색,33
관광,33
개통,33
터미널,32
맞이,32
대표,32
그릇,32
부분,32
고고,32
좋아서,32
기간,32
예전,31
촬영,31
친절,31
마트,31
동네,31
인기,31
코스,31
설명,31
활어,31
이건,31
모양,31
무료,31
관광지,30
편리,30
정리,30
강습,30
튀김,30
캠핑,30
아빠,30
버스,30
테이블,30
후기,30
제공,29
지상,29
고민,29
호텔,29
나름,29
오징어,29
매력,29
국내,29
발견,29
분이,29
환경,29
사고,28
힐링,28
만족,28
경우,28
셀러,28
마무리,28
바닥,28
버섯,28
재미,28
하나로,28
제품,28
순간,28
조개,28
샤워,28
차량,27
10분,27
그때,27
새우,27
주소,27
지하,27
구매,27
단지,27
라면,27
한참,27
휴게,26
물고기,26
말씀,26
바로,26
방법,26
의자,26
횟집,26
푸른,26
양양읍,26
막국수,26
반찬,26
명소,26
대부분,25
블로그,25
전날,25
깍두기,25
행사,25
가을,25
분양,25
세대,25
조성,25
갈매기,25
인구,25
편의,25
머리,25
하기,25
부부,25
안쪽,25
다리,24
놀이,24
시기,24
나중,24
덕분,24
문화,24
남편,24
하면,24
인지,24
매운탕,24
편안,24
종류,24
상태,24
요금,24
소주,24
양평,24
연결,24
운전,24
이후,24
곳도,23
관리,23
조망,23
동시,23
간식,23
휴식,23
네이버,23
텐트,23
센타,23
다음날,23
기사,23
숙박,23
방향,23
설렁탕,23
대로,23
남은,23
고성,23
도시,23
천원,23
백사장,23
모델,22
일반,22
연락,22
대박,22
사항,22
건강,22
아들,22
기회,22
교통,22
문의,22
여름휴가,22
곳곳,22
햇살,22
인생,22
맥주,22
서비스,22
기전,22
경험,22
강현,22
등등,22
길이,21
유명,21
양념,21
작년,21
배경,21
밑반찬,21
해수욕,21
입주,21
여자,21
부족,21
인접,21
이예,21
한번,21
부동산,21
동해고속도로,21
단위,21
비교,21
면적,21
타임,21
전망대,21
공연,21
참여,21
대신,21
계곡,21
모두,20
초보,20
그림,20
얼굴,20
지인,20
전경,20
개장,20
구성,20
일상,20
빵집,20
차로,20
게스트하우스,20
맞은편,20
운동,20
도자기,20
구간,20
자랑,20
접시,20
IC,20
도보,20
왼쪽,20
클릭,20
바닷물,20
계절,20
주방,20
해안,20
현장,20
가시,20
어린이,20
치한,20
주민,19
성공,19
건너편,19
강아지,19
선물,19
블록,19
물건,19
포인트,19
전망,19
허니,19
북쪽,19
소스,19
육수,19
카메라,19
전국,19
인증,19
구름,19
서울로,19
택배,19
산책로,19
이웃,19
해산물,19
해결,19
6월,19
교육,19
전원,19
찌개,19
농협,19
세상,19
조림,19
간판,19
불편,19
오른쪽,19
요리,19
구조,19
