word,counted
바다,259
비치,251
여행,240
맛집,208
낚시,207
손양면,191
체험,187
수산,173
횟집,166
요트,163
가자미,155
속초,150
가족,143
전화,136
처음,131
추천,130
동해,128
거리,125
근처,119
동해안,114
문어,114
지도,112
마을,111
가격,107
보기,106
배낚시,103
요즘,96
모습,95
조개,95
날씨,94
항구,93
아이들,92
어촌,92
여름,92
방파제,88
해변,88
음식,87
준비,87
수산리,85
낙산,85
국물,84
예약,84
보니,84
친구,79
투명,79
기본,78
사실,78
카누,77
느낌,77
방문,77
선상,76
반찬,74
바람,74
식당,74
만원,74
식사,74
자리,74
마리나,74
바다낚시,73
오후,73
마리,72
추억,71
장소,71
주변,70
주말,69
구경,69
낙산사,69
손님,68
이랑,67
이용,67
최고,67
운영,67
가지,67
밑반찬,66
해수욕장,66
점심,66
매운탕,66
파도,65
출발,65
고기,65
서울,64
한곳,64
복전,64
리조트,63
연산,63
오징어,61
강릉,61
사장,61
검색,61
입구,59
관심,58
완전,57
오전,57
추가,57
마음,57
공기,57
마지막,56
제가,56
아이,56
코스,55
해산물,54
기대,53
생선,53
테이블,53
승선,53
숙소,52
스팅,52
개인,52
이름,52
바닷가,51
포인트,51
걱정,51
기분,51
안전,51
고민,50
다래,50
조대,50
안녕하세요,50
어선,50
보트,49
휴가,49
아래,48
지역,47
전문,47
.com,47
참고,47
양이,47
소개,46
만족,46
낙산해수욕장,46
등대,46
인근,46
칼국수,46
대박,46
지금,46
물고기,45
대게,45
풍경,45
제일,44
그런지,44
원래,44
캠핑,44
자연,44
저장,44
한잔,44
분이,44
폴더,43
구이,43
새우,43
이동,43
미끼,42
대표,42
사용,42
하루,42
단체,42
사이,42
연인,42
안쪽,41
인기,41
엄마,41
여름휴가,40
중간,40
필요,40
예전,40
서핑,40
무료,40
해녀,39
진호,39
하늘,39
조금,39
요리,39
부추,39
전망대,39
우럭,39
주차장,39
친절,39
사리,38
가게,38
그릇,38
만큼,38
고속도로,38
.kr,37
활어,37
이건,37
여유,37
설악산,37
산책,37
동호,37
손맛,37
사랑,37
볼거리,37
계획,37
얼마,37
모듬,37
새벽,36
선택,36
소리,36
재료,36
먹거리,36
정박,36
미역,35
해양,35
행복,35
재미,35
비누,35
입맛,35
분위기,35
주차,35
문의,34
이예,34
시장,34
축제,34
7월,34
전복,34
안내,34
오랜만,34
광어,33
바위,33
멍게,33
낙산항,33
여행지,33
크기,33
선장,33
등등,32
감사,32
겨울,32
이유,32
야채,32
동호리,32
동네,32
차로,32
가을,32
시설,32
수요일,31
초보,31
이제,31
기억,31
3분,31
강원,31
소면,31
낚시대,31
포장,31
선사,31
후기,31
나중,30
커피,30
동안,30
나름,30
내부,30
호텔,30
대명,30
마무리,30
해초,30
이야기,30
관광객,29
해삼,29
남애항,29
회로,29
토종,29
필수,29
홍합,29
발견,28
출조,28
관광,28
프로그램,28
대포항,28
참가자,28
건물,28
채비,28
복무,28
손질,28
요금,28
소주,27
한참,27
각종,27
어항,27
비교,27
오토,27
오시,27
전문점,27
확인,27
골든,27
블로그,27
10분,27
타임,27
어른,27
라면,27
해장,27
아빠,26
피싱,26
주소,26
대구,26
작년,26
혼자,26
행사,26
이서,26
8월,26
앞바다,26
서비스,26
다음날,26
일반,26
미역국,25
종류,25
평일,25
아들,25
힐링,25
경험,25
메인,25
일출,25
양양가,25
봉수,25
매력,25
육수,25
오산,25
부부,24
여성,24
휴게,24
바닥,24
제공,24
공간,24
기가,24
말씀,24
화장실,24
일요일,24
결정,24
진행,24
전경,24
자체,24
커플,24
최대,24
규모,24
탕이,23
클럽,23
튀김,23
영상,23
고고,23
운전,23
유적,23
방법,23
설명,23
조황,23
물치항,23
주문진,23
일정,23
푸른,23
내항,22
무침,22
생활,22
양념,22
2시,22
인분,22
고등어,22
정보,22
구름,22
회랑,22
숙박,22
네이버,22
부분,22
하우스,22
브레이크,22
전국,22
일품,22
김치,22
포함,22
모양,22
사이즈,21
조사,21
얼굴,21
인지,21
방송,21
레저,21
최신,21
실수,21
이선장,21
제철,21
한식대첩,21
남은,21
버섯,21
오픈,21
오른쪽,21
-1,21
대한민국,21
국내,20
회의,20
모임,20
래미,20
젓갈,20
등장,20
위험,20
비주얼,20
미항,20
경우,20
상태,20
도전,20
녀석,20
판매,20
입질,20
소라,20
방향,20
모두,20
장비,20
전날,20
영업시간,20
상황,20
출항,20
지인,19
접시,19
그중,19
맥주,19
대기,19
야외,19
조림,19
지정,19
도로,19
하기,19
기회,19
남편,19
송이,19
국수,19
6월,19
매콤,19
시즌,19
주인,19
이후,19
비용,19
고추장,19
이색,19
가시,19
이것저것,19
간판,19
설치,19
그때,19
구입,19
편의점,19
바늘,18
구명조끼,18
감상,18
멸치,18
센터,18
이국,18
초장,18
우리나라,18
인증,18
해안,18
바닷물,18
정리,18
바로,18
가루,18
한번,18
5월,18
대부분,18
카페,18
오신,18
양도,17
예정,17
소원,17
문제,17
진짜,17
건지,17
대신,17
분도,17
씨알,17
덕분,17
대로,17
한눈,17
통발,17
수족관,17
영자,17
휴가철,17
편안,17
얘기,17
단위,17
남녀노소,17
죽도,17
당일,17
바지락,17
그림,17
전진,17
여기저기,17
일행,17
소나무,17
