word,counted
조대,551
바다,428
여행,325
해수욕장,282
현북면,257
해변,222
동해,206
등대,206
파도,177
광정리,175
날씨,170
전망대,166
풍경,163
여름,160
소나무,157
바람,156
정자,154
모습,151
하륜,149
느낌,146
구경,146
속초,144
바위,138
근처,138
카페,137
보니,134
일출,125
계단,124
조준,124
가족,124
마음,123
기분,119
지도,119
하늘,119
이름,119
주변,118
비치,118
처음,118
자리,118
입구,117
추천,115
바닷가,115
보기,115
스카이,108
아래,104
거리,103
주차장,103
경치,101
출발,101
전화,101
워크,100
아이들,100
주차,99
서핑,99
숙소,98
커피,96
사실,93
절경,93
이용,92
준비,92
장소,90
겨울,90
여유,88
이동,88
분위기,87
강릉,87
맛집,86
한곳,85
모래,84
스팅,84
나무,83
사이,82
이야기,81
코스,81
친구,80
자연,79
해안,79
마지막,79
검색,79
요즘,78
이랑,78
제가,77
방문,76
절벽,76
기억,76
예약,75
점심,74
물놀이,73
동해안,72
소리,72
그런지,71
.com,71
관광,70
동안,70
지금,70
조선,69
공간,69
산책,67
아이,67
휴가,67
지역,67
가격,66
서울,66
대전,65
추억,65
그림,65
기암절벽,65
참고,64
모래사장,64
명소,64
감상,64
조금,63
사랑,63
애국가,63
최고,62
계획,62
망대,62
푸른,62
보호,62
힐링,61
무인,61
행복,61
시설,60
구름,60
테이블,60
고기,59
한참,59
캠핑,59
촬영,59
하루,58
낙산사,58
원래,58
음식,58
제일,57
완전,57
가지,57
기대,56
한잔,55
엄마,55
안내,55
중간,55
얼마,55
식사,54
혼자,54
여행지,53
기암괴석,53
개인,53
휴게,53
맥주,53
화장실,53
관심,52
오후,52
지정,52
바닥,52
주말,52
바닷물,52
내부,52
예전,51
만큼,50
양하,50
새벽,50
식당,50
공신,50
놀이,49
백사장,49
배경,49
무료,49
고려,49
나름,49
필요,49
아빠,48
오른쪽,48
막국수,47
만족,47
만원,47
다음날,47
차로,46
고속도로,45
운영,45
이유,45
오랜만,45
돌고래,44
설치,44
고민,44
안녕하세요,44
얼굴,44
저장,44
선택,44
관광객,43
사장,43
샤워,43
노송,43
다리,43
출입,43
수영,42
해수욕,42
머리,42
왼쪽,42
후기,41
은거,41
추가,41
가슴,40
순간,40
죽도,40
한눈,40
덕분,40
이제,40
설악산,40
폴더,40
아들,40
소개,40
마무리,40
파란,39
명칭,39
입장료,39
건물,39
인근,39
강원,39
개국,39
이건,38
오전,38
가도,38
사용,38
손님,38
가을,37
수심,37
10분,37
주문진,37
관광지,37
조선의 개국공신,37
인지,37
방향,37
나중,36
친절,36
바닷바람,36
의자,36
좋아서,36
공기,36
일정,36
아쉬움,36
고고,35
걱정,35
성수기,35
평일,35
모양,35
여름휴가,35
기본,35
국내,34
음료,34
우리나라,34
길이,34
명승,34
규모,34
방파제,34
전망,34
도로,34
버스,33
호텔,33
이후,33
볼거리,33
부족,33
상태,33
육각,33
휴식,32
곳곳,32
침대,32
종류,32
안전,32
처녀,32
관리,32
등대도,31
불편,31
오징어,31
블로그,31
인증,31
패스,31
위험,31
총각,31
야외,31
남편,31
유리,31
카메라,30
편의점,30
반찬,30
세상,30
감사,30
양양가,30
안보,30
횟집,30
편안,30
금지,30
투명,30
시장,30
설명,30
요기,30
그때,30
부분,30
계곡,30
재미,29
실내,29
숙박,29
라면,29
군사,29
포토,29
건강,29
해먹,29
물고기,29
포기,29
자체,29
영상,29
낭만,29
대부분,29
장관,29
발견,29
곳도,28
피자,28
마리,28
경관,28
전날,28
송이,28
하면,28
등장,28
마을,28
대로,28
결정,28
튜브,28
정리,28
암석해안,27
전체,27
감탄,27
보드,27
송림,27
의미,27
작년,27
확인,27
풍광,27
등등,27
운치,27
조식,26
바라,26
햇살,26
포장,26
파라솔,26
기록,26
당일치기,26
가게,26
타임,26
커플,26
이국,26
한국,26
명승지,26
수령,26
시대,26
전설,26
리조트,26
그릇,26
어른,26
우측,26
주위,26
자랑,26
유래,26
기전,25
필수,25
인테리어,25
테라스,25
바위섬,25
옛날,25
경사,25
인생,25
캠핑장,25
판매,25
얘기,25
조명,25
대표,25
안길,25
체험,25
오픈,25
집안,25
단위,24
냉장고,24
남쪽,24
대도,24
장이,24
기회,24
태풍,24
김치,24
입맛,24
1박 2일,24
매력,24
피곤,24
이다,24
수평선,24
동영상,24
비교,24
부부,24
경우,24
여자,24
하기,23
낙산,23
목적지,23
일상,23
서서,23
여기저기,23
인기,23
건지,23
운전,23
가운데,23
구이,23
오빠,23
안내소,23
신랑,23
호로,23
평화,22
오색,22
주소,22
대신,22
체력,22
북적,22
