,word,counted
0,바다,356
1,속초,349
2,물치항,308
3,해변,299
4,강현면,287
5,사람,245
6,해수욕장,244
7,여행,244
8,!!,190
9,동해,152
10,등대,146
11,모습,144
12,시작,143
13,전화,143
14,날씨,142
15,처음,142
16,맛집,138
17,파도,138
18,거리,137
19,지도,137
20,준비,132
21,자리,126
22,근처,126
23,가족,125
24,주말,124
25,아침,124
26,비치,122
27,구경,122
28,여름,122
29,다음,118
30,느낌,118
31,센터,116
32,장소,112
33,저녁,112
34,서핑,111
35,보기,111
36,이용,110
37,가격,110
38,지역,109
39,주차장,109
40,송이,106
41,마음,106
42,추천,105
43,설악산,104
44,!!!,104
45,관심,104
46,서울,104
47,마켓,103
48,요즘,102
49,방문,102
50,보니,98
51,바닷가,97
52,낙산사,95
53,소개,95
54,국물,94
55,제가,94
56,설악,94
57,겨울,93
58,입구,91
59,주변,90
60,.com,88
61,풍경,87
62,대포항,86
63,하루,86
64,고기,85
65,식당,84
66,동해안,84
67,안녕하세요,84
68,가지,82
69,시설,82
70,이름,81
71,운영,81
72,커피,80
73,음식,80
74,기분,79
75,모래,79
76,만원,79
77,이동,78
78,바람,78
79,오후,78
80,사실,76
81,스팅,75
82,예정,74
83,일출,73
84,점심,72
85,판매,72
86,아래,71
87,강릉,70
88,지금,69
89,축제,69
90,완전,69
91,마지막,69
92,사이,69
93,사장,69
94,이랑,69
95,동해대로,68
96,행복,68
97,고속도로,68
98,아이들,68
99,주차,67
100,예약,67
101,동안,67
102,소리,67
103,분위기,66
104,친구,66
105,김치,65
106,체험,65
107,강선,65
108,속초시,65
109,여유,65
110,규모,65
111,항구,65
112,카페,65
113,계획,64
114,숙소,64
115,낙산,64
116,그런지,64
117,사용,63
118,강원,63
119,출발,63
120,조금,63
121,기대,63
122,라고,63
123,낚시,62
124,방파제,62
125,마을,62
126,식사,62
127,아파트,61
128,공간,61
129,먹거리,61
130,칼국수,60
131,관광객,60
132,최고,60
133,저장,60
134,중간,60
135,기본,60
136,추가,59
137,도로,59
138,마리,59
139,하늘,59
140,자연,59
141,오전,59
142,폴더,57
143,걱정,57
144,토요일,57
145,도루묵,57
146,손님,57
147,기억,56
148,생활,56
149,주택,56
150,정암,55
151,필요,55
152,리조트,55
153,사랑,55
154,치비,54
155,공원,54
156,오랜만,54
157,조대,54
158,국도,53
159,이제,53
160,시장,53
161,건물,53
162,정보,53
163,감사,53
164,일요일,53
165,이야기,53
166,정암리,52
167,구이,52
168,개인,52
169,혼자,52
170,얼마,52
171,지구,52
172,추억,52
173,제일,52
174,설치,51
175,볼거리,51
176,우미,51
177,한잔,51
178,인근,51
179,가게,51
180,대표,50
181,참고,50
182,일정,50
183,내부,50
184,휴가,50
185,오징어,50
186,코스,49
187,개통,49
188,새벽,49
189,생선,49
190,한곳,49
191,확인,48
192,원래,48
193,진행,48
194,모양,48
195,안전,47
196,오픈,47
197,구입,47
198,-1,47
199,이유,47
200,나무,47
201,리버,47
202,설명,47
203,검색,47
204,마련,47
205,친절,46
206,만큼,46
207,방향,46
208,기간,46
209,안내,45
210,산책,45
211,이건,45
212,하나로,44
213,냄새,44
214,선택,44
215,고고,44
216,오션,44
217,공기,44
218,부분,44
219,화장실,44
220,마트,43
221,관광,43
222,횟집,43
223,엄마,43
224,물놀이,42
225,매력,42
226,좋아서,42
227,맞이,42
228,그릇,42
229,경우,42
230,버섯,42
231,명소,42
232,매운탕,41
233,행사,41
234,반찬,41
235,한참,41
236,가을,41
237,상태,41
238,조개,41
239,활어,41
240,만족,41
241,제공,41
242,아이,41
243,터미널,41
244,막국수,40
245,관광지,40
246,무료,40
247,버스,40
248,포장,40
249,정리,40
250,동네,39
251,촬영,39
252,대부분,39
253,10분,39
254,국내,39
255,테이블,39
256,튀김,39
257,인기,39
258,연락,38
259,하우스,38
260,나름,38
261,캠핑,38
262,분양,38
263,재미,38
264,예전,37
265,고성,37
266,보드,37
267,순간,37
268,차량,37
269,다리,37
270,말씀,36
271,분이,36
272,아빠,36
273,호리,36
274,경험,36
275,부동산,36
276,발견,36
277,해주시,36
278,도시,36
279,인구,36
280,소식,35
281,힐링,35
282,포인트,35
283,휴게,35
284,푸른,35
285,일반,35
286,물고기,35
287,호텔,35
288,참여,35
289,편리,35
290,블로그,35
291,가슴,35
292,네이버,35
293,지상,35
294,새우,35
295,편의,35
296,후기,35
297,바로,34
298,라면,34
299,조망,34
300,고민,34
301,맥주,34
302,바닥,34
303,구매,34
304,문의,34
305,그때,34
306,입맛,34
307,덕분,34
308,샤워,34
309,주소,34
310,안쪽,34
311,세대,34
312,강습,34
313,숙박,33
314,양양읍,33
315,연결,33
316,조성,33
317,전날,33
318,구름,33
319,시기,33
320,지하,33
321,인지,33
322,갈매기,33
323,방법,32
324,대로,32
325,건강,32
326,매매,32
327,운전,32
328,산책로,32
329,양념,32
330,기사,32
331,환경,32
332,물건,32
333,요리,32
334,작년,32
335,부부,32
336,센타,32
337,관리,32
338,머리,31
339,나중,31
340,하면,31
341,백사장,31
342,이후,31
343,소주,31
344,접시,31
345,편안,31
346,단지,31
347,동해고속도로,31
348,공연,31
349,비교,31
350,왼쪽,31
351,천원,31
352,의자,31
353,감상,31
354,마무리,31
355,제품,31
356,일상,31
357,전원,30
358,해안,30
359,죽도,30
360,계절,30
361,곳곳,30
362,부족,30
363,인접,29
364,서비스,29
365,오른쪽,29
366,인생,29
367,토지,29
368,놀이,29
369,운동,29
370,셀러,29
371,배경,29
372,동시,29
