,word,counted
0,수산,574
1,바다,415
2,여행,392
3,사람,325
4,시장,317
5,속초,288
6,!!,273
7,횟집,261
8,오징어,250
9,맛집,239
10,동해,229
11,비치,228
12,처음,221
13,가격,218
14,수산항,216
15,거리,205
16,추천,197
17,근처,194
18,다음,193
19,가족,189
20,해변,181
21,구경,179
22,모습,176
23,만원,173
24,아침,172
25,저녁,171
26,예약,169
27,시작,168
28,음식,166
29,!!!,165
30,주문진,165
31,체험,161
32,식사,160
33,자리,156
34,식당,156
35,날씨,155
36,느낌,154
37,보니,154
38,매운탕,154
39,가자미,152
40,전화,151
41,준비,150
42,가지,149
43,숙소,149
44,마을,149
45,마음,146
46,출발,144
47,손양면,143
48,생선,143
49,강릉,142
50,사실,141
51,바람,140
52,이랑,139
53,낚시,139
54,지도,137
55,마리,137
56,바닷가,137
57,제가,135
58,문어,134
59,해수욕장,133
60,새우,132
61,점심,130
62,.com,130
63,마지막,127
64,아이들,126
65,기분,126
66,해산물,126
67,소개,126
68,방문,125
69,입구,123
70,튀김,123
71,보기,122
72,주변,122
73,주차장,121
74,요즘,120
75,이용,120
76,코스,119
77,여름,119
78,사장,119
79,스팅,119
80,완전,119
81,주차,119
82,서울,115
83,이름,114
84,멍게,112
85,구이,111
86,동해안,111
87,최고,110
88,파도,109
89,그런지,109
90,친구,108
91,고기,107
92,관광,107
93,기본,106
94,기대,106
95,지금,105
96,반찬,105
97,커피,105
98,요트,105
99,대게,104
100,주말,104
101,손님,104
102,닭강정,104
103,국물,103
104,조대,102
105,리조트,102
106,낙산사,102
107,원래,101
108,전복,101
109,라고,101
110,광어,101
111,만족,100
112,하루,100
113,어촌,100
114,풍경,98
115,추가,96
116,기억,96
117,광수산,96
118,검색,95
119,겨울,94
120,제일,93
121,호텔,93
122,산책,93
123,필요,91
124,서비스,91
125,가게,90
126,장소,90
127,설악산,90
128,한잔,90
129,순대,90
130,이건,89
131,한곳,89
132,동안,89
133,종류,88
134,내부,88
135,운영,88
136,분위기,87
137,테이블,87
138,대포항,87
139,만큼,87
140,고민,87
141,포장,87
142,우럭,87
143,아래,87
144,하늘,87
145,만석,86
146,이야기,86
147,카페,86
148,이동,86
149,개인,86
150,마무리,84
151,오후,84
152,조금,84
153,사랑,83
154,추억,82
155,엄마,81
156,다음날,81
157,서핑,80
158,소리,79
159,강원,79
160,전망대,79
161,간장,77
162,공기,77
163,친절,77
164,물고기,77
165,수산리,77
166,이유,76
167,지역,76
168,오전,76
169,라면,76
170,시설,76
171,단체,76
172,참고,75
173,오랜만,75
174,사용,75
175,계획,75
176,입맛,75
177,양이,74
178,정보,74
179,연산,74
180,낙산,73
181,걱정,73
182,블로그,73
183,휴게,73
184,안내,73
185,행복,72
186,안녕하세요,72
187,해삼,71
188,얼마,71
189,아빠,71
190,건물,71
191,먹거리,71
192,선택,70
193,고고,70
194,활어,69
195,공간,69
196,대박,69
197,투명,69
198,구입,69
199,메인,68
200,나름,68
201,여유,68
202,속초시,68
203,나중,68
204,예전,67
205,중앙시장,67
206,칼국수,67
207,혼자,67
208,주소,67
209,센터,67
210,휴가,67
211,양념,66
212,크기,66
213,판매,66
214,사이,66
215,화장실,65
216,아이,64
217,카누,64
218,덕분,64
219,항구,63
220,방파제,63
221,모듬,63
222,남애항,63
223,배낚시,63
224,일정,63
225,이서,63
226,차로,63
227,바닥,62
228,중간,62
229,규모,61
230,냄새,61
231,무침,60
232,그릇,60
233,요리,60
234,10분,59
235,수산물,59
236,바위,59
237,홍게,59
238,재료,59
239,자연,58
240,고성,58
241,등등,58
242,관광객,58
243,선상,58
244,골목,57
245,천원,57
246,일반,57
247,죽도,56
248,상태,56
249,다리,56
250,맥주,56
251,재미,55
252,발견,55
253,설명,55
254,인기,55
255,관심,55
256,힐링,54
257,가리비,54
258,캠핑,54
259,남편,54
260,한번,54
261,육수,53
262,손질,53
263,각종,53
264,볼거리,53
265,안전,53
266,이제,53
267,어른,52
268,대신,52
269,초장,52
270,.kr,52
271,소주,52
272,비교,51
273,머리,51
274,분이,51
275,낙산해수욕장,51
276,구매,51
277,밑반찬,51
278,세트,50
279,등대,50
280,진행,50
281,자체,50
282,접시,50
283,-1,50
284,매콤,50
285,필수,49
286,사고,49
287,경치,49
288,이후,49
289,전체,49
290,경우,49
291,소라,49
292,홍합,49
293,말씀,49
294,운전,49
295,후기,48
296,순간,48
297,무료,48
298,송이,48
299,미역국,48
300,평일,48
301,서서,48
302,감사,48
303,마리나,47
304,고속도로,47
305,예정,47
306,모양,47
307,일출,47
308,부족,47
309,침대,47
310,콘도,47
311,여름휴가,47
312,게장,47
313,현남면,46
314,사서,46
315,결정,46
316,한참,46
317,인근,46
318,전문,46
319,확인,46
320,해주시,46
321,전망,45
322,정리,45
323,투어,45
324,야채,45
325,국내,45
326,국수,45
327,그때,45
328,소스,45
329,설악,45
330,관광지,45
331,좋아서,45
332,방법,45
333,기전,44
334,등장,44
335,조개,44
336,먹방,44
337,수족관,44
338,버스,43
339,여행지,43
340,부부,43
341,작년,43
342,숙박,43
343,강릉시,43
344,지인,43
345,편의점,43
346,야외,43
347,막국수,43
348,대표,43
349,남은,43
350,간판,43
351,오른쪽,43
352,방향,42
353,새벽,42
354,인지,42
355,해물,42
356,전국,42
357,전날,42
358,차량,42
359,가시,42
360,대명,42
361,매력,42
362,불편,42
363,마늘,42
364,횟감,42
365,아쉬움,42
366,초밥,42
367,물놀이,42
368,포함,41
369,기회,41
370,행사,41
371,인분,41
372,모래,41
373,실내,40
374,도루묵,40
375,호떡,40
376,아바이,40
377,나무,40
378,소나무,40
379,곳도,40
380,오빠,39
381,가을,39
382,푸른,39
383,명소,39
384,바다낚시,39
385,노래,39
386,계곡,39
387,회의,38
388,아들,38
389,김치,38
390,모두,38
391,중앙,38
392,옛날,38
393,한국,38
394,외관,38
395,얼굴,38
396,문의,38
397,저장,38
398,얘기,37
399,이때,37
400,건어물,37
401,제공,37
402,우리나라,37
403,오산,37
404,마트,37
405,주방,37
406,여자,37
407,해결,37
408,동네,37
409,세상,37
410,해양,37
411,건강,37
412,바로,36
413,파티,36
414,방송,36
415,그림,36
416,부분,36
417,프로그램,36
418,축제,36
419,인증,36
420,선사,36
421,관리,36
422,입장,36
423,촬영,36
424,도전,35
425,연어,35
426,오색,35
427,신경,35
428,네이버,35
429,감상,35
430,이예,35
431,회로,35
432,동명,35
433,대부분,35
434,공원,35
435,테이스티로드,35
436,부모,35
437,1박 2일,35
438,해수,35
439,휴식,35
440,목적지,35
441,해안,35
442,물치항,35
443,도로,34
444,오시,34
445,전통,34
446,직원,34
447,할인,34
448,보트,34
449,해초,34
450,차이,34
451,별미,34
452,젓갈,34
453,왼쪽,34
454,장난,34
455,요금,34
456,정신,34
457,오픈,34
458,편안,34
459,비주얼,34
460,체크인,34
461,안쪽,34
462,유명,34
463,홈페이지,34
464,절대,34
465,감자,34
466,승선,34
467,사이즈,34
468,경험,33
469,진짜,33
470,부산,33
471,안주,33
472,대로,33
473,일품,33
474,인구,33
475,정성,33
476,아주머니,33
477,회덮밥,33
478,가야,33
479,타임,33
480,게딱지,33
481,이다,33
482,하기,33
483,가루,33
484,안보,33
485,포인트,33
486,순두부,33
487,꿀맛,33
488,부탁,33
489,가슴,32
490,맛나,32
491,기름,32
492,피곤,32
493,선물,32
494,설치,32
495,곳곳,32
496,골뱅이,32
497,해서,32
498,비쥬,32
499,패스,32
500,바닷바람,32
501,모임,32
502,비용,32
503,소면,32
504,소원,32
505,인제,32
506,가도,32
507,건지,32
508,대기,32
509,회사,32
510,인상,31
511,폴더,31
512,내일,31
513,고추,31
514,부담,31
515,산책로,31
516,장사,31
517,요기,31
518,정식,31
519,포기,31
520,바퀴,31
521,조식,31
522,하나,31
523,완성,31
524,남자,31
525,월드,31
526,구름,31
527,비누,31
528,냉장고,31
529,지하,31
530,강현면,31
531,일요일,31
532,픽업,31
533,동호리,31
534,그중,31
535,호박,30
536,인사,30
537,스타일,30
538,마련,30
539,회랑,30
540,버섯,30
541,젓가락,30
542,씨앗,30
543,표정,30
544,드라이브,30
545,상황,30
546,아니,30
547,이것저것,30
548,바닷물,30
549,남대천,30
550,옥수수,30
551,박스,30
