,word,counted
0,진리,568
1,강현면,540
2,낙산사,463
3,바다,408
4,낙산,342
5,여행,312
6,동해,276
7,주소,261
8,속초,249
9,해변,239
10,낙산해수욕장,232
11,추천,208
12,아래,201
13,가족,199
14,사람,195
15,관음,191
16,의상대,182
17,강원,182
18,무료,182
19,거리,181
20,주변,177
21,예약,176
22,모습,171
23,해수,169
24,안내,166
25,단체,165
26,가격,165
27,동해안,164
28,-1,163
29,비치,161
30,.com,159
31,처음,159
32,한곳,157
33,자리,155
34,해수욕장,153
35,코스,152
36,강릉,151
37,걱정,147
38,설악산,144
39,주말,144
40,체험,142
41,입구,141
42,맛집,141
43,마음,141
44,구경,141
45,!!,139
46,여행지,134
47,바닷가,132
48,낚시,132
49,요금,131
50,전화,131
51,만원,129
52,친구,125
53,근처,123
54,주차장,123
55,추억,122
56,아이들,122
57,클릭,121
58,시작,121
59,사찰,119
60,배낚시,118
61,느낌,117
62,가자미,116
63,바다낚시,115
64,전진,114
65,이용,114
66,주문진,113
67,장소,113
68,기본,112
69,장비,112
70,아침,112
71,선상,112
72,건물,109
73,여름,109
74,창건,109
75,미끼,107
76,고성,107
77,저녁,106
78,연인,105
79,날씨,104
80,최신,104
81,다음,104
82,지도,103
83,원통,103
84,의상,103
85,보전,103
86,전문,102
87,리조트,101
88,관음보살,101
89,선단,100
90,풍경,99
91,식당,98
92,일출,98
93,커플,97
94,추가,96
95,보니,96
96,낙산항,96
97,주차,96
98,초보자,95
99,투어,95
100,낚시대,95
101,파도,95
102,기도,94
103,화재,94
104,책임,94
105,바람,93
106,소개,93
107,지급,93
108,입장료,93
109,분위기,92
110,방문,92
111,소실,92
112,횟집,92
113,준비,91
114,산불,91
115,가지,90
116,대명,90
117,설악,90
118,이름,89
119,지금,89
120,환영,89
121,석탑,88
122,서울,88
123,소리,88
124,지정,88
125,운영,87
126,사가,87
127,겨울,87
128,부부,85
129,숙박,83
130,야유회,83
131,구이,83
132,타전,83
133,기분,82
134,3분,81
135,식사,81
136,캠핑,80
137,복원,80
138,숙소,79
139,경포대,79
140,안녕하세요,79
141,음식,79
142,초보,79
143,소나무,79
144,소원,79
145,신라,79
146,라고,78
147,시대,78
148,오후,78
149,제일,78
150,마지막,78
151,마을,77
152,지역,77
153,고장,77
154,오전,76
155,보물,76
156,관세음보살,76
157,오봉산,75
158,오토,75
159,하하하,75
160,최고,75
161,요즘,75
162,문화재,75
163,내부,74
164,인근,74
165,부담,74
166,회사,73
167,호텔,72
168,절벽,72
169,제가,72
170,볼거리,71
171,연꽃,71
172,연휴,71
173,솔밭,71
174,이후,71
175,사용,71
176,대표,71
177,사실,71
178,조대,70
179,홍예문,70
180,가족캠프,70
181,모임,69
182,이랑,69
183,원래,69
184,비용,69
185,관광지,68
186,보기,68
187,참고,68
188,대포항,68
189,사이,67
190,당시,67
191,하늘,67
192,만큼,66
193,해안,66
194,동안,66
195,조금,66
196,대사,65
197,이야기,65
198,대부분,65
199,생선,65
200,확인,64
201,물치항,64
202,행복,64
203,이동,64
204,기간,63
205,사장,63
206,맞이,63
207,제공,63
208,정보,63
209,정자,63
210,!!!,62
211,우리나라,62
212,경우,62
213,국내,62
214,문무왕,62
215,나무,62
216,출항,62
217,그런지,62
218,활어,62
219,바위,62
220,사천,61
221,성지,61
222,호로,60
223,하루,60
224,선택,60
225,-2,60
226,동명,60
227,출발,60
228,하나로,59
229,.kr,59
230,전체,59
231,가을,59
232,전화번호,59
233,모양,58
234,종류,58
235,크기,58
236,자연,58
237,가능,58
238,조선,58
239,관광,58
240,한잔,58
241,소요,57
242,시설,57
243,수산항,57
244,공간,56
245,불교,56
246,완전,56
247,절경,55
248,힐링,55
249,관동팔경,55
250,푸른,55
251,규모,55
252,반찬,54
253,모두,54
254,필요,54
255,이면,53
256,여유,53
257,전각,53
258,오징어,52
259,콘도,52
260,금강산,52
261,먹거리,52
262,가시,52
263,매력,52
264,친절,52
265,가운데,52
266,스팅,52
267,만족,51
268,계획,51
269,동시,51
270,법당,51
271,국물,51
272,서비스,51
273,기억,51
274,예전,51
275,역사,50
276,휴가,50
277,대형,50
278,관심,50
279,부분,50
280,사리탑,50
281,서핑,50
282,산책,50
283,천원,50
284,매운탕,50
285,경치,50
286,10분,50
287,부처,50
288,관광객,49
289,스님,49
290,고기,49
291,테이블,49
292,담장,48
293,합승,48
294,일정,48
295,남애항,48
296,좋아서,48
297,기대,47
298,여름휴가,47
299,설악항,47
300,연못,47
301,데이트,47
302,손님,46
303,커피,46
304,얼마,46
305,경내,46
306,카페,46
307,아이,45
308,전망,45
309,마련,45
310,피해,45
311,오랜만,45
312,문의,45
313,즉석,45
314,명소,45
315,사랑,45
316,경관,44
317,화장실,44
318,인해,44
