,word,counted
0,서핑,4745
1,양양,4220
2,해변,3150
3,기사문,2453
4,파도,1704
5,바다,1606
6,서프,1198
7,하조대,1066
8,여행,1020
9,강습,999
10,사람,836
11,보드,819
12,일출,808
13,우리,761
14,해수욕장,737
15,아침,621
16,휴게소,605
17,강릉,601
18,현북면,584
19,서퍼,570
20,속초,557
21,비치,539
22,맛집,527
23,하나,495
24,숙소,494
25,막국수,493
26,아이,482
27,죽도,476
28,다음,473
29,기사문항,468
30,주문진,465
31,날씨,462
32,시작,450
33,마을,449
34,교육,444
35,여름,443
36,모습,427
37,이곳,425
38,캠핑,406
39,하우스,405
40,예약,384
41,게스트,382
42,친구,377
43,카페,376
44,저녁,374
45,여기,371
46,처음,369
47,준비,366
48,느낌,358
49,지도,349
50,주말,344
51,마린,342
52,장소,339
53,냉면,333
54,풍경,332
55,강사,323
56,체험,322
57,동해,316
58,가족,316
59,서울,315
60,카약,309
61,전화,305
62,저장,300
63,사장,299
64,출발,294
65,식당,294
66,근처,291
67,기사문리,289
68,맥주,289
69,추천,285
70,계곡,279
71,바위,277
72,저희,277
73,이동,274
74,등대,273
75,버스,272
76,리조트,271
77,가능,269
78,고기,267
79,음식,266
80,유명,266
81,다이빙,266
82,가격,263
83,마음,262
84,플레이스,252
85,명소,252
86,바닷가,251
87,수트,250
88,횟집,246
89,하루,242
90,자리,240
91,상세,240
92,새벽,239
93,슈트,238
94,사이,234
95,서피,233
96,겨울,228
97,사랑,226
98,식사,226
99,항구,225
100,거리,225
101,연습,222
102,하늘,221
103,기사,219
104,강원,214
105,국밥,213
106,점심,212
107,오랜만,209
108,팝업,202
109,운영,202
110,함흥냉면,200
111,이용,200
112,송이,198
113,구경,198
114,메밀,197
115,조도,194
116,운동,194
117,동안,192
118,최고,192
119,초보,192
120,분위기,192
121,포인트,191
122,여자,190
123,참고,189
124,바람,189
125,물회,188
126,숙박,187
127,모래,186
128,파티,184
129,어디,182
130,시장,180
131,해담,179
132,기분,177
133,회산,176
134,훈련,176
135,토요일,175
136,다이버,173
137,개인,173
138,소개,171
139,웨이브,170
140,오후,169
141,촬영,166
142,아래,166
143,계획,166
144,퍼스,165
145,친절,164
146,언니,164
147,패들링,164
148,장비,164
149,헝그리,163
150,가지,162
151,마지막,162
152,형제,162
153,펜션,161
154,시설,160
155,패들,158
156,터미널,157
157,캣츠,157
158,지역,157
159,소머리,157
160,전망대,156
161,커피,155
162,한잔,155
163,기본,155
164,휴가,154
165,설명,152
166,안녕,151
167,말씀,150
168,피자,150
169,전날,149
170,오빠,147
171,렌탈,143
172,박물관,143
173,물놀이,143
174,입수,142
175,국도,141
176,사유,141
177,부족,140
178,주변,140
179,공간,140
180,텐트,140
181,포스팅,139
182,안전,138
183,샤워,138
184,이름,138
185,일상,137
186,국내,136
187,가을,135
188,상태,134
189,방문,134
190,어린이,134
191,추가,134
192,입구,133
193,치킨,133
194,선택,132
195,패키지,131
196,국물,130
197,얼마,129
198,육수,129
199,마무리,128
200,갯바위,128
201,검색,127
202,소주,126
203,내부,125
204,닭강정,125
205,사용,124
206,구름,124
207,관심,124
208,소리,123
209,정보,123
210,스쿠버,122
211,모텔,121
212,입맛,121
213,워터,121
214,놀이,121
215,수평선,120
216,낙산,120
217,바베큐,120
218,오전,119
219,이거,119
220,기대,118
221,재미,117
222,행복,117
223,오징어,115
224,대여,115
225,대회,115
226,휴식,115
227,방파제,114
228,전경,114
229,나라,113
230,반찬,112
231,자유,112
232,진행,112
233,태양,111
234,문길,111
235,낭만,110
236,물놀,109
237,방법,109
238,소나무,109
239,덕분,109
240,동호,108
241,망고,108
242,이야기,108
243,자전거,107
244,나름,107
245,무엇,106
246,아빠,106
247,추억,106
248,피곤,105
249,정자,105
250,가게,103
251,인구,103
252,주차,103
253,그릇,102
254,코스,102
255,중간,102
256,매력,102
257,학교,101
258,폴더,101
259,일반,101
260,안내,101
261,오메가,100
262,이유,100
263,불고기,99
264,판매,99
265,목적지,99
266,야외,98
267,블로그,98
268,주차장,98
269,관리,98
270,김치,98
271,감사,97
272,파크,97
273,고민,97
274,타임,96
275,영상,96
276,요즘,96
277,수제,96
278,솔향기,96
279,만족,96
280,육개장,96
281,확인,96
282,태풍,96
283,낚시,95
284,둘째,95
285,레저,94
286,아들,94
287,선물,93
288,이론,93
289,정식,93
290,입문,93
291,내요,93
292,인기,93
293,매장,93
294,프로,93
295,뭔가,92
296,라면,92
297,여유,92
298,산책,92
299,요리,92
300,챙이,91
301,영진,91
302,정육,91
303,텐데,90
304,도로,89
305,평양냉면,89
306,자연,89
307,투어,89
308,공쟁이,88
309,칭찬,88
310,지금,88
311,오프,88
312,만세,88
313,몬스터,88
314,작년,87
315,테이크,87
316,종일,86
317,중앙,86
318,정리,86
319,머리,84
320,여름휴가,84
321,기억,84
322,행사,83
323,공기,83
324,성수기,83
325,비주얼,83
326,일요일,82
327,한국,82
328,조형물,82
329,국수,82
330,혼자,82
331,용품,81
332,평일,81
333,탱크,81
334,역사,81
335,나무,81
336,고생,81
337,호텔,81
338,경험,80
339,칼국수,80
340,테이블,80
341,건강,80
342,수업,80
343,경계,80
344,예전,79
345,동산,79
346,사항,79
347,오른쪽,79
348,장판,79
349,스텔라,79
350,보통,79
351,성공,79
352,인생,78
353,걱정,78
354,필요,78
355,힐링,78
356,네이버,78
357,홈페이지,77
358,후기,77
359,차량,77
360,해장국,77
361,정성,76
362,요기,76
363,화장실,76
364,상황,76
365,당일치기,76
366,엄마,76
367,직원,75
368,금지,75
369,스타일,75
370,세트,75
371,자세,75
372,에어컨,74
373,나중,74
374,대표,74
375,휴가철,74
376,얘기,74
377,포토,74
378,이건,73
379,파타고니아,73
380,거기,73
381,바닥,73
382,남애,73
383,무료,73
384,왼쪽,73
385,안주,72
386,바닷물,72
387,감상,72
388,건지,71
389,연곡,70
390,이것,70
391,회장,70
392,일정,70
393,사이즈,70
394,낙산사,69
395,체크,69
396,엑스,69
397,제품,68
398,산더미,68
399,수영,68
400,영향,68
401,체력,68
402,편의점,68
403,코코,68
404,잔치국수,68
405,그림,67
406,남양주,67
407,입장,67
408,스팟,67
409,이제,67
410,기념,67
411,데크,67
412,오르막,66
413,너비아니,66
414,동생,66
415,곱빼기,66
416,움집,66
417,카누,66
418,남자,66
419,버섯,66
420,모양,66
421,실전,66
422,오픈,65
423,법수치,65
424,양양읍,65
425,이후,65
426,경우,65
427,마리,65
428,동해안,64
429,스쿨,64
430,고고,64
431,현남면,64
432,부분,64
433,실패,63
434,비수기,62
435,사이트,62
436,건물,61
437,스포츠,61
438,구입,61
439,제공,61
440,현장,61
