,word,counted
0,낙산,4550
1,양양,4440
2,호텔,2251
3,바다,2110
4,비치,1889
5,여행,1779
6,해변,1516
7,낙산해수욕장,1502
8,낙산사,1447
9,속초,1309
10,맛집,1029
11,횟집,973
12,낚시,742
13,예약,692
14,사람,668
15,동해,645
16,대게,597
17,숙소,596
18,게스트,578
19,해수욕장,566
20,파티,551
21,강현면,511
22,아침,499
23,카페,498
24,추천,480
25,가족,474
26,식당,451
27,조식,451
28,일출,429
29,날씨,427
30,이용,425
31,게스트하우스,420
32,여름,400
33,배낚시,387
34,고기,383
35,아이들,372
36,처음,365
37,느낌,361
38,커피,350
39,참고,345
40,거리,339
41,하우스,336
42,가격,333
43,준비,326
44,저녁,323
45,구이,319
46,바람,316
47,파도,312
48,근처,300
49,제가,298
50,돼지갈비,297
51,전화,294
52,주차장,294
53,사장,293
54,보니,293
55,바닷가,292
56,기분,287
57,모습,282
58,객실,282
59,참가자,282
60,구경,280
61,생선,275
62,친구,274
63,리조트,274
64,만족,272
65,매운탕,271
66,화장실,269
67,만원,266
68,새우,265
69,자리,265
70,체험,264
71,모래,262
72,맞이,259
73,후기,257
74,가자미,255
75,마을,253
76,지도,248
77,마음,247
78,코스,244
79,수평선,244
80,다음,242
81,마지막,242
82,사실,241
83,이랑,241
84,시작,235
85,서울,232
86,바다낚시,230
87,마운틴뷰,228
88,식사,226
89,분위기,223
90,풍경,220
91,공간,219
92,요즘,216
93,숙박,214
94,반찬,212
95,안녕하세요,208
96,침대,206
97,무료,205
98,주변,205
99,아이,205
100,겨울,203
101,주차,203
102,서핑,202
103,조대,201
104,캠핑,200
105,마리,199
106,사용,198
107,완전,198
108,이동,198
109,장소,197
110,한잔,197
111,음식,194
112,기본,194
113,강릉,193
114,방문,189
115,검색,187
116,저장,186
117,체크인,185
118,금강산,183
119,해수,182
120,편의점,181
121,설악,180
122,주말,180
123,서비스,179
124,휴가,177
125,사우나,177
126,라면,177
127,출발,177
128,홍게,175
129,보기,175
130,입구,174
131,테이블,174
132,친절,174
133,운영,172
134,오랜만,172
135,동해안,172
136,설악산,171
137,버스,171
138,스팅,170
139,제일,170
140,막국수,169
141,시설,169
142,경우,168
143,그런지,168
144,콘도,166
145,힐링,165
146,소개,163
147,여름휴가,161
148,로비,160
149,엄마,159
150,놀이,158
151,조금,157
152,최고,157
153,커플,157
154,오징어,157
155,미리,155
156,의상대,154
