,word,counted
0,서핑,6278
1,양양,6060
2,해변,3495
3,동산,2248
4,바다,2242
5,강습,1887
6,비치,1801
7,게스트,1531
8,파도,1494
9,죽도,1470
10,해수욕장,1327
11,서프,1276
12,하우스,1177
13,사람,1109
14,낚시,1002
15,리조트,997
16,카페,927
17,여행,912
18,버거,894
19,파티,783
20,우리,774
21,속초,749
22,보드,731
23,이곳,714
24,인구,709
25,동해,709
26,현남면,677
27,저희,673
28,맛집,616
29,진행,596
30,하나,571
31,여기,569
32,가능,531
33,주말,506
34,추천,506
35,여름,496
36,이용,485
37,고기,481
38,날씨,478
39,시작,476
40,플레이스,472
41,서퍼,461
42,펜션,450
43,하조대,444
44,예약,439
45,저장,437
46,느낌,435
47,호텔,430
48,장소,429
49,파마,426
50,강사,420
51,친구,410
52,스팟,405
53,바베큐,402
54,캠핑,402
55,배낚시,399
56,바다낚시,396
57,모습,395
58,가족,393
59,다음,393
60,전화,393
61,분위기,375
62,강릉,372
63,준비,368
64,아침,356
65,방문,355
66,처음,355
67,저녁,350
68,자리,349
69,최고,342
70,아이,340
71,커피,338
72,초보,334
73,바닷가,332
74,낙산,332
75,운영,330
76,참고,318
77,서울,314
78,풍경,310
79,음식,307
80,치즈,306
81,사이드,305
82,교육,303
83,수제,300
84,안녕,298
85,체험,296
86,팝업,296
87,타임,293
88,하루,292
89,가격,286
90,마을,286
91,여유,284
92,정보,283
93,지도,279
94,맥주,275
95,전망대,274
96,파머,273
97,숙소,270
98,발리,268
99,음료,266
100,사장,265
101,구경,264
102,유명,264
103,스키,257
104,근처,256
105,이동,253
106,바람,252
107,공간,251
108,축제,251
109,수평선,249
110,안전,248
111,주변,248
112,동산항,248
113,거리,247
114,일출,246
115,남애항,246
116,출발,238
117,관심,238
118,연습,236
119,테이크,236
120,참가자미,233
121,송이,232
122,오프,231
123,버스,229
124,테이블,226
125,마음,225
126,상세,223
127,모래,222
128,동산리,220
129,건물,220
130,소개,220
131,조항,220
132,객실,214
133,오션,212
134,머스,210
135,설악,208
136,코스,208
137,포스팅,207
138,키친,206
139,슈트,206
140,서피,204
141,강원,203
142,입구,202
143,지정,200
144,대표,200
145,샤워,199
146,수트,198
147,기분,197
148,자세,197
149,가자미,196
150,포인트,195
151,하늘,193
152,경우,189
153,방법,187
154,아래,186
155,필요,185
156,터미널,184
157,개인,183
158,설명,181
159,식사,180
160,언니,179
161,식당,179
162,음식점,179
163,화장실,178
164,남애,178
165,주문진,178
166,특구,176
167,지역,174
168,마리,174
169,토르,174
170,힐링,173
171,소리,173
172,사용,172
173,오빠,172
174,텐트,171
175,민박,171
176,시설,171
177,추가,170
178,선택,166
179,이름,166
180,이야기,164
181,걱정,163
182,블루,162
183,여성,162
184,성공,161
185,누구,161
186,조개,160
187,친절,160
188,기대,160
189,바위,159
190,휴게소,159
191,소나무,157
192,스타,157
193,방파제,156
194,내부,155
195,한서,155
196,햄버거,155
197,한잔,155
198,최신,153
199,어디,153
200,주차장,151
201,코스트,151
202,오후,151
203,주소,150
204,이론,150
205,동네,150
206,크기,149
207,이유,148
208,패들링,146
209,폴더,146
210,토요일,146
211,확인,146
212,수심,146
213,동안,146
214,터널,145
215,토리,144
216,라이,144
217,하와,142
218,이언,140
219,이웃,140
220,인원,140
221,다이빙,138
222,문화,138
223,장비,137
224,열정,136
225,사이,135
226,오랜만,135
227,감사,135
228,시장,135
229,무료,134
230,촬영,133
231,주차,132
232,단체,132
233,판매,132
234,소스,131
235,점심,130
236,인테리어,129
237,겨울,129
238,마지막,129
239,오전,128
240,침대,128
241,가을,128
242,도로,128
243,산책,127
244,도정,127
245,치킨,126
246,대여,125
247,대구,125
248,고성,125
249,요즘,125
250,기억,125
251,휴가,124
252,오픈,123
253,번호,123
254,계획,122
255,춘천,122
256,웨이크,122
257,마무리,122
258,성수기,122
259,선상,122
260,숙박,121
261,전문,120
262,행복,120
263,낙산사,119
264,동영상,119
265,지금,119
266,실내,118
267,검색,118
268,후기,117
269,새벽,117
270,세트,117
271,조성,117
272,휴휴,116
273,작년,116
274,인기,116
275,메뉴판,115
276,지점,115
277,야외,115
278,혼자,114
279,순간,113
280,브레이크,113
281,수업,112
282,고민,112
283,금요일,112
284,말씀,112
285,특화,111
286,자유,109
287,만큼,109
288,중간,108
289,설치,107
290,수산항,107
291,뭔가,106
292,출항,106
293,매력,106
294,사업,106
295,영상,105
296,학교,104
297,영업,104
298,다양,104
299,구간,104
300,불편,103
301,용일,103
302,남자,103
303,추진,101
304,경포대,101
305,프라이빗,101
306,루프,100
307,렌탈,100
308,자연,99
309,거기,99
310,추억,99
311,기본,98
312,설악산,98
313,한국,98
314,여름휴가,98
315,강추,97
316,계곡,97
317,안내,97
318,태풍,97
319,패티,96
320,지구,96
321,동호,96
322,해양,95
323,항구,95
324,등대,95
325,재미,95
326,공원,94
327,종류,94
328,계단,94
329,각종,94
330,여자,94
331,이것,94
332,사랑,94
333,엄마,94
334,운동,93
335,서비스,93
336,노래,93
337,워크,93
338,가지,92
339,동생,92
340,막국수,92
341,셔틀버스,92
342,물회,91
343,바비큐,91
344,정동진,91
345,인생,91
346,왕복,91
347,나무,90
348,수산,90
349,본격,90
350,블로그,90
351,이거,89
352,대부분,89
353,대명,89
354,이국,89
355,오산,88
356,데크,88
357,전용,88
358,이건,87
359,마련,87
360,프로,87
361,기사문,86
362,현장,86
363,제한,86
364,네이버,85
365,덕분,85
366,물놀이,85
367,예전,85
368,가게,85
369,중앙,85
370,국내,84
371,아들,84
372,고속도로,84
373,나름,84
374,할인,84
375,문의,84
376,새우,84
377,주인장,84
378,저흰,84
379,짬뽕,84
380,입수,83
381,테라스,83
382,그림,83
383,실전,83
384,전경,83
385,라면,82
386,일반,82
387,꿀맛,82
388,관광객,82
389,홍보,82
390,위험,82
391,구매,82
392,핑크,82
393,전국,82
394,단위,82
395,오른쪽,82
396,인승,81
397,동반,81
398,독점,81
399,경험,81
400,남녀노소,81
401,물치,80
402,파인애플,80
403,상태,80
404,부분,80
405,이제,80
406,금액,80
407,공연,79
408,포토,79
409,중요,79
410,지상,79
411,바닷물,79
412,명소,79
413,횟집,79
414,모래사장,78
415,놀이,78
416,이때,78
417,회로,78
418,도미,78
419,활동,77
420,체크인,77
421,페스티벌,77
422,주민,77
423,타코,77
424,아빠,76
425,머리,76
426,레저,76
427,나라,76
428,연인,76
429,이게,75
430,영비,75
431,취향,75
432,보통,75
433,대진항,75
434,조금,75
435,수영,75
436,규모,75
437,여긴,74
438,이전,74
439,기사문항,74
440,방향,74
441,만족,74
442,요기,74
443,센스,74
444,동해안,73
445,양송이,73
446,미터,73
447,동호리,73
448,피자,73
449,음악,73
450,소주,73
451,사항,72
452,정자,72
453,커플,72
454,정리,72
455,무엇,72
456,베이컨,71
457,해안,71
458,개장,70
459,스포츠,70
460,연휴,70
461,편안,69
462,종일,69
463,완전,69
464,남편,69
465,라떼,69
466,시즌,69
467,구이,69
468,사실,68
469,강아지,68
470,선생,68
471,스카이,68
472,비교,67
473,옛날,67
474,감자튀김,67
475,공유,67
476,천국,67
477,어링,66
478,왼쪽,66
479,언제,66
480,실론,66
481,지원,66
482,수준,66
483,떼보,66
484,훈련,65
485,의자,65
486,부동산,65
487,다리,65
488,아보카도,64
489,야영장,64
490,입맛,64
491,발견,64
492,과정,64
493,시외버스,64
494,발전,64
495,노을,64
496,실력,64
497,강습생,64
498,사이트,64
499,홍천,64
500,평일,63
501,배경,63
502,자미,63
503,모양,63
504,요금,63
505,이후,63
506,생활,63
507,고고,63
508,필수,63
509,기초,62
510,연곡,62
511,사고,62
512,손님,62
513,텐데요,62
514,구름,62
515,인구리,61
516,여행지,61
517,기회,61
518,전망,61
519,모임,61
520,텐데,61
521,관리,61
522,압류,61
523,일상,61
524,요리,60
525,강사진,60
526,포함,60
527,세상,60
528,휴식,60
