,word,counted
0,양양,4353
1,해변,1846
2,속초,1704
3,바다,1522
4,물치항,1270
5,서핑,929
6,마켓,922
7,여행,883
8,낚시,844
9,해수욕장,824
10,도루묵,766
11,사람,673
12,비치,661
13,카페,566
14,파도,525
15,강현면,518
16,동해,459
17,맛집,439
18,가족,436
19,등대,424
20,축제,396
21,구경,369
22,설악,366
23,일출,357
24,거리,339
25,추천,336
26,칼국수,317
27,설악산,315
28,주말,313
29,대포항,310
30,송이,308
31,호텔,306
32,이용,303
33,모습,299
34,날씨,295
35,여름,295
36,우미,290
37,저녁,289
38,아침,287
39,커피,278
40,근처,277
41,배낚시,275
42,장소,274
43,처음,272
44,시작,271
45,낙산,267
46,낙산사,262
47,가격,261
48,리조트,261
49,아파트,253
50,고기,252
51,코스,251
52,준비,250
53,센터,248
54,강습,248
55,저장,242
56,사장,235
57,치비,233
58,서울,227
59,풍경,225
60,동해안,224
61,식당,223
62,바다낚시,221
63,오션,220
64,전화,217
65,숙소,213
66,강릉,211
67,이랑,210
68,체험,208
69,요즘,206
70,제가,204
71,느낌,204
72,지역,202
73,주차장,200
74,조대,200
75,오픈,198
76,한곳,198
77,설렁탕,195
78,지도,194
79,예약,193
80,후진항,191
81,주변,190
82,리버,190
83,아이들,189
84,.com,189
85,일요일,185
86,국물,182
87,자리,180
88,주택,179
89,겨울,178
90,공원,177
91,가자미,174
92,소개,172
93,모래,169
94,튀김,168
95,사실,166
96,바닷가,166
97,생활,166
98,운영,165
99,보기,165
100,수평선,164
101,시장,164
102,마음,163
103,아빠,162
104,정암,161
105,보드,157
106,다음,156
107,캠핑,156
108,하늘,151
109,보니,151
110,마을,149
111,터미널,148
112,주차,147
113,만원,147
114,출발,146
115,오후,146
116,판매,145
117,핸드,144
118,관심,144
119,구이,143
120,친구,143
121,완전,143
122,진행,140
123,시설,140
124,횟집,140
125,참고,139
126,입구,137
127,사용,136
128,방문,136
129,바람,135
130,항구,133
131,스팅,132
132,소리,132
133,도로,132
134,정보,132
135,감사,132
136,막국수,131
137,음식,131
138,고성,131
139,동해대로,131
140,김치,131
141,강선,129
142,기분,128
143,이동,127
144,주문진,126
145,예정,126
146,얼마,126
147,버스,126
148,죽도,125
149,하우스,124
150,인구,123
151,산책,122
152,계곡,121
153,이름,120
154,참가자,119
155,활어,119
156,매운탕,118
157,정암리,116
158,운동,115
159,가지,115
160,연어,114
161,방파제,114
162,만세,113
163,삼척,112
164,아이,112
165,의자,111
166,포인트,110
167,강원,110
168,생선,109
169,중간,109
170,마리,108
171,토요일,107
172,인근,107
173,개인,107
174,이제,106
175,하루,106
176,조금,105
177,안녕하세요,105
178,셀러,105
179,공간,105
180,최고,104
181,그런지,103
182,동안,102
183,개통,102
184,휴가,102
185,오징어,102
186,휴게,101
187,자전거,101
188,지금,101
189,엄마,101
190,스콘,98
191,오랜만,98
192,점심,98
193,고속도로,97
194,녀석,97
195,화장실,97
196,무료,97
197,분양,97
198,아래,97
199,마지막,97
200,먹거리,97
201,규모,97
202,새벽,96
203,맞이,96
204,행복,96
205,분위기,96
206,관광객,96
207,선상,95
208,내부,95
209,구입,95
210,만큼,95
211,오색,95
212,해주시,95
213,자연,95
214,부동산,94
215,사이,94
216,치아바타,94
217,안전,93
218,빵집,92
219,기대,92
220,샌드위치,92
221,명소,92
222,반찬,91
223,지구,91
224,경우,91
225,선택,91
226,대표,91
227,식사,90
228,-1,89
229,물놀이,88
230,닭강정,88
231,호리,87
232,말씀,87
233,기억,87
234,속초시,87
235,인기,87
236,여유,86
237,아들,86
238,혼자,86
239,해돋이,86
240,허니,85
241,포장,85
242,한잔,85
243,예전,85
244,단지,84
245,방향,84
246,기본,83
247,추억,83
