,word,counted
0,양양,4555
1,속초,2483
2,수산,2473
3,시장,2121
4,바다,1918
5,여행,1823
6,체험,1550
7,해변,1237
8,낚시,1035
9,펜션,959
10,횟집,955
11,사람,946
12,우리,938
13,비치,924
14,수산항,854
15,하나,816
16,주문진,793
17,맛집,765
18,물회,736
19,마을,734
20,저희,682
21,오징어,674
22,동해,667
23,가족,663
24,강릉,633
25,아이,631
26,서핑,569
27,여기,567
28,일출,548
29,어촌,548
30,관광,540
31,해수욕장,518
32,하조대,518
33,닭강정,515
34,호텔,514
35,숙소,508
36,다음,499
37,아침,492
38,계곡,478
39,마리,469
40,가격,466
41,연어,464
42,추천,439
43,이곳,437
44,리조트,436
45,구경,416
46,음식,413
47,대포항,412
48,전화,408
49,매운탕,406
50,친구,404
51,여름,399
52,출발,399
53,식당,394
54,예약,390
55,배낚시,389
56,느낌,383
57,중앙,380
58,커피,380
59,휴게소,377
60,서울,369
61,요트,368
62,장소,368
63,낙산,368
64,저장,365
65,저녁,357
66,포스팅,357
67,생선,351
68,주변,347
69,이용,343
70,거리,343
71,카누,342
72,낙산사,340
73,해산물,339
74,가능,339
75,시작,338
76,유명,335
77,문어,333
78,지도,333
79,처음,331
80,고기,328
81,식사,328
82,모습,326
83,내음,325
84,근처,322
85,날씨,319
86,상세,308
87,들꽃,307
88,천골,307
89,사장,304
90,스카이,302
91,주차장,298
92,바위,297
93,투명,295
94,마음,292
95,코스,290
96,바다낚시,289
97,참고,286
98,자리,282
99,주말,280
100,카페,278
101,준비,277
102,기분,276
103,새우,270
104,방문,266
105,튀김,265
106,방파제,263
107,주차,259
108,센터,259
109,홍게,258
110,만석,254
111,가자미,253
112,플레이스,251
113,파도,248
114,포장,248
115,바닷가,246
116,엄마,245
117,전망대,244
118,남애항,242
119,팝업,242
120,정보,237
121,점심,236
122,소요,234
123,겨울,233
124,마지막,232
125,산책,229
126,풍경,227
127,자연,226
128,등대,224
129,구이,221
130,설악산,221
131,소개,220
132,바람,218
133,막국수,217
134,하우스,217
135,물놀이,212
136,아빠,206
137,이동,202
138,하루,201
139,수평선,197
140,대여,197
141,한잔,196
142,물고기,195
143,하늘,193
144,행복,190
145,축제,189
146,손양면,188
147,버스,187
148,서비스,187
149,선상,187
150,문어빵,187
151,반찬,187
152,휴휴,183
153,이야기,183
154,대게,181
155,입구,180
156,안전,179
157,이름,176
158,가게,176
159,새우튀김,175
160,설악,174
161,전복,173
162,멍게,173
163,참가자미,173
164,가지,172
165,게스트,171
166,어디,171
167,최고,170
168,동안,170
169,진행,167
170,선택,165
171,진항,164
172,새벽,164
173,만족,163
174,속초시,163
175,송이,163
176,국물,162
177,광어,161
178,운영,160
179,공원,159
180,죽도,155
181,오후,153
182,강원,153
183,관심,153
184,기본,152
185,가슴,152
186,기사문항,152
187,아들,152
188,오색,152
189,기억,150
190,인증,150
191,여름휴가,149
192,감사,149
193,관리,149
194,분위기,147
195,호떡,147
196,여유,146
197,남대천,146
198,휴가,146
199,먹거리,146
200,문의,146
201,활어,146
202,검색,145
203,경포대,145
204,사랑,144
205,추가,144
206,어업,143
207,추억,142
