,word,counted
0,양양,7075
1,서핑,4944
2,인구,3870
3,해변,3595
4,죽도,1819
5,맛집,1707
6,막국수,1501
7,펜션,1475
8,바다,1475
9,강습,1128
10,해수욕장,1019
11,사람,962
12,하우스,951
13,파티,951
14,게스트,944
15,서프,938
16,여행,903
17,카페,879
18,여기,829
19,현남면,799
20,파도,798
21,플리즈,707
22,바베큐,625
23,우리,622
24,양리,614
25,보드,587
26,버스,547
27,음식,537
28,맥주,512
29,느낌,500
30,추천,484
31,여름,480
32,사장,477
33,분위기,472
34,저희,466
35,친구,458
36,하나,456
37,가능,454
38,진행,448
39,서울,444
40,가격,441
41,다음,437
42,이용,427
43,예약,416
44,판매,386
45,커피,380
46,서퍼,380
47,저녁,376
48,식당,372
49,음식점,369
50,아침,366
51,전화,362
52,비치,358
53,숙소,355
54,근처,342
55,숙박,324
56,날씨,318
57,힐링,306
58,고기,306
59,거리,302
60,소주,298
61,운영,297
62,자리,295
63,시작,290
64,구경,288
65,강릉,279
66,동해,278
67,이곳,278
68,공간,277
69,핫도그,274
70,건물,274
71,바닷가,273
72,유명,273
73,하조대,268
74,준비,267
75,모습,262
76,터미널,260
77,처음,258
78,번호,250
79,마음,248
80,포스팅,243
81,설렁탕,242
82,안녕,241
83,가족,240
84,플레이스,237
85,인구리,234
86,속초,234
87,스파,232
88,패키지,223
89,객실,223
90,캠핑,219
91,인테리어,219
92,식사,218
93,강사,216
94,낚시,215
95,장소,215
96,피자,214
97,강원,212
98,호텔,204
99,이동,203
100,양죽,203
101,블루,203
102,요즘,202
103,버거,202
104,테이블,202
105,슈트,201
106,소개,201
107,아이,200
108,실내,200
109,코스트,196
110,주말,195
111,짬뽕,194
112,저장,190
113,술집,189
114,방문,188
115,사용,186
116,지도,185
117,조식,184
118,전망대,181
119,하늘,181
120,전체,180
121,출발,180
122,개인,179
123,여자,178
124,서피,176
125,아래,176
126,후기,175
127,내부,173
128,메밀,172
129,테라스,172
130,주변,171
131,한우,170
132,마을,169
133,교육,167
134,바람,166
135,고민,164
136,기분,164
137,겨울,164
138,가게,163
139,배달,162
140,치킨,161
141,참고,159
142,한잔,159
143,주소,158
144,셀프,157
145,오픈,156
146,변인,155
147,오전,154
148,수제,152
149,다이빙,152
150,오후,152
151,안전,152
152,휴휴,152
153,보니타,150
154,타임,149
155,팥빙수,149
156,어디,149
157,최고,148
158,남애항,147
159,점심,146
160,스팟,146
161,주문진,145
162,걱정,145
163,여유,145
164,제공,144
165,언니,144
166,뭔가,143
167,수트,142
168,문화,141
169,편의점,140
170,모래,140
171,행복,139
172,공연,139
173,지역,138
174,산책,137
175,그때,136
176,하루,136
177,침대,135
178,화장실,135
179,재료,135
180,음료,134
181,빙수,132
182,풍경,131
183,팝업,129
184,마지막,129
185,사이,128
186,작년,128
187,초보,128
188,영업,127
189,감성,127
190,파리,126
191,휴가,126
192,커플,124
193,스타,123
194,확인,123
195,상세,123
196,입구,123
197,먹거리,122
198,기억,122
199,친절,122
200,스파펜,121
201,이유,121
202,얘기,120
203,파스타,120
204,샐러드,118
205,이야기,116
206,만족,115
207,나름,115
208,도정,115
209,반찬,115
210,안주,115
211,다양,114
212,기본,114
213,라면,114
214,남자,114
215,물놀이,113
216,클릭,113
217,요리,113
218,일본,113
219,나미,113
220,단체,112
221,낙산,112
222,동안,112
223,동네,111
224,동호,110
225,성수기,110
226,오션,110
227,오토,109
228,기대,109
229,일출,109
230,치즈,108
231,수영장,108
232,블로그,107
233,경우,107
234,특정,107
235,감자,107
236,시외버스,107
237,연습,107
238,스쿠버,106
239,이미지,106
240,잠실역,105
241,게임,105
242,텐트,105
243,검색,103
244,시설,103
245,등등,103
246,이름,103
247,운행,102
248,프로,101
249,수육,101
250,국내,100
251,닭강정,99
252,횟집,99
253,얼마,99
254,필요,99
255,가드,99
256,휴게소,98
257,투어,98
258,오랜만,98
259,머스,97
260,방파제,97
261,대표,97
262,간판,97
263,키친,96
264,배식구,95
