,word,counted
0,조조,4192
1,사람,3634
2,모양,2864
3,양양,2142
4,원소,1783
5,태조,1694
6,시작,1675
7,공격,1653
8,유비,1442
9,군사,1436
10,바다,1403
11,전진,1345
12,이때,1313
13,마음,1283
14,여행,1186
15,자신,1184
16,나라,1170
17,격파,1137
18,이후,1085
19,제기,1083
20,이름,1052
21,황제,1049
22,속초,1037
23,장수,1013
24,이야기,1000
25,모습,992
26,해변,980
27,중국,973
28,동진,949
29,지역,946
30,다음,938
31,석호,935
32,여포,916
33,자리,911
34,아들,904
35,처음,881
36,선사,872
37,소리,861
38,후조,859
39,사실,859
40,석륵,848
41,관우,845
42,폭포,791
43,시대,788
44,전투,781
45,계곡,770
46,환온,746
47,지금,736
48,동해,719
49,당시,718
50,마을,713
51,항복,709
52,서쪽,704
53,서울,702
54,동쪽,701
55,지도,701
56,코스,700
57,상황,694
58,세력,691
59,정벌,691
60,손권,686
61,형주,685
62,사망,684
63,수리,679
64,원상,671
65,바람,664
66,아래,661
67,지방,659
68,출발,658
69,백성,652
70,천자,643
71,거리,638
72,세상,638
73,토벌,635
74,바위,629
75,천하,628
76,대답,618
77,문제,613
78,반란,612
79,여름,612
80,아침,608
81,미국,603
82,산행,593
83,진행,589
84,한국,587
85,강릉,582
86,가지,575
87,주둔,574
88,포위,567
89,겨울,557
90,준비,551
91,일본,551
92,불교,547
93,시기,540
94,무리,539
95,능선,537
96,진군,535
97,사이,535
98,동안,534
99,함락,533
100,군대,528
101,하늘,528
102,이용,520
103,행사,513
104,병사,509
105,인물,505
106,기병,501
107,부분,497
108,경우,486
109,서핑,486
110,낚시,485
111,남쪽,482
112,임명,481
113,동탁,480
114,마지막,477
115,나무,476
116,교육,476
117,방향,473
118,멸망,463
119,가족,462
120,기록,458
121,필요,457
122,참수,456
123,조인,455
124,도로,455
125,낙양,454
126,장군,453
127,사용,452
128,파도,450
129,친구,449
130,중심,443
131,사회,442
132,낙산사,437
133,설악,433
134,삼국지,433
135,보니,432
136,중간,427
137,원술,426
138,인해,424
139,성공,421
140,전쟁,420
141,성한,419
142,계획,418
143,설치,417
144,정리,417
145,이전,417
146,사랑,416
147,안정,416
148,역사,414
149,순욱,412
150,태수,408
151,.com,407
152,북쪽,405
153,경계,404
154,하루,403
155,마초,399
156,사단,399
157,그때,399
158,평정,396
159,제갈량,394
160,운동,388
161,적의,387
162,공연,387
163,머리,387
164,구간,385
165,근처,384
166,군량,383
167,관중,383
168,낙산,382
169,신라,381
170,원담,380
171,원래,377
172,장안,375
173,해수욕장,375
174,가운데,374
175,대표,371
176,체험,370
177,느낌,368
178,저족,367
179,계책,366
180,화채,366
181,걱정,365
182,최초,364
183,독립,363
184,자연,363
185,사업,362
186,이동,361
187,설악산,361
188,신하,361
189,세계,361
190,수도,360
191,차량,360
192,조정,359
193,조선,359
194,구원,358
195,주변,358
196,선비,358
197,정상,357
198,서주,355
199,우리나라,354
200,부견,350
201,전국,349
202,결정,348
203,다리,348
204,활동,348
205,계속,348
206,모용황,346
207,문화,345
208,싸움,345
209,나이,341
210,관계,340
211,대파,339
212,얼굴,339
213,상태,338
214,학교,336
215,동해안,336
216,승리,336
217,10월,335
218,서진,334
219,시절,334
220,순유,332
221,시장,332
222,정부,331
223,화상,331
224,결과,330
225,제가,330
226,능력,329
227,부대,328
228,대부분,328
229,황하,327
230,의미,327
231,둔전,325
232,날씨,325
233,한수,324
234,도움,323
235,의심,323
236,미션,322
237,의지,322
238,시설,319
239,형제,318
240,공략,318
241,식사,318
242,노래,318
243,7월,316
244,아버지,316
245,양주,316
246,관리,315
247,기회,315
248,자유,314
249,추격,313
250,입구,313
251,석준,311
252,대신,310
253,차지,310
254,실패,309
255,말씀,309
256,인재,308
257,북방,308
258,최고,307
259,규모,307
260,모두,306
261,연주,306
262,태자,303
263,부처,302
264,진격,300
265,대전,300
266,저녁,299
267,발생,299
268,점령,296
269,성사,295
270,관광,294
271,개발,294
272,통일,294
273,밤중,294
274,대사,293
275,그림,293
276,일화,293
277,이유,292
278,장비,292
279,방법,292
280,고성,291
281,방문,291
282,정월,290
283,출생,289
284,전연,289
285,퇴각,288
286,설명,288
287,장소,287
288,참고,287
289,노력,285
290,차례,285
291,북부,285
292,정비,282
293,생활,282
294,5월,282
295,9월,281
296,프랑스,281
297,국가,280
298,부족,278
299,기분,278
300,우금,278
301,표현,278
302,해안,277
303,아이들,277
304,사상,275
305,황위,274
306,고려,274
307,8월,274
308,소식,273
309,공원,273
310,구름,273
311,중앙,272
312,연결,271
313,요양,270
314,도시,269
315,과정,269
316,자전거,269
317,부산,269
318,위서,269
319,정치,267
320,요익중,266
321,정책,266
322,호텔,266
323,음식,265
324,추사,265
325,무력,265
326,연구,264
327,발부,264
328,백호,263
329,조직,263
330,사건,262
331,출신,262
332,조금,262
333,내용,262
334,이제,260
335,내부,260
336,모반,259
337,관도,258
338,화북,258
339,대통령,258
340,기술,258
341,이다,257
342,춘천,256
343,집안,256
344,발전,255
345,경제,254
346,강원,253
347,땅굴,251
348,양구,251
349,혼자,249
350,염민,249
351,동군,249
352,장로,248
353,장강,248
354,휴식,248
355,고개,247
356,전사,247
357,선생,247
358,휴게,246
359,개인,246
360,부인,246
361,조사,245
362,버스,244
363,파견,244
364,조숭,244
365,추천,243
366,영향,243
367,마련,243
368,구경,242
369,이자,242
370,반대,242
371,평화,241
372,서황,241
