,word,counted
0,이곳,7340
1,바다,6626
2,우리,6603
3,해수욕장,6140
4,강릉,4814
5,다리,4447
6,주변,4445
7,소개,4441
8,호수,3846
9,입구,3603
10,경포호,3480
11,국도,3254
12,코스,3245
13,경포대,3120
14,경포,3002
15,식사,2882
16,해변,2804
17,안내,2760
18,마을,2655
19,홍장,2640
20,일행,2640
21,동해,2544
22,바위,2417
23,모습,2411
24,바닷가,2403
25,터미널,2402
26,사람,2291
27,설치,2166
28,정동진,2162
29,조각품,2161
30,강문,2160
31,의미,2160
32,낭만,2045
33,시장,1926
34,거리,1924
35,해파,1922
36,옥계,1920
37,공원,1810
38,시작,1806
39,자리,1803
40,오른쪽,1800
41,초당,1800
42,점심,1680
43,습지,1680
44,모텔,1680
45,심곡항,1680
46,하나,1578
47,도로,1562
48,출발,1561
49,속초,1475
50,정동진역,1440
51,주문진,1440
52,육지,1440
53,남진,1440
54,모래시계,1440
55,남항진,1440
56,유명,1324
57,진입,1321
58,구간,1321
59,콘도,1320
60,박신,1320
61,사이,1204
62,감상,1202
63,모양,1202
64,아침,1202
65,모래,1201
66,유래,1201
67,커피,1201
68,전시,1201
69,솔밭,1200
70,노인,1200
71,옛날,1200
72,중앙,1200
73,아취,1200
74,시외버스,1200
75,인항,1200
76,시인,1200
77,해안,1100
78,동해안,1088
79,연결,977
80,리조트,965
81,방향,964
82,박물관,963
83,파랑,963
84,이용,962
85,모래사장,962
86,명칭,962
87,구경,962
88,태양,961
89,서낭당,961
90,크루즈,961
91,설명,961
92,그림,961
93,내용,961
94,자태,960
95,형상,960
96,배치,960
97,하루,960
98,가게,960
99,포구,960
100,교문,960
101,안내판,960
102,심곡,960
103,남행,960
104,산길,960
105,동서,960
106,무덤,960
107,허난설헌,960
108,민박,960
109,드라이브,960
110,일출,846
111,북쪽,845
112,가도,844
113,지금,844
114,건물,843
115,남쪽,842
116,지필,840
117,배경,840
118,낙산,740
119,설악,739
120,지역,737
121,문화,732
122,일부,731
123,전설,729
124,형성,727
125,자연,726
126,석호,726
127,바람,726
128,하늘,726
129,죽도,725
130,시비,724
131,이름,724
132,해돋이,724
133,어항,724
134,사랑,723
135,송림,722
136,여행,722
137,경관,722
138,금진,722
139,부사,722
140,나무,722
141,다음,721
142,모두,721
143,음식점,721
144,가운데,721
145,저녁,721
146,가슴,721
147,연곡,720
148,하우스,720
149,왼쪽,720
150,제어,720
151,송정,720
152,작품,720
153,두부,720
154,제작,720
155,조형물,720
156,미래,720
157,트레,720
158,계속,720
159,교산,720
160,안목,720
161,역할,720
162,잠수함,720
163,시문,720
164,탄생,720
165,여러분,720
166,코다리,720
167,부처,720
168,솔바람,720
169,나그네,720
170,장면,720
171,솟대,720
172,기념관,720
173,조화,720
174,관람료,720
175,조림,720
176,정자,610
177,비수기,608
178,여기,607
179,고성,605
180,가을,603
181,경치,603
182,과거,601
183,공간,601
184,강릉항,600
185,난전,600
186,진항,600
187,간판,600
188,양양,557
189,노래,493
190,신라,489
191,관광,489
192,부근,488
193,조선,487
194,이후,486
195,세대,486
196,전망대,485
197,여인,484
198,팔경,483
199,지점,483
200,비석,483
201,아래,482
202,거진,482
203,친구,482
204,북한,482
205,조성,482
206,최북단,482
207,동해시,482
208,주위,482
209,쉼터,482
210,집안,482
211,소나무,482
212,관광객,482
213,숙박,482
214,특별,482
215,이정표,481
216,전경,481
217,강릉시,481
218,통일,481
219,새벽,481
220,언덕,481
221,금강산,481
222,변화,481
223,주차장,481
224,데크,481
225,화상,481
226,공항,481
227,순간,481
228,사천,481
229,누구,481
230,안쪽,481
231,추억,481
232,차례,481
233,숙종,481
234,초교,481
235,물고기,480
236,허균,480
237,고교,480
238,부임,480
239,고속,480
240,침투,480
241,인공,480
242,게스트,480
243,헌화,480
244,성덕,480
245,합궁,480
246,장소,480
247,상당,480
248,진교,480
249,정동,480
250,지명,480
251,공존,480
252,결정,480
253,선박,480
254,행동,480
255,감격,480
256,왼편,480
257,상량문,480
258,밥상,480
259,활어,480
260,어머니,480
261,형태,480
262,신비,480
263,전면,480
264,경유,480
265,클럽,480
266,화로,480
267,가족,480
268,통과,480
269,초당동,480
270,입장료,480
271,정취,480
272,요즈음,480
273,소재,480
274,설정,480
275,여장,480
276,전망,480
277,중국,480
278,신리,480
279,율곡,480
280,고속버스,480
281,부자,480
282,자연사,480
283,시심,480
284,금진항,480
285,노래비,480
286,글씨,480
287,이이,480
288,중간,480
289,교룡,480
290,훗날,480
291,의자,480
292,방해,480
293,조홍기,480
294,식당,480
295,장치,480
296,군함,480
297,그곳,480
298,저동,480
299,인기,480
300,우등,480
301,경우,480
302,한반도,480
303,유람선,480
304,방산,480
305,돌섬,480
306,위험,480
307,비상,480
308,연인,480
309,흐름,480
310,상징,480
311,얼마,480
312,선조,480
313,등산,480
314,차선,480
315,고명주,480
316,사공,480
317,바우,480
318,우체통,480
319,하조대,397
320,객실,376
321,설악산,370
322,하광정,370
323,최대,369
324,대포항,368
325,동쪽,368
326,시설,366
327,기암괴석,364
328,가구,363
329,풍광,362
330,가지,362
331,고개,362
332,간성,362
333,관동팔경,362
334,새해,361
335,속도,361
336,연출,361
337,조각,361
338,명소,361
339,카페,361
340,방파제,361
341,길목,360
342,천학,360
343,분경,360
344,수도,360
345,유익,360
346,백사장,360
347,농촌,360
348,타리,360
349,피래,360
350,미시령,360
351,동명항,360
352,오죽헌,360
353,시내,360
354,해안가,360
355,하교,360
356,짚일,360
357,인구,259
358,문화재,258
359,남대천,257
360,성수기,256
361,시대,252
362,풍경,252
363,행정,252
364,교통,251
365,선사,249
366,태백산맥,249
367,고장,248
368,남북,248
369,초등,248
370,절경,248
371,기억,247
372,개설,247
373,지구,247
374,고려,247
375,봉포,246
376,주말,246
377,여자,246
378,천진,245
379,아내,245
380,수산,245
381,건립,245
382,당시,245
383,사용,245
384,마음,245
385,기념물,244
386,대표,244
387,비교,244
388,장관,244
389,안축,244
390,북평,244
391,날씨,244
392,한잔,244
393,한편,244
394,구역,244
395,기념비,243
396,관광지,243
397,오산,243
398,숙소,243
399,작업,243
400,발달,243
401,느낌,243
402,이야기,243
403,개발,243
404,얼굴,243
405,진행,243
406,하류,243
407,전국,243
408,파도,243
409,행사,243
410,소요,242
411,마지막,242
412,자기,242
413,무렵,242
414,대진,242
415,마라톤,242
416,근덕,242
417,변경,242
418,연구소,242
419,고기,242
420,정라,242
421,창건,242
422,그것,242
423,단오,242
424,기후,242
425,규모,242
426,우정,242
427,그때,242
428,캠핑,242
429,하천,242
430,철새,242
431,화랑,242
432,아이,242
433,대학교,242
434,원덕,242
435,한국,242
436,기쁨,242
437,조금,242
438,오독,242
439,함경도,241
440,야간,241
441,서식,241
442,특이,241
443,표지,241
444,바위섬,241
445,주민,241
446,운행,241
447,오호,241
448,고종,241
449,방법,241
450,즐거움,241
451,길주,241
452,혼자,241
453,다양,241
454,호텔,241
455,이때,241
456,골짜기,241
457,발길,241
458,기회,241
459,송강,241
460,유리,241
461,여름철,241
462,장난,241
463,감성,241
464,인근,241
465,강원,241
466,바닥,241
467,바닷물,241
468,정철,241
469,임원,241
470,평화,241
471,전체,241
472,수산항,241
473,양식,241
474,수관,241
475,기운,241
476,여성,241
477,해장국,241
478,명명,241
479,회원,241
480,서식지,241
481,관동별곡,241
482,명품,241
483,테마,241
484,도중,241
485,우암,241
486,버스,241
487,휴양지,241
488,정원,241
489,거울,241
490,광진,241
491,일원,241
492,조명,241
493,부부,241
494,문장,241
495,중요,241
496,수련,241
497,결국,241
498,남원,241
499,어제,240
500,볼거리,240
501,炊煙,240
502,명성,240
503,추지,240
504,구조,240
505,거북선,240
506,흥미,240
507,고향,240
508,오대양,240
509,신선,240
510,월계수,240
511,생태,240
512,명문,240
513,천하,240
514,취영,240
515,紙筆,240
516,집터,240
517,자곡,240
518,도령,240
519,동식물,240
520,장양순,240
521,해수,240
522,발전,240
523,시험장,240
524,풍천,240
525,물결,240
526,포획,240
527,야경,240
528,가치,240
529,성덕왕,240
530,인도교,240
531,생태학,240
532,문사,240
533,나룻배,240
534,시주,240
535,여객선,240
536,진공,240
537,표시,240
538,아르헨티나,240
539,보수,240
540,첫출발,240
541,일본,240
542,영진,240
543,업무,240
544,교태,240
545,호칭,240
546,등명,240
547,상부,240
548,위령탑,240
549,건너편,240
