,0,1,0,1,0,1
0,홍,NNP,홍천,NNG,홍천,Noun
1,천,NNP,에서,JKB,에서,Josa
2,에서,JKB,양양,NNP,양양,Noun
3,양양,NNP,으로,JKB,으로,Josa
4,으로,JKB,출발,NNG,출발,Noun
5,출발,NNG,롯데,NNP,롯데,Noun
6,롯데,NNP,리조트,NNG,리조트,Noun
7,리조트,NNP,속초,NNG,속초,Noun
8,속초,NNP,입,NNG,입,Noun
9,입,NNG,실전,NNG,실전,Noun
10,실전,NNG,",",SC,",",Punctuation
11,",",SP,아름다운,VA+ETM,아름다운,Adjective
12,아름답,VA,바다,NNG,바다,Noun
13,ㄴ,ETM,의,JKG,의,Josa
14,바다,NNG,정취,NNG,정취,Noun
15,의,JKG,를,JKO,를,Josa
16,정취,NNG,보,VV,보고,Noun
17,를,JKO,고,EC,잠시,Noun
18,보,VV,잠시,MAG,양양,Noun
19,고,EC,양양,NNP,물치,Verb
20,잠시,MAG,물치,NNG,해수욕장,Noun
21,양양,NNP,해수욕장,NNG,을,Josa
22,물,NNG,을,JKO,들렀다,Verb
23,치,NNB,들렀,VV+EP,.,Punctuation
24,해수욕장,NNP,다,EF,홍천,Noun
25,을,JKO,.,SF,소,Modifier
26,들르,VV,홍천,NNG,노벨,Noun
27,었,EP,소,NNG,비발디,Noun
28,다,EF,노벨,NNP,파크,Noun
29,.,SF,비발디,NNP,체크아웃,Noun
30,홍,NNP,파크,NNG,후,Noun
31,천,NNP,체크아웃,NNG,",",Punctuation
32,소,XPN,후,NNG,홍천,Noun
33,노벨,NNP,",",SC,양양,Noun
34,비발디,NNP,홍천,NNP,에,Josa
35,파크,NNP,양양,NNP,도착,Noun
36,체크아웃,NNP,에,JKB,할,Verb
37,후,NNG,도착,NNG,쯤,Noun
38,",",SP,할,XSV+ETM,",",Punctuation
39,홍,NNP,쯤,NNB,늘,Noun
40,천,NNP,",",SC,보던,Verb
41,양양,NNP,늘,MAG,속초,Noun
42,에,JKB,보,VV,해수욕장,Noun
43,도착,NNG,던,ETM,과는,Josa
44,하,XSV,속초,NNG,다르게,Adjective
45,ㄹ,ETM,해수욕장,NNG,조용하고,Adjective
46,쯤,NNB,과,JKB,바다,Noun
47,",",SP,는,JX,를,Josa
48,늘,MAG,다르,VA,전망,Noun
49,보,VV,게,EC,삼아,Verb
50,던,ETM,조용,XR,걷는,Verb
51,속초,NNP,하,XSA,산책길,Noun
52,해수욕장,NNP,고,EC,이,Josa
53,과,JKB,바다,NNG,예쁠것,Adjective
54,는,JX,를,JKO,같아,Adjective
55,다르,VA,전망,NNG,잠시,Noun
56,게,EC,삼,VV,들리고자,Verb
57,조용,XR,아,EC,차,Noun
58,하,XSA,걷,VV,를,Josa
59,고,EC,는,ETM,세운,Noun
60,바다,NNG,산책,NNG,『,Foreign
61,를,JKO,길,NNG,물치,Verb
62,전망,NNG,이,JKS,해변,Noun
63,삼,VV,예쁠,VA+ETM,/,Punctuation
64,아,EC,것,NNB,물치,Verb
65,걷,VV,같,VA,해수욕장,Noun
66,는,ETM,아,EC,』,Foreign
67,산책,NNP,잠시,MAG,바다,Noun
68,길이,NNP,들리,VV,를,Josa
69,예쁘,VA,고자,EC,보고,Noun
70,ㄹ,ETM,차,NNG,신난,Adjective
71,것,NNB,를,JKO,아이,Noun
72,같,VA,세운,VV+ETM,들,Suffix
73,아,EC,『,SY,은,Josa
74,잠시,MAG,물치,NNG,금새,Noun
75,들리,VV,해변,NNG,라도,Josa
76,고자,EC,/,SC,바다로,Noun
77,차,NNG,물치,NNG,들어갈,Verb
78,를,JKO,해수욕장,NNG,듯,Noun
79,세우,VV,』,SY,흥분,Noun
80,ㄴ,ETM,바다,NNG,상태,Noun
81,『,SS,를,JKO,@@,Punctuation
82,물,NNG,보,VV,추워,Adjective
83,치,NNB,고,EC,얘,Noun
84,해변,NNP,신난,NNP,들,Suffix
85,/,SP,아이,NNG,아,Josa
