,불용어
0,여기
1,가지
2,그렇다
3,최근
4,지난해
5,사용
6,때문
7,저녁
8,다시
9,정말
10,시작
11,오늘
12,가능하다
13,유명하다
14,좋아하다
15,소개
16,처음
17,위해
18,10
19,위치
20,강원도
21,사진
22,포스팅
23,상세
24,폴더
25,한번
26,조금
27,진짜
28,다음
29,아니다
30,입구
31,출발
32,정도
33,어떻다
34,날씨
35,이곳
36,도착
37,우리
38,이렇다
39,올해
40,라고
41,있다
42,하루
43,다른
44,같다
45,바로
46,여행
47,현재
48,없다
49,관련
50,많다
51,지도
52,저장
53,바다
54,안녕하다
55,해변
56,아침
57,지역
58,지금
59,마음
60,팝업
61,자리
62,이번
63,전화
64,맛있다
65,모두
66,모두이다
67,지난
68,이날
69,기준
70,레이스
71,주변
72,사람
73,장소
74,직접
75,하나
76,메뉴
77,추천
78,좋다
79,보고
80,역시
81,그냥
82,방문
83,타고
84,모습
85,시간
86,보기
87,준비
88,이용
89,이상
90,아주
91,가기
92,느낌
93,생각
94,가장
95,이제
96,시원하다
97,저희
