,0,0,0
0,같,하얀,하얀
1,춥,추워,추워
2,아프,같,신선하고
3,가깝,있,조용하고
4,이쁘,예쁜,예쁜
5,맛있,싸,좋구요
6,크,이쁜,있음
7,곱,아프,많은
8,많,맛있,이쁜것
9,힘들,빨간,맛있었고
10,다르,낯선,있었고
11,예쁘,부드러웠,많아서
12,그렇,많,대단하지요
13,아름답,힘들,같아
14,반갑,아름다운,많았고
15,빨갛,다르,좋다는
16,부드럽,예쁠,싱싱해
17,이렇,그렇,힘들다는
18,없,반가운,깨끗히
19,하얗,가까웠,많아
20,빠르,고울까,따뜻해지는
21,좋,큰,부드러웠으며
22,,없,빨간
23,,빠르,많지만
24,,좋,맛있는
25,,,신난
26,,,다르게
27,,,아니지만
28,,,싱싱했다
29,,,아름다운
30,,,특이했다
31,,,좋은
32,,,행복한
33,,,있다
34,,,사악하거나
35,,,아닌
36,,,빠르게
37,,,있는
38,,,있어
39,,,맛있게
40,,,있던
41,,,반가운
42,,,진정해
43,,,예쁠것
44,,,유명한
45,,,고울까
46,,,좋아하는
47,,,보들보들한
48,,,아프지
49,,,가까웠고
