,post_dates,title,full_text,url
0,2018-05-25,양양군청 공식블로그,"[' 양양 낙산 전진리 벽화마을 이제 날씨도 더워지면서 머지 않아 동해바다를 찾아 시원하면서도 멋진 피서를 즐기는 계절이 다가 오지요 동해안 피서지 중에서 가장 멋진곳 중 하나인 양양 낙산해변에도 많이들 찾게 될텐데 혹시라도 낙산해변 마을인 전진리에멋진 벽화골목이 있다는 것을 알고 있는지요 이곳 낙산 전진리에 있는 벽화마을은 대부분 많이들 모르고 있는듯 하여 이번에 낙산해변마을 전진리에 있는 벽화마을을 소개해 드리겠습니다 먼저 낙산해변의 전진리 벽화마을 골목에 들어서면 귀여운 돌고래가 벽을 뚫고 나오는 트릭아트가 눈에 들어 오는데 그 모습을 보면 정말로 실감나서 진짜로 벽을 뚫고 나오는 듯한 착각을 일으키게 합니다 그리고 낚시꾼이 펄펄 뛰는 싱싱한 고기를 낚아올리는 모습을 볼 수 있는데 이곳 낙산해변에서도 바다낚시로 멋진 시간을 보낼 수 있습니다 어촌마을 골목에 화사한 벽화를 그려넣어 활기찬 골목으로 만들었데 많은 홍보가 없어서인지 이곳을 찾는 관광객들은 이렇게 멋진 벽화골목이 있다는 것을 잘 모르는 듯 하였습니다 다음에 낙산해변에 오신다면 전진리의 멋진 벽화골목을 꼭 들리셔서 그동안 느껴보지 못했던 또다른 멋스러운 시간을 보내시기 바랍니다 낡고 허름한 담장이 화사한 꽃밭으로 변하였습니다 그리고 여느 벽화마을에서 볼 수 있는 천사의 날개 포토존도 확실하게 자리를 잡고 있구요 여름이면 풀숲에서 아름다운 모습을 보이는 다양한 곤충들도 사실감 있게 자리를 잡고 있답니다 이곳 전진리 마을에는 낙산해변 뿐 아니라 전국 최대 규모를 자랑하는 낙산사도 있는 지역으로 이곳 벽화골목에도 낙산사의 해수관음보살상이 우뚝 한 자리를 차지하고 있습니다 아름다운 사랑이야기로 널리 알려진 춘향과 이도령의 모습도 보입니다 어린이들이 좋아라 하는 귀엽고도 예쁜 케릭터의 모습도 볼 수 있지요 힘차게 바닷물을 박차고 비상하는 고래의 모습에서 웅장하면서도 신비한 모습을 느낄 수 있답니다 바다속의 예쁜 물고기들도 한 자리를 차지하고 유유히 헤엄을 치는 모습이 참으로 보기 좋습니다 집 벽에는 정겨운 모습의 바다 풍경이 고스란히 담겨 이런 모습을 보는 이로 하여금 무한 상상의 나래를 펼치게 합니다 비록 작은 규모이지만 어느 벽화골목과 비교하여도 전혀 손색이 없을 정도로 정교하면서도 멋진 벽화들로 만들어져 있답니다 마을에서 계속적으로 꾸며나가고 있는 낙산전진 벽화마을 양양을 찾아서 낙산사와 낙산해변을 찾으신다면 잠깐의 시간을 내어서 전진리의 벽화골목을 둘러보세요 또다른 멋진 시간을 보낼 수 있을겁니다 낙산 전진리 벽화마을 찾아가는 지도 보기 전진리 벽화마을 강원도 양양군 주청2길 21 썬비치 저장 관심 장소를 MY플레이스 에 저장할 수 있어요. 팝업 닫기 \'내 장소\' 폴더에 저장했습니다. MY플레이스 가기 팝업 닫기 전화 상세보기 <a onclick=""return false;"" href=""#bSize"" style=""display:none"" target=""_blank"" class=""se_map_link __se_link"" data-linktype=""map"" data-linkdata=""{&quot;eventTarget&quot;:&quot;button&quot;,&quot;didSearch&quot;:&quot;false&quot;,&quot;searchEngine&quot;:&quot;NAVER&quot;,&quot;locationId&quot;:&quot;0183035040&quot;,&quot;latitude&quot;:&quot;38.117591&quot;,&quot;markerLatitude&quot;:&quot;38.117591&quot;,&quot;markerLongitude&quot;:&quot;128.6302572&quot;,&quot;title&quot;:&quot;전진리 벽화마을&quot;,&quot;longitude&quot;:&quot;128.6302572&quot;}"">지도보기</a>']",http://blog.naver.com/PostView.nhn?blogId=likeyyang&logNo=221283809442&redirect=Dlog&widgetTypeCall=true&directAccess=false
1,2019-07-24,해 뜨는 동해에서,"[' #양양전진리바닷가토지 , #설악해수욕장인근토지 , #설악해변토지 \u200b ▶ 위치 : 양양군 강현면 전진리00-00 ▶ 면적 : 잡9**㎡(300평) ▶ 용도 : 자연환경보전지역 ▶ 매가 : 평당500만원 \u200b 설악해변 인근 바다뷰가 좋은 토지입니다. 주변 토지가 대부분 종교용지로 번듯한 건물하나 없는 곳입니다. 위로는 정암해변, 밑으로는 낙산해변에 가려져 상대적으로 많이 알려지진 않았지만, 예전엔 가족단위로 조용히 휴식을 즐기시는 분들이 찾아주셨다면, 요즘은 젊은 써퍼들이 많이 찾는거 같습니다. \u200b']",http://blog.naver.com/PostView.nhn?blogId=garugoge&logNo=221594025524&redirect=Dlog&widgetTypeCall=true&directAccess=false
2,2020-03-09,속초명가공인중개사...,"[' 양양 전진리 토지매매(동해대로변) #양양전진리토지매매, #양양토지, #양양바다뷰토지, #양양전진리임야\u200b▶ 위치 : 양양군 강현면 전진리00-0... blog.naver.com #양양전진리토지매매 #양양토지매매 #양양임야매매 #양양전진리임야매매 #양양바다전망토지매매 #양양땅매매 #강현면전진리토지매매 #강현면전진리임야매매 #양양부동산 #속초부동산 #속초명가부동산']",http://blog.naver.com/PostView.nhn?blogId=iiblueii&logNo=221844641991&redirect=Dlog&widgetTypeCall=true&directAccess=false
3,2019-04-23,(주)부공연 속초 공...,"[' 거래완료 안녕하십니까? 부동산 족구쟁이 부공연 속초 공인중개사 사무소 정석현입니다. \u200b 오늘은 양양 설악 해수욕장에 위치한 주택을 포스팅하겠습니다. 양양 설악 해수욕장 앞 주택은 대지면적 393㎡ 건축 면적은 62.39㎡입니다. 시멘트 벽돌조 기와 즙, 슬라브 즙으로 1985년 9월 사용 승인된 1층 건물입니다. \u200b 양양 설악 해수욕장 주택 앞에는 시, 도유지 약 100여 평 정도를 사용하고 있고, 추후 불하 받을 수도 있다고 하네요. \u200b 매매가는 2억 5천만 원입니다. 양양, 속초 부동산 중개는 부공연 속초 공인중개사 사무소로... 양양 설악 해수욕장 앞 주택은 수익형 부동산으로도 활용하실 수 있습니다. \u200b 설악 해수욕장 바닷가 앞 주택은 바닷가에 있는데 왜 이렇게 가격이 쌀까요? 답은 건물과 토지의 주인이 다르기 때문입니다. \u200b 이 부근의 토지는 거의 낙산사 소유입니다 따라서 토지 사용료로 낙산사에 1년에 58만 원 정도를 지급하고 있습니다. \u200b 현재 양양 설악 해수욕장 앞 주택은 요즘 양양에서 뜨고 있는 서핑 강사님들이 1년에 3천만 원의 깔세를 주고 사용하고 있습니다. 계약 기간은 2019년 12월 31일 까지로 해서요. \u200b 직접 주택에 거주하거나 민박집으로 개조하신다면 어느 정도 수리를 하셔야겠지만 빈집이 아니고 서핑 하시는 분들이 사용하고 있으니 크게 수리하지 않고도 이용할 수 있을 것 같습니다. \u200b 2억 5천에 구입해서 1년에 3천만 원의 깔세를 받으면 토지 사용료를 내고도 9% 이상의 수익률이 나오겠네요. 이 정도의 수익률이면 매력적이지 않을까요? \u200b 양양 설악 해수욕장 앞 토지에 관심 있으신 분들의 연락 기다리겠습니다. 궁금할 땐 네이버 톡톡하세요! 고성의 수익형 부동산 찾으시면 아래를 클릭해 주세요. https://blog.naver.com/atc15th4166/221519671927 #고성봉포펜션, #고성봉포상업지구펜션,  #속초고성양양모텔매매, #속초공인중개사, #속초부동산중개, #봉포해수욕장앞모텔 매매 안녕하십니까?부동산 족구쟁이부공연 속초 공인중개사 사무소정석현입니다.\u200b오늘은 고성 봉포 펜션을 포스... blog.naver.com 속초 수익형 부동산을 찾으시면 아래를 클릭 해 주세요. https://blog.naver.com/atc15th4166/221514887492 속초 수익형 상가, 속초 상가주택, 속초부동산 중개, 속초 공인중개사 안녕하십니까?부동산 족구쟁이부공연 속초 공인중개사 사무소정석현입니다.\u200b속초 영랑동에 신축중인 속초 ... blog.naver.com \u200b']",http://blog.naver.com/PostView.nhn?blogId=atc15th4166&logNo=221520498115&redirect=Dlog&widgetTypeCall=true&directAccess=false
4,2018-07-12,속초만섬부동산010....,"[' 만섬부동산 입니다~ 양양군 강현면 전진리 2층 민밥집 대지 90평 건평50평 (원룸 8, 수리완비, 바로 영업 가능해요) 해변이 바로 옆에 있으며, 큰도로 접해 있어요 타지에 계신 관계로 사정상 매매합니다~ 직접 오셔서 보시고 상담하셔요~ 내집처럼 관리하실 분은 임대도 가능합니다 궁금하신 사항은 속초 만섬부동산으로 상담하세요~ 만섬부동산 #양양 민박집 # 속초토지 #속초만섬부동산 #속초아파트 #속초우미린 디오션분양권']",http://blog.naver.com/PostView.nhn?blogId=jmi8881&logNo=221317912211&redirect=Dlog&widgetTypeCall=true&directAccess=false
5,2019-01-04,"나와 우리, 이곳저곳","[' \u200b \u200b 2018년 마지막 출장을 멀리 강원도 양양까지 다녀오게 되었다. \u200b 약 3년만의 양양 방문이었는데 날씨가 너무 추워 따끈한 국물 생각이 절실했다. 그래서 우리가 찾은 곳은 낙산해수욕장 가까운 낙산콩밥상 이라는 곳이다. 인터넷을 뒤적뒤적하다가 방문했다. 들어가면 꽤나 넓은 실내를 마주할 수 있다. 테이블도 많고 의자도 많아 단체로 와도 괜찮을 듯 하다. 낙산콩밥상의 메뉴판. 상호를 보면 알 수 있듯 두부 위주의 음식들이 많다. 두부전골, 순두부찌개 가 가장 대표메뉴인 듯 하고 생선 구이도 판매하고 있다. 가장 먼저 우리 일행이 시킨 버섯두부전골. 나도 함께 먹어봤는데 국물이 상당히 깔끔하고 맛있었다. 우리가 알고 있는 그런 김치찌개의 맛이지만 재료도 다양하게 들어가 있어 대부분의 사람들이 만족할 수 있을 그런 맛이다. 반찬도 전체적으로 무난한 편. 개인적으로 메인 음식이 있으면 반찬을 즐겨먹는 편이 아니기에 거의 먹지 않았지만 일행들이 상당히 반찬을 잘 먹었다. JH님이 시킨 선지해장국. 나는 선지를 잘 먹지 않지만 맛이 괜찮다고 한다. 선지도 많이 들어있어 내용물이 푸짐하다. 내가 시킨 순두부찌개. 처음 나오자마자 찍었더니 보글보글 끓어 내용물이 잘 보이지 않는다. 역시 뚝배기는 처음 보글보글 끓어야 제 맛. 순두부찌개는 왠만하면 다 맛있다. 국물도 진하고 적당한 해물도 들어가있기에 시원하고 만족스러웠다. 밥을 적당량 덜어 말아먹으니 후루룩 넘어간다. 대신 혀와 입천장을 포기...해야만 했다. 처음에 너무 뜨거워 혼났다ㅋㅋ 만족스럽게 먹고 가게를 나오며 확인하니 굉장히 이른 아침부터 가게 운영을 하신다. \u200b 아침식사도 가능한 것 같으니 양양, 낙산을 방문해서 따끈한 국물이 생각난다면 추천하고 싶다. \u200b 잘 먹었습니다. \u200b 끝. 낙산전진마을콩밥상 강원도 양양군 강현면 일출로 5-1']",http://blog.naver.com/PostView.nhn?blogId=xodbs4749&logNo=221433499242&redirect=Dlog&widgetTypeCall=true&directAccess=false
6,2019-04-04,몽이님의 사생활♡,"[' \u200b 속초까지 갔으니 칠성조선소만 들리길 아까워 폭풍검색 끝에 맘에 쏙드는 카페를 찾았다 양양 카페맴맴 속초에서 원주로 넘어오는길에 있어서 들렸다왔다 \u200b \u200b 매미지옥에 오신걸 환영합니다 \u200b \u200b \u200b 네비가 끝나는 지점에서 빨간지붕을 찾으면된다 \u200b \u200b \u200b 보이는 길로 쭉 들어가면 입구 \u200b \u200b \u200b 양양 카페맴맴 역시 오래된 집을 개조해서 카페로 꾸민듯 곳곳에 보이는 서까래가 인상적이다 \u200b \u200b \u200b \u200b 매미지옥과 맴커피로 주문했다 양양 카페맴맴에 왔으니 시그니처 커피로 주문 \u200b \u200b \u200b 양양 카페맴맴 OPEN 11:00 CLOSE 18:00 수,목 휴무 \u200b \u200b \u200b 작지만 알차게 꾸며진 양양 카페맴맴 \u200b \u200b \u200b 거울 인증샷,🎵 \u200b \u200b \u200b 예쁘다 차분하신 사장님의 느낌이 카페 곳곳에도 묻어나는듯 \u200b \u200b \u200b 매미지옥과 맴커피는 넘나 맛있고 양양에 가면 또 들리고픈곳 양양 카페맴맴 \u200b 카페맴맴 강원도 양양군 강현면 전진리 58-14']",http://blog.naver.com/PostView.nhn?blogId=fif11035&logNo=221505688427&redirect=Dlog&widgetTypeCall=true&directAccess=false
7,2013-04-22,양양부동산,"[' 동해안 바닷가 까페 매매 ■ 매매가 : 4억5천 ■ 소재지 :강원도 양양군 강현면 전진리 ■ 면적,테이블 :분양면적62평(실50평),테이블12개,대기실1개,내부화장실 ■ 층 수 :2층 ■ 특 징 :강원도.양양군.강현면.전진리[양양부동산][동해안까페][낙산까페][바닷가까페매매]분양면적205제곱(구62평) 매가45,000만~ 바다가 보이는 아름다운 집 ~~ 성실한 동해안 부동산이 책임지고 찾아드리겠습니다 \ufeff \ufeff \ufeff \ufeff \ufeff \ufeff \ufeff \ufeff \ufeff \ufeff \ufeff 365 양양부동산 동해바다 부동산 강원도 양양군 양양읍 양양로 32 033-673-8940 010-3050-6897 참고사진 -서울에서 양양까지 1시간 10분대의 동서고속도로가 2015년이면 완공되고 2018년 평창동계올림픽의 유치성공으로 이에 탄력을 받은 오색케이블카가 금년에는 유치될 것으로 확실시 되고 있으며 또한 양양국제공항이 동계올림픽공식공항으로 지정되고 여운포리 물류항만기지가 건설되는 날에는 하늘,땅,바닷길이 모두 열려 명실공히 양양은 동북아의 교통, 그리고 물류기지의 중심도시가 될것이며, 오색케이블카의 설치로 세계적인 관광도시로 급부상하게 될 것임을 우리는 믿어 의심치 않는다. 강원도.양양군.강현면.전진리[양양부동산][동해안까페][낙산까페][바닷가까페매매]분양면적205제곱(구62평) 매가45,000만~ 낙산 바닷가 전망좋은 까페']",http://blog.naver.com/PostView.nhn?blogId=bk88jun&logNo=10166896441&redirect=Dlog&widgetTypeCall=true&directAccess=false
8,2015-06-25,daichung,"[' 양양 낙산 전진리 벽화골목 \ufeff여러분들은 낙산에 가시면 어디를 들리시나요? 대부분 낙산해변을 들렸다가 낙산사를 찾는 것으로 일정을 마무리 하시지요 하지만 낙산에도 잘 알려지지 않은 볼거리가 많아 잘만 둘러보시면 즐거운 시간이 될겁니다 \u200b \u200b \u200b \u200b \u200b우선 동해신묘가 있습니다 동해신묘에 관한 상세한 내용은 아래 포스팅 내용을 참고하세요 \u200b \u200b http://blog.naver.com/daichung/220103881374 강원도여행지, 양양 동해신묘를 아시나요.....^^* 양양 동해신묘 (襄陽 東海神廟)\r  \r \ufeff양양의 동해신묘는 옛날 신라 때 동해용왕에게 제사를 지내던 사당으로서\r 양양 낙산해변의 낙산공원 안쪽의... blog.naver.com \u200b \u200b \u200b \u200b 그리고 곤충 생태관도 있습니다 곤충생태관에 관하여 상세하게 알고 싶으시면 아래 포스팅 내용을 참고하세요 \u200b http://blog.naver.com/daichung/220317243131 양양 가볼만한곳, 가족들과 함께 곤충의 세계에 빠져볼 수 있는 곳, 양양 곤충생태관 양양 곤충생태관\r  \r 안녕하세요 대청봉의 강원사랑 입니다\r 오늘은 양양 낙산해변에 있는 곤충생태관에 관하여 소개를 해 드립니다\r \u200b\r 일반적으... blog.naver.com \u200b \u200b \u200b 이번에는 규모는 작지만 여행중 잠깐의 즐거움을 즐길 수 있는 벽화골목에 대하여 소개해 드리겠습니다 \u200b 낙산의 벽화골목은 낙산해수욕장(낙산해변) 입구의 상가 골목에 있답니다 벽화골목 입구에는 이렇게 낙산전진 벽화마을 구경하러 들어와 보세용~~~♪ 트릭아트도 있어요! 라는 그림이 보인답니다\u200b \ufeff입구에 벽화마을이라고 표시하였지만 내가 벽화골목이라고 한 것은 전진리의 벽화마을 규모가 그리 크지 않아서 골목이라고 표현을 한 것입니다 \u200b \u200b \u200b \u200b \u200b 돌고래가 벽을 깨고 빠져나오는 듯한 트릭아트 인듯합니다 그런데 바다생물을 그렸는데 그림을 자세히 보면 담수어종인 디스커스를 그려놓아 조금은 황당한 그림이 아닌가 합니다 어쩌면 작가의 다른 의도가 있는지도 모르겠구요\u200b \u200b \ufeff어마어마한 크기의 문어가 활개를 치고 있네요 \ufeff대어를 낚아 기분좋은 낚시꾼의 모습도 정겹습니다 아마도 대구낚시를 한듯 합니다 \u200b \ufeff한적한 곳을 줄돔이 유유히 헤엄을 치며 돌아다니네요 그런데 물밖인듯 한 그림이 조금은... 이왕 그리는 것 물속으로 표현을 했었으면 하는 생각이 드네요 \u200b \ufeff허름한 집의 벽에 화사한 해바라기가 활짝 피어 건물까지도 화사하게 보입니다 \u200b \ufeff조금만 힘을주어 밀면 금방이라도 쓰러질듯한 담벼락에는 황포돛을 달고 힘차게 나아가는 돛단배로 장식을 하였습니다 \u200b \ufeff낙산 전진리의 벽화골목 풍경입니다 \u200b \ufeff낙산 의상대도 멋들어지게 그려 놓았네요 \u200b \ufeff담벼락밑 화단에는 접시꽃 등이 활짝 피었는데 그림속의 꽃과 나비가 어우러져 어느것이 진짜꽃이고 어느 것이 그림인지 구분이 안갈 정도 입니다 \u200b \ufeff벽화마을을 둘러보면 대부분의 벽화마을에 있는 것이 바로 천사의 날개 포토존이 아닌가 합니다 이곳에도 예외없이 천사의 날개 포토존이 있더군요,,,,^^* \u200b 이번에는 낙산사의 해수관음보살상과 각종 곤충들이 있는 곳입니다 \ufeff장수풍뎅이 종류인가요 \u200b \ufeff무당벌레와 메뚜기인듯 합니다 아주 사실감있게 잘 그렸네요....^^* \u200b \ufeff화사한 꽃 위에 앉은 예쁜 나비 \u200b \ufeff또 다른 나비와 청개구리 \u200b \ufeff잠자리와 달팽이 그림들을 참으로 잘 그렸다고 생각합니다 \u200b \ufeff낙산사의 해수관음보살상 실제 모습 보다는 조금 살이찐듯 하네요 어쩌면 다이어트를 해야할 듯....ㅎ \u200b \ufeff정다운 두 커플의 모습이 춘향과 이도령을 생각하게 하네요 \u200b \ufeff백사장에 벗어놓은 샌들이 정겹게 다가 옵니다 \u200b 민박집 벽에도 화사한 꽃과 새들로 장식되었네요 \ufeff낙산의 전진리 벽화골목은 그리 규모가 크지는 않지만 바닷가 마을의 특성을 살려 멋진 그림으로 꾸며놓아 낙산을 찾았을 때 잠깐 들려보면 참으로 좋을듯 합니다 \u200b 낙산 전진 리 벽화골목 찾아가는 지도 보기 \ufeff']",http://blog.naver.com/PostView.nhn?blogId=daichung&logNo=220400855630&redirect=Dlog&widgetTypeCall=true&directAccess=false
9,2020-02-20,해 뜨는 동해에서,"[' #양양전진리토지매매 , #양양토지 , #양양바다뷰토지 , #양양전진리임야 \u200b ▶ 위치 : 양양군 강현면 전진리00-0 ▶ 면적 : 임2***(800평) ▶ 용도 : 계획관리지역 ▶ 매가 : 평당100만원 \u200b 바다뷰가 잘 나오는 동해대로변 토지입니다. \u200b \u200b']",http://blog.naver.com/PostView.nhn?blogId=garugoge&logNo=221817246800&redirect=Dlog&widgetTypeCall=true&directAccess=false
